LSOA21CD,LSOA21NM,detection_count,lat,lon
E01007599,Doncaster 026A,1,53.49935,-0.9784
E01016742,Milton Keynes 032A,1,51.98247,-0.72747
E01018200,Huntingdonshire 002C,1,52.488,-0.23458
E01028006,Bassetlaw 015A,1,53.27563,-0.9372
E01035558,South Cambridgeshire 003H,1,52.27418,0.045398
E01021727,Colchester 020E,2,51.81701,0.741596
E01017669,Buckinghamshire 006A,2,51.96552,-0.7061
E01016746,Milton Keynes 032D,2,51.98689,-0.72005
E01021644,Colchester 019B,2,51.84337,0.831506
E01035557,South Cambridgeshire 003G,2,52.28504,0.048567
E01017704,Buckinghamshire 009B,2,51.88835,-0.87182
E01016745,Milton Keynes 030D,2,51.98711,-0.72957
E01034453,Milton Keynes 032E,2,51.98107,-0.74202
E01017714,Buckinghamshire 004D,3,51.92594,-0.95636
E01016744,Milton Keynes 032C,4,51.98112,-0.71812
E01021723,Colchester 020A,4,51.80992,0.762436
E01034454,Milton Keynes 032F,4,51.97702,-0.72578
E01028037,Bassetlaw 015D,4,53.21944,-0.82776
E01021724,Colchester 020B,4,51.81184,0.740397
E01007602,Doncaster 026D,6,53.48423,-0.99748
E01035555,South Cambridgeshire 003E,6,52.29045,0.047012
E01017616,Central Bedfordshire 018D,6,51.94348,-0.45099
E01021643,Colchester 019A,7,51.82921,0.775359
