Sample_Date,Determinand,Result,Units,DWI_Code,LSOA
2022-01-17,Pesticides Metaldehyde,0.037,μg/l ,P226,E01021643
2022-02-04,Pesticides Metaldehyde,0.018,μg/l ,P226,E01016746
2022-03-01,Pesticides Metaldehyde,0.03,μg/l ,P226,E01021724
2022-03-17,Pesticides Metaldehyde,0.01,μg/l ,P226,E01016744
2022-03-24,Pesticides Propyzamide (Total),0.024,μg/l ,P071,E01017616
2022-04-13,Pesticides Metaldehyde,0.024,μg/l ,P226,E01021724
2022-04-28,Pesticides Atrazine (Total),0.004,μg/l ,P004,E01007602
2022-04-28,Pesticides Metaldehyde,0.01,μg/l ,P226,E01034454
2022-05-24,Pesticides Metaldehyde,0.026,μg/l ,P226,E01021723
2022-06-14,Pesticides Propyzamide (Total),0.019,μg/l ,P071,E01017616
2022-07-05,Pesticides Metaldehyde,0.024,μg/l ,P226,E01021643
2022-07-18,Pesticides Metaldehyde,0.009,μg/l ,P226,E01034454
2022-08-16,Pesticides Metaldehyde,0.022,μg/l ,P226,E01021644
2022-08-22,Pesticides Propyzamide (Total),0.011,μg/l ,P071,E01017616
2022-08-30,Pesticides Metaldehyde,0.008,μg/l ,P226,E01016744
2022-09-26,Pesticides Metaldehyde,0.024,μg/l ,P226,E01021727
2022-10-12,Pesticides Metaldehyde,0.026,μg/l ,P226,E01017669
2022-11-02,Pesticides Metaldehyde,0.0305,μg/l ,P226,E01016745
2022-11-17,Pesticides Atrazine (Total),0.004,μg/l ,P004,E01007602
2022-11-25,Pesticides 2 4-D (Total),0.016,μg/l ,P020,E01028037
2022-11-25,Pesticides Propyzamide (Total),0.005,μg/l ,P071,E01028037
2022-11-25,Pesticides Metaldehyde,0.032,μg/l ,P226,E01034453
2022-11-30,Pesticides Metaldehyde,0.0197,μg/l ,P226,E01021643
2022-12-30,Pesticides Metaldehyde,0.0165,μg/l ,P226,E01021723
