Year,Population_projected,Average_day_flow_m3_d,Maximum_day_flow_m3_d
2014,66693,28244.4855,34366.9029
2015,67606,28631.141,34837.37179999999
2016,68519,29017.7965,35307.84069999999
2017,69432,29404.452,35778.30959999999
2018,70345,29791.1075,36248.7785
2019,71258,30177.763,36719.2474
2020,72171,30564.4185,37189.7163
2021,73084,30951.074,37660.18519999999
2022,73997,31337.7295,38130.65409999999
2023,74910,31724.385,38601.123
2024,75823,32111.0405,39071.5919
2025,76736,32497.696,39542.0608
2026,77649,32884.3515,40012.5297
2027,78562,33271.007,40482.99859999999
2028,79475,33657.6625,40953.4675
2029,80388,34044.318,41423.9364
2030,81301,34430.9735,41894.4053
2031,82214,34817.629,42364.8742
2032,83127,35204.2845,42835.34309999999
2033,84040,35590.94,43305.81199999999
2034,84953,35977.5955,43776.2809
2035,85866,36364.251,44246.7498
2036,86779,36750.9065,44717.2187
2037,87692,37137.562,45187.6876
