Year,Avg_flow_historical_m3_d,Max_flow_historical_m3_d,Avg_flow_projected_m3_d,Max_flow_projected_m3_d
2014,28821.15068493151,34868.0,,
2015,29060.961643835617,36986.0,,
2016,28657.573770491803,33771.0,,
2017,28719.52602739726,34568.0,,
2018,,,29698.34896261098,36135.9131533257
2019,,,30052.317102719426,36566.60921613062
2020,,,30410.504111842103,37002.43865131579
2021,,,30772.960273758083,37443.462642426304
2022,,,31139.73647156783,37889.74310224062
2023,,,31510.884194836388,38341.342681462076
2024,,,31886.455546821693,38798.32477751409
2025,,,32266.503251789032,39260.753543440114
2026,,,32651.080662412704,39728.69389690972
2027,,,33040.2417672659,40202.21152933203
2028,,,33434.04119839982,40681.37291507775
2029,,,33832.53423901316,41166.24532081106
2030,,,34235.77683121303,41656.896814932865
2031,,,34643.82558386823,42153.396277136475
2032,,,35056.7377805564,42655.81340807725
2033,,,35474.5713876056,43164.21873915742
2034,,,35897.38506223189,43678.683642427604
2035,,,36325.2381607739,44199.280340606354
2036,,,36758.19074702554,44726.08191721903
2037,,,37196.30360066791,45259.16232685754
