Year,BOD_max_month_load_kg_d_historical,TSS_max_month_load_kg_d_historical,TP_max_month_load_kg_d_historical,BOD_max_month_load_kg_d_projected,TSS_max_month_load_kg_d_projected,TP_max_month_load_kg_d_projected
2014,6518.833,7564.755999999999,253.67856,,,
2015,6429.388,9093.444,215.15793,,,
2016,6702.680000000001,8409.441499999999,267.28755,,,
2017,6722.72025,7569.048666666667,222.36212,,,
2018,,,,6795.206645754436,8408.10399201194,245.4409005174461
2019,,,,6876.197230822935,8508.318348562123,248.366257047268
2020,,,,6958.153125,8609.727138157894,251.32648026315786
2021,,,,7041.085833594235,8712.344596986055,254.32198573353787
2022,,,,7125.006999043502,8816.185130911412,257.3531939798994
2023,,,,7209.9284025493425,8921.263317499135,260.42053053583794
2024,,,,7295.861965730867,9027.593908061208,263.5244260067909
2025,,,,7382.819752298365,9135.191829727284,266.6653161304879
2026,,,,7470.8139697468505,9244.07218754022,269.8436418381215
2027,,,,7559.856971069813,9354.250266576579,273.0598493162471
2028,,,,7649.961256493372,9465.741534092416,276.31439006942
2029,,,,7741.139475231113,9578.561641694638,279.60772098357995
2030,,,,7833.40442725984,9692.726427538233,282.9403043901903
2031,,,,7926.769065116486,9808.251918549708,286.3126081311424
2032,,,,8021.2464957164475,9925.154332677008,289.72510562443307
2033,,,,8116.849982193585,10043.450081166262,293.1782759306248
2034,,,,8213.59294576215,10163.155770865653,296.6726038200983
2035,,,,8311.488967600924,10284.288206556768,300.20857984110665
2036,,,,8410.5517907598,10406.864393313725,303.7867003886408
2037,,,,8510.795322089069,10530.901538890395,307.40746777411493
