Year,Serviced Population,Series,Applied_annual_growth_rate_percent
2014,66880.0,Historical,1.1918781766423692
2015,67100.0,Historical,1.1918781766423692
2016,68970.0,Historical,1.1918781766423692
2017,69300.0,Historical,1.1918781766423692
2018,70125.97157641317,Projected,1.1918781766423692
2019,70961.78772779086,Projected,1.1918781766423692
2020,71807.56578947368,Projected,1.1918781766423692
2021,72663.42449529654,Projected,1.1918781766423692
2022,73529.48399425698,Projected,1.1918781766423692
2023,74405.86586738226,Projected,1.1918781766423692
2024,75292.69314479739,Projected,1.1918781766423692
2025,76190.09032299653,Projected,1.1918781766423692
2026,77098.18338232044,Projected,1.1918781766423692
2027,78017.09980464203,Projected,1.1918781766423692
2028,78946.96859126286,Projected,1.1918781766423692
2029,79887.92028102283,Projected,1.1918781766423692
2030,80840.0869686258,Projected,1.1918781766423692
2031,81803.60232318354,Projected,1.1918781766423692
2032,82778.60160698088,Projected,1.1918781766423692
2033,83765.22169446423,Projected,1.1918781766423692
2034,84763.60109145664,Projected,1.1918781766423692
2035,85773.8799546019,Projected,1.1918781766423692
2036,86796.20011104023,Projected,1.1918781766423692
2037,87830.70507831856,Projected,1.1918781766423692
