Date [YYYY-MM-DD],Digester 1 alkalinity [mg/L as CaCO3],Digester 2 alkalinity [mg/L as CaCO3]
2022-01-01,,
2022-01-02,,
2022-01-03,,
2022-01-04,5095.0,4879.0
2022-01-05,4929.0,4769.0
2022-01-06,4937.0,4792.0
2022-01-07,5310.0,5092.0
2022-01-08,5292.0,5232.0
2022-01-09,5540.0,5252.0
2022-01-10,5502.0,5467.0
2022-01-11,5445.0,5285.0
2022-01-12,5467.0,5580.0
2022-01-13,5598.0,5442.0
2022-01-14,5422.0,5482.0
2022-01-15,5817.73125,5740.1615
2022-01-16,5987.88425,6077.96525
2022-01-17,6228.10025,6205.58
2022-01-18,6178.05525,6230.6025
2022-01-19,6256.0,6131.0
2022-01-20,5688.0,5765.0
2022-01-21,6196.0,5745.0
2022-01-22,6408.0,5835.0
2022-01-23,6426.0,5868.0
2022-01-24,6633.0,5835.0
2022-01-25,6318.0,5775.0
2022-01-26,6491.0,5718.0
2022-01-27,6203.0,6110.0
2022-01-28,6458.0,5985.0
2022-01-29,6221.0,6128.0
2022-01-30,6151.0,6168.0
2022-01-31,6196.0,6451.0
2022-02-01,6456.0,6068.0
2022-02-02,6568.0,6138.0
2022-02-03,6321.0,6148.0
2022-02-04,6416.0,5880.0
2022-02-05,6231.0,6095.0
2022-02-06,6433.0,5840.0
2022-02-07,6268.0,6108.0
2022-02-08,6328.0,5775.0
2022-02-09,5925.0,6005.0
2022-02-10,5768.0,5372.0
2022-02-11,5185.0,5107.0
2022-02-12,5117.0,4854.0
2022-02-13,5307.0,5120.0
2022-02-14,5663.0,5035.0
2022-02-15,5210.0,5305.0
2022-02-16,,
2022-02-17,,
2022-02-18,,
2022-02-19,,
2022-02-20,,
2022-02-21,5540.0,5222.0
2022-02-22,5593.0,5085.0
2022-02-23,5462.0,5145.0
2022-02-24,5260.0,4832.0
2022-02-25,4804.0,5017.0
2022-02-26,5575.0,5087.0
2022-02-27,5205.0,5397.0
2022-02-28,5605.0,5180.0
2022-03-01,5350.0,5205.0
2022-03-02,5160.0,4832.0
2022-03-03,5280.0,4527.0
2022-03-04,4994.0,4331.0
2022-03-05,4999.0,4732.0
2022-03-06,4894.0,4592.0
2022-03-07,4692.0,4887.0
2022-03-08,4457.0,4569.0
2022-03-09,4126.0,4404.0
2022-03-10,4051.0,4204.0
2022-03-11,3733.0,4069.0
2022-03-12,3906.0,4079.0
2022-03-13,3826.0,4224.0
2022-03-14,3984.0,4344.0
2022-03-15,3836.0,4542.0
2022-03-16,3883.0,4366.0
2022-03-17,3823.0,4574.0
2022-03-18,3523.0,4384.0
2022-03-19,3706.0,4647.0
2022-03-20,3698.0,4674.0
2022-03-21,3691.0,4812.0
2022-03-22,3566.0,4517.0
2022-03-23,3416.0,4484.0
2022-03-24,3396.0,4216.0
2022-03-25,3228.0,4314.0
2022-03-26,3436.0,4434.0
2022-03-27,3518.0,4216.0
2022-03-28,3606.0,4024.0
2022-03-29,3498.0,4009.0
2022-03-30,3551.0,3924.0
2022-03-31,3421.0,4056.0
2022-04-01,3433.0,4016.0
2022-04-02,,
2022-04-03,,
2022-04-04,3668.0,4587.0
2022-04-05,3783.0,4639.0
2022-04-06,,
2022-04-07,,
2022-04-08,3968.0,4899.0
2022-04-09,,
2022-04-10,4272.0,5120.0
2022-04-11,4224.0,3980.0
2022-04-12,,
2022-04-13,,
2022-04-14,,
2022-04-15,4189.0,4191.0
2022-04-16,3957.0,4236.0
2022-04-17,4001.0,4009.0
2022-04-18,4093.0,3923.0
2022-04-19,3838.0,3870.0
2022-04-20,3832.0,3821.0
2022-04-21,3528.0,3948.0
2022-04-22,3995.0,4174.0
2022-04-23,3882.0,4261.0
2022-04-24,4297.0,4200.0
2022-04-25,4092.0,4293.0
2022-04-26,4304.0,4169.0
2022-04-27,4273.0,4244.0
2022-04-28,4303.0,3829.0
2022-04-29,,
