Date [YYYY-MM-DD],Biogas production [m3/d]
2022-01-01,2793.173748
2022-01-02,2401.721661
2022-01-03,2116.287847
2022-01-04,3180.548209
2022-01-05,5003.246991
2022-01-06,4383.447852
2022-01-07,3408.89526
2022-01-08,3107.150943
2022-01-09,2772.785618
2022-01-10,4220.342816
2022-01-11,6149.059871
2022-01-12,6622.064477
2022-01-13,6777.014261
2022-01-14,7723.023472
2022-01-15,6279.5439
2022-01-16,5325.379437
2022-01-17,5459.941092
2022-01-18,6202.069008
2022-01-19,7612.927573
2022-01-20,8224.571459
2022-01-21,6043.041598
2022-01-22,4962.470732
2022-01-23,4065.393032
2022-01-24,4098.014039
2022-01-25,5419.164833
2022-01-26,5198.973034
2022-01-27,5464.018718
2022-01-28,5724.986777
2022-01-29,6789.247139
2022-01-30,6153.137497
2022-01-31,4754.51181
2022-02-01,4709.657925
2022-02-02,4297.817708
2022-02-03,6862.644405
2022-02-04,7262.251744
2022-02-05,5333.534689
2022-02-06,4387.525478
2022-02-07,3706.561952
2022-02-08,4513.931882
2022-02-09,4224.420442
2022-02-10,5590.425122
2022-02-11,7466.13304
2022-02-12,7221.475485
2022-02-13,6230.612389
2022-02-14,5088.877135
2022-02-15,6206.146634
2022-02-16,5639.356632
2022-02-17,5150.041523
2022-02-18,6304.009656
2022-02-19,5358.000445
2022-02-20,5088.877135
2022-02-21,5080.721883
2022-02-22,6450.804188
2022-02-23,8526.315776
2022-02-24,8624.178798
2022-02-25,7331.571385
2022-02-26,4970.625983
2022-02-27,3718.794829
2022-02-28,3837.045981
2022-03-01,5411.009582
2022-03-02,7213.320233
2022-03-03,7327.493759
2022-03-04,5688.288143
2022-03-05,4546.552889
2022-03-06,3991.995765
2022-03-07,4130.635046
2022-03-08,5818.772172
2022-03-09,7555.84081
2022-03-10,7771.954983
2022-03-11,8334.667359
2022-03-12,6923.808794
2022-03-13,4827.909077
2022-03-14,3217.246842
2022-03-15,4118.402168
2022-03-16,6805.557643
2022-03-17,5182.662531
2022-03-18,5765.763036
2022-03-19,5411.009582
2022-03-20,4778.977566
2022-03-21,4929.849724
2022-03-22,6675.073613
2022-03-23,7062.448075
2022-03-24,7576.228939
2022-03-25,7233.708363
2022-03-26,4929.849724
2022-03-27,3983.840513
