Digester [1/2],Event start date [YYYY-MM-DD],Event end date [YYYY-MM-DD],Event duration [days],Max VFA/Alk ratio [-],Days VFA/Alk >0.40 [d],Min pH [s.u.],Days pH <6.8 [d],Min alkalinity [mg/L as CaCO3],Days alkalinity <3000 [d],Max 7d avg VS OLR [kgVS/m3-d],Days 7d avg VS OLR >3.2 [d],Days HSW fraction >=0.90 to this digester [d],Notes (auto)
1,2022-01-25,2022-01-27,3,0.410769,2,7.41,0,6203.0,0,1.9164293227296703,0,0,VFA/Alk upset
1,2022-02-12,2022-02-12,1,0.415282,1,7.35,0,5117.0,0,2.2070574355076924,0,0,VFA/Alk upset
1,2022-02-15,2022-02-15,1,0.446065,1,7.23,0,5210.0,0,2.3290758303472527,0,0,VFA/Alk upset
1,2022-02-25,2022-02-25,1,0.450874,1,7.42,0,4804.0,0,2.1432600141142855,0,0,VFA/Alk upset
1,2022-04-28,2022-04-28,1,0.158959,0,7.1,0,4303.0,0,3.2787292705427227,1,0,high OLR
1,2022-05-25,2022-05-25,1,0.227598,0,7.44,0,2935.0,1,1.222224477013939,0,0,low alkalinity
1,2022-07-20,2022-07-24,5,0.335253,0,7.03,0,4167.0,0,3.6943312513142854,5,5,high OLR; HSW mostly to this digester
1,2022-08-09,2022-08-10,2,0.186003,0,7.12,0,4260.0,0,3.7823502041668537,2,2,high OLR; HSW mostly to this digester
1,2022-08-25,2022-08-27,3,0.49578,3,6.95,0,3985.0,0,3.068176685010989,0,3,VFA/Alk upset; HSW mostly to this digester
1,2022-09-03,2022-09-03,1,0.275893,0,6.67,1,4393.0,0,2.0312487460885547,0,1,low pH; HSW mostly to this digester
1,2022-09-20,2022-10-03,14,0.930333,8,6.5,4,2555.0,3,4.573826557239561,14,10,VFA/Alk upset; low pH; low alkalinity; high OLR; HSW mostly to this digester
1,2022-10-09,2022-10-09,1,0.135822,0,6.65,1,3777.0,0,0.4591870893010989,0,0,low pH
1,2022-10-13,2022-10-15,3,0.674687,2,6.5,1,2078.0,3,1.6120744512237362,0,0,VFA/Alk upset; low pH; low alkalinity
1,2022-10-19,2022-10-21,3,0.630534,2,6.43,2,1965.0,3,1.8185328668439198,0,1,VFA/Alk upset; low pH; low alkalinity; HSW mostly to this digester
2,2022-01-24,2022-01-27,4,0.519587,4,7.34,0,5718.0,0,2.0182027887824177,0,0,VFA/Alk upset
2,2022-02-02,2022-02-02,1,0.421799,1,7.38,0,6138.0,0,1.2960879401670329,0,0,VFA/Alk upset
2,2022-02-12,2022-02-12,1,0.422332,1,7.31,0,4854.0,0,2.2070574355076924,0,0,VFA/Alk upset
2,2022-05-04,2022-05-04,1,,0,6.74,1,,0,2.4287757312596137,0,0,low pH
2,2022-05-19,2022-05-19,1,0.448195,1,7.03,0,4266.0,0,2.192630576255366,0,0,VFA/Alk upset
2,2022-05-25,2022-05-27,3,0.344903,0,7.17,0,2222.0,3,1.466090727200078,0,0,low alkalinity
2,2022-06-01,2022-06-01,1,0.484762,1,7.2,0,4561.0,0,1.1434584184729766,0,0,VFA/Alk upset
2,2022-06-04,2022-06-04,1,0.405982,1,7.2,0,5015.0,0,1.2287816372148908,0,0,VFA/Alk upset
2,2022-08-05,2022-08-06,2,0.260379,0,7.25,0,4405.0,0,3.4824458664142477,2,0,high OLR
2,2022-10-07,2022-10-07,1,0.454568,1,6.89,0,4083.0,0,2.831060388035165,0,1,VFA/Alk upset; HSW mostly to this digester
2,2022-10-13,2022-10-13,1,0.151398,0,6.49,1,4650.0,0,1.6426098160773626,0,0,low pH
2,2022-11-25,2022-11-25,1,0.18258,0,6.79,1,3341.0,0,1.2870887652892233,0,0,low pH
2,2022-12-02,2022-12-16,15,0.3247,0,6.69,3,2587.0,13,2.0847141766177333,0,0,low pH; low alkalinity
2,2022-12-22,2022-12-24,3,0.283718,0,6.9,0,2862.0,3,1.5904849833385515,0,0,low alkalinity
