Date [YYYY-MM-DD],HSW fraction to Digester 1 [-],HSW fraction to Digester 2 [-]
2022-01-01,0.5,0.5
2022-01-02,0.5,0.5
2022-01-03,0.5,0.5
2022-01-04,0.5,0.5
2022-01-05,0.5,0.5
2022-01-06,0.5,0.5
2022-01-07,0.5,0.5
2022-01-08,0.5,0.5
2022-01-09,0.5,0.5
2022-01-10,0.5,0.5
2022-01-11,0.5,0.5
2022-01-12,0.5,0.5
2022-01-13,0.5,0.5
2022-01-14,0.5,0.5
2022-01-15,0.5,0.5
2022-01-16,0.5,0.5
2022-01-17,0.5,0.5
2022-01-18,0.5,0.5
2022-01-19,0.5,0.5
2022-01-20,0.5,0.5
2022-01-21,0.5,0.5
2022-01-22,0.5,0.5
2022-01-23,0.5,0.5
2022-01-24,0.5,0.5
2022-01-25,0.5,0.5
2022-01-26,0.5,0.5
2022-01-27,0.5,0.5
2022-01-28,0.5,0.5
2022-01-29,0.5,0.5
2022-01-30,0.5,0.5
2022-01-31,0.5,0.5
2022-02-01,0.5,0.5
2022-02-02,0.5,0.5
2022-02-03,0.5,0.5
2022-02-04,0.5,0.5
2022-02-05,0.5,0.5
2022-02-06,0.5,0.5
2022-02-07,0.5,0.5
2022-02-08,0.5,0.5
2022-02-09,0.5,0.5
2022-02-10,0.5,0.5
2022-02-11,0.5,0.5
2022-02-12,0.5,0.5
2022-02-13,0.5,0.5
2022-02-14,0.5,0.5
2022-02-15,0.5,0.5
2022-02-16,0.5,0.5
2022-02-17,0.5,0.5
2022-02-18,0.5,0.5
2022-02-19,0.5,0.5
2022-02-20,0.5,0.5
2022-02-21,0.5,0.5
2022-02-22,0.5,0.5
2022-02-23,0.5,0.5
2022-02-24,0.5,0.5
2022-02-25,0.5,0.5
2022-02-26,0.5,0.5
2022-02-27,0.5,0.5
2022-02-28,0.5,0.5
2022-03-01,0.5,0.5
2022-03-02,0.5,0.5
2022-03-03,0.5,0.5
2022-03-04,0.5,0.5
2022-03-05,0.5,0.5
2022-03-06,0.5,0.5
2022-03-07,0.5,0.5
2022-03-08,0.5,0.5
2022-03-09,0.5,0.5
2022-03-10,0.5,0.5
2022-03-11,0.5,0.5
2022-03-12,0.5,0.5
2022-03-13,0.5,0.5
2022-03-14,0.5,0.5
2022-03-15,0.5,0.5
2022-03-16,0.5,0.5
2022-03-17,0.5,0.5
2022-03-18,0.5008643520718842,0.49913564792811593
2022-03-19,0.5000129442178178,0.49998705578218205
2022-03-20,0.4986317180551693,0.5013682819448307
2022-03-21,0.48708096624330677,0.5129190337566933
2022-03-22,0.49930896872369246,0.5006910312763077
2022-03-23,0.5027933902468641,0.49720660975313596
2022-03-24,0.4971144998028132,0.5028855001971868
2022-03-25,0.509854534415968,0.49014546558403205
2022-03-26,0.5002070204580574,0.4997929795419426
2022-03-27,0.49759893389955556,0.5024010661004445
2022-03-28,0.5003010655297712,0.49969893447022884
2022-03-29,0.5007105640861227,0.49928943591387737
2022-03-30,0.509440164285799,0.4905598357142009
2022-03-31,0.4931575962314125,0.5068424037685876
2022-04-01,0.5016325624987118,0.4983674375012882
2022-04-02,0.4999246532064687,0.5000753467935314
2022-04-03,0.49598902314410026,0.5040109768558998
2022-04-04,0.5018655080090477,0.4981344919909523
2022-04-05,0.49901048266575754,0.5009895173342424
2022-04-06,0.4996215275994579,0.5003784724005421
2022-04-07,0.4884630083102458,0.5115369916897543
2022-04-08,0.48827115094551304,0.511728849054487
2022-04-09,0.5000406824794122,0.49995931752058775
2022-04-10,0.5003813298910803,0.4996186701089197
2022-04-11,0.4884947825381656,0.5115052174618344
2022-04-12,0.4906970708835793,0.5093029291164207
2022-04-13,0.4854741269779931,0.5145258730220069
2022-04-14,0.49878981946848344,0.5012101805315166
2022-04-15,0.4959511395100119,0.504048860489988
2022-04-16,0.5006777704132902,0.49932222958670974
2022-04-17,0.5043134776425976,0.4956865223574024
2022-04-18,0.48800911412320835,0.5119908858767916
2022-04-19,0.5007672982686706,0.49923270173132944
2022-04-20,0.8973980041773034,0.10260199582269669
2022-04-21,1.0,0.0
2022-04-22,0.0,1.0
2022-04-23,0.0,1.0
2022-04-24,0.0,1.0
2022-04-25,0.4625200575672859,0.537479942432714
2022-04-26,0.5006564282333598,0.4993435717666403
2022-04-27,0.5004549022869887,0.4995450977130113
2022-04-28,0.49964196479736456,0.5003580352026353
2022-04-29,0.5022810014018773,0.49771899859812263
2022-04-30,0.49877808076233976,0.5012219192376602
2022-05-01,0.49006750099085716,0.509932499009143
2022-05-02,0.48985247345713034,0.5101475265428695
2022-05-03,0.5003825886659095,0.49961741133409066
2022-05-04,0.5027471766984434,0.49725282330155657
2022-05-05,0.5000763101319129,0.49992368986808716
