Date [YYYY-MM-DD],Digester 1 pH [s.u.],Digester 2 pH [s.u.]
2022-01-01,7.34,7.22
2022-01-02,7.29,7.21
2022-01-03,7.34,7.29
2022-01-04,7.39,7.24
2022-01-05,7.3,7.17
2022-01-06,7.34,7.23
2022-01-07,7.28,7.27
2022-01-08,7.4,7.33
2022-01-09,7.42,7.33
2022-01-10,7.3,7.26
2022-01-11,7.21,7.2
2022-01-12,7.21,7.22
2022-01-13,7.34,7.28
2022-01-14,7.23,7.3
2022-01-15,7.35,7.27
2022-01-16,7.38,7.33
2022-01-17,7.41,7.36
2022-01-18,7.4,7.33
2022-01-19,7.42,7.35
2022-01-20,7.35,7.33
2022-01-21,7.48,7.37
2022-01-22,7.44,7.34
2022-01-23,7.43,7.32
2022-01-24,7.54,7.38
2022-01-25,7.41,7.38
2022-01-26,7.54,7.35
2022-01-27,7.52,7.34
2022-01-28,7.62,7.45
2022-01-29,7.46,7.39
2022-01-30,7.47,7.38
2022-01-31,7.47,7.41
2022-02-01,7.41,7.35
2022-02-02,7.43,7.38
2022-02-03,7.33,7.34
2022-02-04,7.41,7.25
2022-02-05,7.3,7.23
2022-02-06,7.45,7.22
2022-02-07,7.36,7.41
2022-02-08,7.44,7.34
2022-02-09,7.49,7.42
2022-02-10,7.44,7.34
2022-02-11,7.28,7.31
2022-02-12,7.35,7.31
2022-02-13,7.47,7.39
2022-02-14,7.44,7.35
2022-02-15,7.23,7.36
2022-02-16,7.4,7.29
2022-02-17,7.44,7.33
2022-02-18,7.4,7.26
2022-02-19,7.24,7.2
2022-02-20,7.29,7.2
2022-02-21,7.36,7.33
2022-02-22,7.47,7.38
2022-02-23,7.44,7.35
2022-02-24,7.42,7.25
2022-02-25,7.42,7.36
2022-02-26,7.39,7.29
2022-02-27,7.39,7.41
2022-02-28,7.42,7.35
2022-03-01,7.32,7.33
2022-03-02,7.25,7.21
2022-03-03,7.31,7.17
2022-03-04,7.28,7.18
2022-03-05,7.25,7.22
2022-03-06,7.4,7.38
2022-03-07,7.32,7.33
2022-03-08,7.2,7.18
2022-03-09,7.13,7.17
2022-03-10,7.21,7.12
2022-03-11,7.13,7.13
2022-03-12,7.1,7.09
2022-03-13,7.11,7.17
2022-03-14,7.23,7.26
2022-03-15,7.28,7.33
2022-03-16,7.12,7.19
