Date [YYYY-MM-DD],Digester 1 temperature [degC],Digester 2 temperature [degC]
2022-01-01,35.0,35.3333
2022-01-02,35.2222,35.2222
2022-01-03,35.3333,35.3889
2022-01-04,35.1667,35.2222
2022-01-05,34.8333,35.3889
2022-01-06,35.3889,35.3333
2022-01-07,34.8889,35.1667
2022-01-08,34.9444,35.7222
2022-01-09,36.0556,35.9444
2022-01-10,35.6111,35.8333
2022-01-11,35.6111,35.9444
2022-01-12,35.2778,35.6111
2022-01-13,35.3889,35.5
2022-01-14,35.1667,35.5
2022-01-15,34.2222,35.0
2022-01-16,34.0556,35.6667
2022-01-17,34.7222,35.6667
2022-01-18,35.3889,35.8333
2022-01-19,35.7222,35.7222
2022-01-20,35.1111,35.7222
2022-01-21,34.4444,35.1667
2022-01-22,35.5556,35.5556
2022-01-23,35.7778,35.7778
2022-01-24,36.0,35.7778
2022-01-25,35.4444,35.8889
2022-01-26,35.5556,35.8889
2022-01-27,35.5,36.0
2022-01-28,35.6111,36.0
2022-01-29,35.5556,35.8889
2022-01-30,36.0,35.8333
2022-01-31,35.7222,36.0
2022-02-01,35.7222,36.0556
2022-02-02,35.7778,35.7222
2022-02-03,35.4444,35.6111
2022-02-04,35.6667,35.1111
2022-02-05,35.2778,35.8333
2022-02-06,36.1111,35.4444
2022-02-07,35.6111,35.7222
2022-02-08,36.0,35.2778
2022-02-09,35.7222,35.8333
2022-02-10,35.6667,35.1111
2022-02-11,35.0556,35.3889
2022-02-12,35.2778,34.8333
2022-02-13,34.5,35.5556
2022-02-14,35.1667,35.2778
2022-02-15,34.8333,35.7778
2022-02-16,35.7778,35.5556
2022-02-17,35.8889,35.7222
2022-02-18,36.0,35.5
2022-02-19,35.5,35.7778
2022-02-20,35.9444,35.1111
2022-02-21,35.6111,35.7222
2022-02-22,35.6111,35.6667
2022-02-23,34.7778,35.7222
2022-02-24,34.8889,34.8333
2022-02-25,34.3333,35.2778
2022-02-26,35.0,35.1667
2022-02-27,35.3333,35.6667
2022-02-28,35.8333,35.6667
2022-03-01,35.7222,35.6667
2022-03-02,36.0,34.8889
2022-03-03,35.5556,35.2778
2022-03-04,35.0556,34.4444
2022-03-05,34.7222,35.5556
2022-03-06,35.3333,35.6111
2022-03-07,35.0556,35.7778
2022-03-08,34.8333,35.3889
2022-03-09,34.3889,35.8889
2022-03-10,34.5556,35.1667
2022-03-11,33.4444,34.8333
2022-03-12,33.3333,34.5
2022-03-13,33.6667,35.3889
2022-03-14,34.3889,35.8333
2022-03-15,34.8333,35.8889
2022-03-16,35.3333,35.6667
2022-03-17,35.5556,36.0
2022-03-18,35.7222,35.7778
2022-03-19,35.1667,35.6667
2022-03-20,35.7778,35.8889
2022-03-21,35.7222,36.0556
2022-03-22,35.6111,35.6111
2022-03-23,35.3889,35.6667
2022-03-24,35.7222,35.5
2022-03-25,35.2222,35.7222
2022-03-26,35.3889,35.0556
2022-03-27,35.0556,35.7778
2022-03-28,35.5556,35.3333
2022-03-29,34.7778,35.5
2022-03-30,35.0556,35.2778
2022-03-31,34.8889,35.7778
2022-04-01,35.2222,35.3333
2022-04-02,34.6667,35.8333
2022-04-03,35.6667,35.7222
2022-04-04,35.6667,36.0556
2022-04-05,35.9444,35.3889
2022-04-06,35.3333,35.6111
2022-04-07,35.8333,35.1667
2022-04-08,34.6667,35.6667
2022-04-09,35.2222,35.0
2022-04-10,35.3889,
2022-04-11,35.6667,
2022-04-12,35.3333,33.3889
2022-04-13,35.8889,33.6111
2022-04-14,35.0,35.4444
2022-04-15,35.1111,35.0556
2022-04-16,34.4444,35.2778
2022-04-17,35.0556,34.7222
2022-04-18,35.3333,34.3889
2022-04-19,34.7222,34.8889
2022-04-20,35.1111,34.8333
2022-04-21,33.8889,35.8333
2022-04-22,35.2778,35.8333
2022-04-23,35.7778,35.8333
2022-04-24,35.8333,35.7778
2022-04-25,35.7222,35.3333
2022-04-26,35.5556,35.2778
2022-04-27,35.5,35.6667
2022-04-28,35.7778,35.1667
2022-04-29,35.6667,36.0
2022-04-30,35.7778,35.5
2022-05-01,35.7778,36.0
2022-05-02,35.6667,34.5
2022-05-03,35.6111,35.7778
2022-05-04,35.8333,35.6667
2022-05-05,35.6111,34.8889
2022-05-06,35.5,35.2778
2022-05-07,35.6667,36.0556
2022-05-08,35.8889,35.8333
2022-05-09,35.8333,35.8333
2022-05-10,36.1667,36.0
2022-05-11,36.0,36.0
2022-05-12,35.7778,35.8333
2022-05-13,35.4444,35.8333
2022-05-14,35.4444,35.2222
2022-05-15,35.7778,35.8889
2022-05-16,35.3889,35.6111
2022-05-17,35.3889,35.3889
2022-05-18,35.5,35.7222
2022-05-19,35.7222,35.7222
2022-05-20,35.7222,36.0
2022-05-21,35.7222,35.7778
2022-05-22,35.2778,35.5556
2022-05-23,35.5556,35.6667
2022-05-24,35.4444,36.0
2022-05-25,35.7222,35.7222
2022-05-26,35.5556,35.8333
2022-05-27,35.6667,35.8333
2022-05-28,35.6111,35.7778
2022-05-29,35.8889,35.6111
2022-05-30,35.6667,35.6667
2022-05-31,35.8889,35.9444
2022-06-01,35.5556,36.0
2022-06-02,35.5,35.6667
2022-06-03,35.7222,35.6667
2022-06-04,35.1667,36.0
2022-06-05,35.6111,35.6667
2022-06-06,35.9444,36.0
2022-06-07,35.0556,34.8889
2022-06-08,35.3889,35.7778
2022-06-09,35.7778,35.7222
2022-06-10,35.7778,35.8889
2022-06-11,35.7222,35.6667
2022-06-12,35.9444,35.8889
2022-06-13,36.1667,35.9444
2022-06-14,36.1111,36.1667
2022-06-15,36.1111,35.4444
2022-06-16,35.2778,35.7778
2022-06-17,35.5556,35.5
2022-06-18,35.2222,35.7222
2022-06-19,35.2222,35.4444
2022-06-20,35.4444,35.4444
2022-06-21,35.7222,35.8333
2022-06-22,35.4444,35.3889
2022-06-23,35.2778,35.6111
2022-06-24,35.3889,35.5556
2022-06-25,35.2778,35.3889
2022-06-26,35.3333,35.5556
2022-06-27,35.1111,35.6667
2022-06-28,35.3333,35.6111
2022-06-29,35.3333,35.6667
2022-06-30,35.4444,35.3333
2022-07-01,35.3333,35.5
2022-07-02,35.3889,35.3889
2022-07-03,35.4444,35.7222
2022-07-04,35.6111,35.3889
2022-07-05,35.5556,35.6667
2022-07-06,35.3889,35.6667
2022-07-07,35.5,35.6111
2022-07-08,35.5556,35.6111
2022-07-09,35.2778,35.3333
2022-07-10,35.4444,35.5
2022-07-11,35.3889,35.8333
2022-07-12,35.1667,35.5
2022-07-13,35.1111,35.7222
2022-07-14,35.3333,35.5
2022-07-15,35.4444,35.6667
2022-07-16,35.3333,35.6111
2022-07-17,35.6111,35.7222
2022-07-18,35.3333,35.7222
2022-07-19,35.4444,35.7778
2022-07-20,35.3333,35.9444
2022-07-21,35.2778,35.7222
2022-07-22,35.1111,35.8333
2022-07-23,35.5,35.8889
2022-07-24,35.2778,36.0
2022-07-25,35.1667,35.6667
2022-07-26,35.3333,35.7222
2022-07-27,35.5,35.7778
2022-07-28,36.9444,35.8333
2022-07-29,35.3333,35.5556
2022-07-30,35.1667,35.5556
2022-07-31,35.3333,35.7222
2022-08-01,35.2778,36.1111
2022-08-02,35.2778,35.7222
2022-08-03,35.8889,35.4444
2022-08-04,31.1111,35.5
2022-08-05,35.4444,35.4444
2022-08-06,35.4444,35.3889
2022-08-07,35.5556,35.6667
2022-08-08,35.6111,35.5
2022-08-09,35.3889,35.4444
2022-08-10,35.4444,35.5556
2022-08-11,35.7222,35.6111
2022-08-12,35.7222,36.2222
2022-08-13,35.5,36.0556
2022-08-14,35.7222,36.0
2022-08-15,35.6667,35.8333
2022-08-16,35.6111,35.7222
2022-08-17,35.3333,35.6111
