Date [YYYY-MM-DD],Digester 1 VFA/Alk ratio [-],Digester 2 VFA/Alk ratio [-]
2022-01-01,,
2022-01-02,,
2022-01-03,,
2022-01-04,0.195486,0.20414
2022-01-05,0.232299,0.23485
2022-01-06,0.181487,0.186978
2022-01-07,0.225047,0.286921
2022-01-08,0.264928,0.188647
2022-01-09,0.236643,0.251142
2022-01-10,0.202108,0.215475
2022-01-11,0.22259,0.211921
2022-01-12,0.238339,0.174014
2022-01-13,0.231333,0.216465
2022-01-14,0.275544,0.228566
2022-01-15,0.245336,0.241422
2022-01-16,0.228662,0.233466
2022-01-17,0.249161,0.208603
2022-01-18,0.229684,0.201104
2022-01-19,0.189738,0.177296
2022-01-20,0.304852,0.302342
2022-01-21,0.270497,0.218103
2022-01-22,0.275905,0.307284
2022-01-23,0.353875,0.311179
2022-01-24,0.300317,0.475064
2022-01-25,0.402026,0.478615
2022-01-26,0.347712,0.519587
2022-01-27,0.410769,0.400655
2022-01-28,0.303345,0.305096
2022-01-29,0.374859,0.296508
2022-01-30,0.341408,0.286641
2022-01-31,0.281311,0.268796
2022-02-01,0.305917,0.29944
2022-02-02,0.327192,0.421799
2022-02-03,0.355798,0.322544
2022-02-04,0.331203,0.338776
2022-02-05,0.360937,0.322724
2022-02-06,0.270947,0.345377
2022-02-07,0.328334,0.370989
2022-02-08,0.237358,0.291775
2022-02-09,0.338903,0.292923
2022-02-10,0.29785,0.338235
2022-02-11,0.361813,0.342863
2022-02-12,0.415282,0.422332
2022-02-13,0.344074,0.382617
2022-02-14,0.295956,0.369215
2022-02-15,0.446065,0.298775
2022-02-16,,
2022-02-17,,
2022-02-18,,
2022-02-19,,
2022-02-20,,
2022-02-21,0.251625,0.286097
2022-02-22,0.231539,0.230088
2022-02-23,0.273526,0.253256
2022-02-24,0.253992,0.266142
2022-02-25,0.450874,0.236596
2022-02-26,0.206816,0.234913
2022-02-27,0.23439,0.253659
2022-02-28,0.226583,0.229151
2022-03-01,0.221869,0.248799
2022-03-02,0.299225,0.180257
2022-03-03,0.229545,0.260216
2022-03-04,0.219263,0.22235
2022-03-05,0.265653,0.206889
2022-03-06,0.237434,0.258493
2022-03-07,0.235294,0.197053
2022-03-08,0.204846,0.201576
2022-03-09,0.239215,0.259991
2022-03-10,0.200691,0.226927
2022-03-11,0.26681,0.216024
2022-03-12,0.233743,0.2481
2022-03-13,0.212493,0.233665
2022-03-14,0.185241,0.223527
2022-03-15,0.21194,0.237561
2022-03-16,0.217873,0.231791
2022-03-17,0.171331,0.237648
2022-03-18,0.216577,0.217609
2022-03-19,0.201565,0.262535
2022-03-20,0.233369,0.2362
2022-03-21,0.220266,0.187864
2022-03-22,0.258273,0.226035
2022-03-23,0.276932,0.312667
2022-03-24,0.280919,0.240038
2022-03-25,0.326518,0.25962
2022-03-26,0.212456,0.177718
2022-03-27,0.193292,0.23814
2022-03-28,0.218525,0.212475
2022-03-29,0.19697,0.233974
2022-03-30,0.175162,0.196738
2022-03-31,0.20608,0.239398
2022-04-01,0.229537,0.233566
2022-04-02,,
2022-04-03,,
2022-04-04,0.106052,0.136691
2022-04-05,0.123183,0.153266
2022-04-06,,
2022-04-07,,
2022-04-08,0.108115,0.127169
2022-04-09,,
2022-04-10,0.121723,0.140234
2022-04-11,0.115294,0.110553
2022-04-12,,
2022-04-13,,
2022-04-14,,
2022-04-15,0.135354,0.173706
2022-04-16,0.137983,0.137394
2022-04-17,0.126468,0.135944
2022-04-18,0.134864,0.121591
2022-04-19,0.146691,0.150129
2022-04-20,0.139353,0.147867
2022-04-21,0.172902,0.125887
2022-04-22,0.12015,0.128893
2022-04-23,0.157651,0.160526
2022-04-24,0.153828,0.156429
2022-04-25,0.131965,0.161659
2022-04-26,0.1329,0.181338
2022-04-27,0.189562,0.247408
2022-04-28,0.158959,0.307391
2022-04-29,,
2022-04-30,,
