Date [YYYY-MM-DD],Digester 1 7d avg VS loading rate [kgVS/m3-d],Digester 2 7d avg VS loading rate [kgVS/m3-d]
2022-01-01,,
2022-01-02,,
2022-01-03,,
2022-01-04,0.9053239164615384,0.9053239164615384
2022-01-05,1.2659736880799999,1.2659736880799999
2022-01-06,1.4230265760051282,1.4230265760051282
2022-01-07,1.323666702879121,1.323666702879121
2022-01-08,1.3244587276703297,1.3244587276703297
2022-01-09,1.3236150386373624,1.3236150386373624
2022-01-10,1.5241934450857142,1.5241934450857142
2022-01-11,1.687229330923077,1.687229330923077
2022-01-12,1.7832554119384618,1.7832554119384618
2022-01-13,1.8521279440263736,1.8521279440263736
2022-01-14,1.9383383250065935,1.9383383250065935
2022-01-15,1.951341439556044,1.951341439556044
2022-01-16,1.9586120091164836,1.9586120091164836
2022-01-17,1.9214673333230772,1.9214673333230772
2022-01-18,1.8779049643384613,1.8779049643384613
2022-01-19,2.0566590135824176,2.0566590135824176
2022-01-20,2.077600691032967,2.077600691032967
2022-01-21,2.0646542001758244,2.0646542001758244
2022-01-22,2.081365620210989,2.081365620210989
2022-01-23,2.1082372177318685,2.1082372177318685
2022-01-24,2.0182027887824177,2.0182027887824177
2022-01-25,1.9164293227296703,1.9164293227296703
2022-01-26,1.7010117886241756,1.7010117886241756
2022-01-27,1.585690541164835,1.585690541164835
2022-01-28,1.7250208674021976,1.7250208674021976
2022-01-29,1.7258734752615383,1.7258734752615383
2022-01-30,1.7185192110373624,1.7185192110373624
2022-01-31,1.5959181775340656,1.5959181775340656
2022-02-01,1.4979983611956043,1.4979983611956043
2022-02-02,1.2960879401670329,1.2960879401670329
2022-02-03,1.4391834608835163,1.4391834608835163
2022-02-04,1.4753891017538463,1.4753891017538463
2022-02-05,1.474496592720879,1.474496592720879
2022-02-06,1.4799163872923076,1.4799163872923076
2022-02-07,1.4950143730945054,1.4950143730945054
2022-02-08,1.6006768970637364,1.6006768970637364
2022-02-09,1.6633458622241757,1.6633458622241757
2022-02-10,1.6796708210285713,1.6796708210285713
2022-02-11,2.2036698998461537,2.2036698998461537
2022-02-12,2.2070574355076924,2.2070574355076924
2022-02-13,2.207607692936264,2.207607692936264
2022-02-14,2.2412228629054947,2.2412228629054947
2022-02-15,2.3290758303472527,2.3290758303472527
2022-02-16,2.3096905815648356,2.3096905815648356
2022-02-17,2.152156052712088,2.152156052712088
2022-02-18,1.6597493902197802,1.6597493902197802
2022-02-19,1.672957765876923,1.672957765876923
2022-02-20,1.68313012458022,1.68313012458022
2022-02-21,1.580769579134066,1.580769579134066
2022-02-22,1.6183003459912089,1.6183003459912089
2022-02-23,1.9624646903516483,1.9624646903516483
2022-02-24,2.181490329345055,2.181490329345055
2022-02-25,2.1432600141142855,2.1432600141142855
2022-02-26,2.1338196133846155,2.1338196133846155
2022-02-27,2.1276258474065934,2.1276258474065934
2022-02-28,2.353967665393406,2.353967665393406
2022-03-01,2.382576379749451,2.382576379749451
2022-03-02,2.331674972268132,2.331674972268132
2022-03-03,2.3048102642197805,2.3048102642197805
2022-03-04,2.319690195076923,2.319690195076923
2022-03-05,2.3113031532879122,2.3113031532879122
2022-03-06,2.3086588555736265,2.3086588555736265
2022-03-07,2.547439282241758,2.547439282241758
2022-03-08,2.597270244131868,2.597270244131868
2022-03-09,2.6638503095472528,2.6638503095472528
2022-03-10,2.6542656295692306,2.6542656295692306
2022-03-11,2.5072985559120875,2.5072985559120875
2022-03-12,2.497077843635165,2.497077843635165
2022-03-13,2.480614979542857,2.480614979542857
2022-03-14,2.0871744564527472,2.0871744564527472
2022-03-15,1.9041939552395601,1.9041939552395601
2022-03-16,1.6854265576307694,1.6854265576307694
2022-03-17,1.5179692921054944,1.5179692921054944
2022-03-18,1.6838239441924918,1.6830523069547614
2022-03-19,1.696153571621063,1.6953819343833325
2022-03-20,1.6962342547463378,1.6954626175086072
