dam,k_opt,lag_days,spearman_rho,n_pairs
Maroondah,0.97,0,0.7171955938450917,1826
Maroondah,0.97,1,0.6755039941001929,1825
Maroondah,0.97,2,0.6336367825939897,1824
Maroondah,0.97,3,0.6089983056646511,1823
Maroondah,0.97,4,0.5927233589610418,1822
Maroondah,0.97,5,0.5804353362017276,1821
Maroondah,0.97,6,0.5731377387590043,1820
Maroondah,0.97,7,0.5624810825072316,1819
Maroondah,0.97,8,0.5538035360436042,1818
Maroondah,0.97,9,0.5482698428314051,1817
Maroondah,0.97,10,0.5390399356933137,1816
Maroondah,0.97,11,0.5323386827656595,1815
Maroondah,0.97,12,0.5253409668834917,1814
Maroondah,0.97,13,0.523151294535739,1813
Maroondah,0.97,14,0.521632531279374,1812
O'Shannassy,0.98,0,0.876435935063017,1826
O'Shannassy,0.98,1,0.8550331566037704,1825
O'Shannassy,0.98,2,0.8315698729922487,1824
O'Shannassy,0.98,3,0.8160663363336125,1823
O'Shannassy,0.98,4,0.8058577896339144,1822
O'Shannassy,0.98,5,0.7993255872359001,1821
O'Shannassy,0.98,6,0.7947336296270331,1820
O'Shannassy,0.98,7,0.789407865143235,1819
O'Shannassy,0.98,8,0.7842571032417034,1818
O'Shannassy,0.98,9,0.7790108984441915,1817
O'Shannassy,0.98,10,0.773688275632417,1816
O'Shannassy,0.98,11,0.7694447502922693,1815
O'Shannassy,0.98,12,0.7655839973413673,1814
O'Shannassy,0.98,13,0.7635496954917569,1813
O'Shannassy,0.98,14,0.7627021261771214,1812
Thomson,0.97,0,0.7952098911480221,1826
Thomson,0.97,1,0.750623715314537,1825
Thomson,0.97,2,0.7104143352478184,1824
Thomson,0.97,3,0.683073308899463,1823
Thomson,0.97,4,0.6649092036194102,1822
Thomson,0.97,5,0.650301109038155,1821
Thomson,0.97,6,0.6394257188481701,1820
Thomson,0.97,7,0.6306141334502648,1819
Thomson,0.97,8,0.6255031485805821,1818
Thomson,0.97,9,0.6160583295485327,1817
Thomson,0.97,10,0.6055571905273149,1816
Thomson,0.97,11,0.5973657352782642,1815
Thomson,0.97,12,0.593371082928314,1814
Thomson,0.97,13,0.5882410570111726,1813
Thomson,0.97,14,0.5854961513321238,1812
Upper Yarra,0.98,0,0.8399167070930582,1826
Upper Yarra,0.98,1,0.827045200622168,1825
Upper Yarra,0.98,2,0.8131607820329764,1824
Upper Yarra,0.98,3,0.8025181998890973,1823
Upper Yarra,0.98,4,0.7937678906288305,1822
Upper Yarra,0.98,5,0.7859738793343428,1821
Upper Yarra,0.98,6,0.7796371130540862,1820
Upper Yarra,0.98,7,0.7736823398223744,1819
Upper Yarra,0.98,8,0.7676242640274843,1818
Upper Yarra,0.98,9,0.7617865784554599,1817
Upper Yarra,0.98,10,0.7544226967171321,1816
Upper Yarra,0.98,11,0.7484370511993389,1815
Upper Yarra,0.98,12,0.7429072152174537,1814
Upper Yarra,0.98,13,0.7375853238049734,1813
Upper Yarra,0.98,14,0.7322310646156598,1812
