dam,lag_days,spearman_rho
Maroondah,0,0.4381935971589458
Maroondah,1,0.42269284674511837
Maroondah,2,0.3215615573603572
Maroondah,3,0.28028692026020485
Maroondah,4,0.26273273040564843
Maroondah,5,0.246507325264183
Maroondah,6,0.25325602422594845
Maroondah,7,0.24563187027142158
Maroondah,8,0.23207450387963954
Maroondah,9,0.24018496270512782
Maroondah,10,0.22612547791020401
Maroondah,11,0.21248546919392802
Maroondah,12,0.19126820766872274
Maroondah,13,0.1891192749097609
Maroondah,14,0.17452620874211475
O'Shannassy,0,0.3875122244011569
O'Shannassy,1,0.39972349871336765
O'Shannassy,2,0.32822847031456054
O'Shannassy,3,0.2862658203539818
O'Shannassy,4,0.2636832382110902
O'Shannassy,5,0.2480676635362799
O'Shannassy,6,0.2599181316175426
O'Shannassy,7,0.25330848950821994
O'Shannassy,8,0.2554799718997469
O'Shannassy,9,0.2561838555590768
O'Shannassy,10,0.24828325853309607
O'Shannassy,11,0.23701918470524846
O'Shannassy,12,0.21780865558968657
O'Shannassy,13,0.2139597996251148
O'Shannassy,14,0.2158265275399785
Thomson,0,0.40203844393974203
Thomson,1,0.395734619368299
Thomson,2,0.3208286738460635
Thomson,3,0.27187669741348863
Thomson,4,0.2467850097832012
Thomson,5,0.22174494632741426
Thomson,6,0.21165528033557682
Thomson,7,0.20026916021237687
Thomson,8,0.2112611823801343
Thomson,9,0.22066126312527082
Thomson,10,0.19976692173020658
Thomson,11,0.17819695433130733
Thomson,12,0.18097670456092474
Thomson,13,0.17321072530763112
Thomson,14,0.16222291366535574
Upper Yarra,0,0.2748758798983633
Upper Yarra,1,0.2858386242726635
Upper Yarra,2,0.25334811859944345
Upper Yarra,3,0.23118619340548022
Upper Yarra,4,0.218362081229937
Upper Yarra,5,0.217871449756694
Upper Yarra,6,0.22299798420195563
Upper Yarra,7,0.22655120981170557
Upper Yarra,8,0.22160351013021476
Upper Yarra,9,0.225876646568222
Upper Yarra,10,0.21909880854680042
Upper Yarra,11,0.21222334161811665
Upper Yarra,12,0.2076919118622015
Upper Yarra,13,0.20710849495583084
Upper Yarra,14,0.2089535755395184
