dam,lag_days,spearman_rho,n_pairs
Maroondah,0,0.4381935971589458,1826
Maroondah,1,0.42269284674511837,1825
Maroondah,2,0.3215615573603572,1824
Maroondah,3,0.28028692026020485,1823
Maroondah,4,0.26273273040564843,1822
Maroondah,5,0.246507325264183,1821
Maroondah,6,0.25325602422594845,1820
Maroondah,7,0.24563187027142158,1819
Maroondah,8,0.23207450387963954,1818
Maroondah,9,0.24018496270512782,1817
Maroondah,10,0.22612547791020401,1816
Maroondah,11,0.21248546919392802,1815
Maroondah,12,0.19126820766872274,1814
Maroondah,13,0.1891192749097609,1813
Maroondah,14,0.17452620874211475,1812
O'Shannassy,0,0.3875122244011569,1826
O'Shannassy,1,0.39972349871336765,1825
O'Shannassy,2,0.32822847031456054,1824
O'Shannassy,3,0.2862658203539818,1823
O'Shannassy,4,0.2636832382110902,1822
O'Shannassy,5,0.2480676635362799,1821
O'Shannassy,6,0.2599181316175426,1820
O'Shannassy,7,0.25330848950821994,1819
O'Shannassy,8,0.2554799718997469,1818
O'Shannassy,9,0.2561838555590768,1817
O'Shannassy,10,0.24828325853309607,1816
O'Shannassy,11,0.23701918470524846,1815
O'Shannassy,12,0.21780865558968657,1814
O'Shannassy,13,0.2139597996251148,1813
O'Shannassy,14,0.2158265275399785,1812
Thomson,0,0.40203844393974203,1826
Thomson,1,0.395734619368299,1825
Thomson,2,0.3208286738460635,1824
Thomson,3,0.27187669741348863,1823
Thomson,4,0.2467850097832012,1822
Thomson,5,0.22174494632741426,1821
Thomson,6,0.21165528033557682,1820
Thomson,7,0.20026916021237687,1819
Thomson,8,0.2112611823801343,1818
Thomson,9,0.22066126312527082,1817
Thomson,10,0.19976692173020658,1816
Thomson,11,0.17819695433130733,1815
Thomson,12,0.18097670456092474,1814
Thomson,13,0.17321072530763112,1813
Thomson,14,0.16222291366535574,1812
Upper Yarra,0,0.2748758798983633,1826
Upper Yarra,1,0.2858386242726635,1825
Upper Yarra,2,0.25334811859944345,1824
Upper Yarra,3,0.23118619340548022,1823
Upper Yarra,4,0.218362081229937,1822
Upper Yarra,5,0.217871449756694,1821
Upper Yarra,6,0.22299798420195563,1820
Upper Yarra,7,0.22655120981170557,1819
Upper Yarra,8,0.22160351013021476,1818
Upper Yarra,9,0.225876646568222,1817
Upper Yarra,10,0.21909880854680042,1816
Upper Yarra,11,0.21222334161811665,1815
Upper Yarra,12,0.2076919118622015,1814
Upper Yarra,13,0.20710849495583084,1813
Upper Yarra,14,0.2089535755395184,1812
