recorddate,dam,rainfall_mm,inflow_ML_d
2017-01-01,Maroondah,1,129
2017-01-02,Maroondah,0,151
2017-01-03,Maroondah,0,132
2017-01-04,Maroondah,0,133
2017-01-05,Maroondah,0,128
2017-01-06,Maroondah,0,120
2017-01-07,Maroondah,0,114
2017-01-08,Maroondah,0,107
2017-01-09,Maroondah,0,97
2017-01-10,Maroondah,0,98
2017-01-11,Maroondah,0,105
2017-01-12,Maroondah,1,115
2017-01-13,Maroondah,7,187
2017-01-14,Maroondah,0,103
2017-01-15,Maroondah,0,83
2017-01-16,Maroondah,0,115
2017-01-17,Maroondah,0,114
2017-01-18,Maroondah,0,98
2017-01-19,Maroondah,19,210
2017-01-20,Maroondah,2,152
2017-01-21,Maroondah,0,115
2017-01-22,Maroondah,0,116
2017-01-23,Maroondah,2,116
2017-01-24,Maroondah,0,115
2017-01-25,Maroondah,0,104
2017-01-26,Maroondah,0,99
2017-01-27,Maroondah,0,97
2017-01-28,Maroondah,0,97
2017-01-29,Maroondah,0,106
2017-01-30,Maroondah,6,147
2017-01-31,Maroondah,0,120
2017-02-01,Maroondah,0,97
2017-02-02,Maroondah,0,81
2017-02-03,Maroondah,0,65
2017-02-04,Maroondah,2,64
2017-02-05,Maroondah,38,310
2017-02-06,Maroondah,0,168
2017-02-07,Maroondah,0,122
2017-02-08,Maroondah,0,96
2017-02-09,Maroondah,0,96
2017-02-10,Maroondah,0,51
2017-02-11,Maroondah,3,107
2017-02-12,Maroondah,1,100
2017-02-13,Maroondah,0,53
2017-02-14,Maroondah,0,109
2017-02-15,Maroondah,0,85
2017-02-16,Maroondah,0,57
2017-02-17,Maroondah,0,73
2017-02-18,Maroondah,0,58
2017-02-19,Maroondah,14,192
2017-02-20,Maroondah,0,192
2017-02-21,Maroondah,0,141
2017-02-22,Maroondah,0,125
2017-02-23,Maroondah,0,108
2017-02-24,Maroondah,0,89
2017-02-25,Maroondah,0,83
2017-02-26,Maroondah,0,80
2017-02-27,Maroondah,0,75
2017-02-28,Maroondah,0,58
2017-03-01,Maroondah,0,49
2017-03-02,Maroondah,0,47
2017-03-03,Maroondah,0,46
2017-03-04,Maroondah,0,47
2017-03-05,Maroondah,0,44
2017-03-06,Maroondah,0,45
2017-03-07,Maroondah,0,36
2017-03-08,Maroondah,0,41
2017-03-09,Maroondah,0,42
2017-03-10,Maroondah,0,42
2017-03-11,Maroondah,0,43
2017-03-12,Maroondah,0,44
2017-03-13,Maroondah,0,28
2017-03-14,Maroondah,0,30
2017-03-15,Maroondah,3,217
2017-03-16,Maroondah,0,179
2017-03-17,Maroondah,0,113
2017-03-18,Maroondah,0,113
2017-03-19,Maroondah,8,163
2017-03-20,Maroondah,8,140
2017-03-21,Maroondah,2,136
2017-03-22,Maroondah,0,100
2017-03-23,Maroondah,0,48
2017-03-24,Maroondah,0,56
2017-03-25,Maroondah,0,61
2017-03-26,Maroondah,0,68
2017-03-27,Maroondah,14,170
2017-03-28,Maroondah,0,53
2017-03-29,Maroondah,13,170
2017-03-30,Maroondah,4,129
2017-03-31,Maroondah,0,92
2017-04-01,Maroondah,0,54
2017-04-02,Maroondah,0,98
2017-04-03,Maroondah,0,109
2017-04-04,Maroondah,0,61
2017-04-05,Maroondah,0,58
2017-04-06,Maroondah,0,48
