ASSET_NAME,ASSET_ID,USABLE_VOLUME,GAUGE_TWL,EASTING,NORTHING,latitude,longitude
MAROONDAH RESERVOIR,H050,28199,139.46,373337,5833749,-37.634668259610685,145.56445615343327
UPPER YARRA RESERVOIR,H040,224985,366.63,403156,5829303,-37.678362497951724,145.90175612142468
TOOROURRONG RESERVOIR,H021,300,227.85,336726,5850978,-37.47367738093978,145.15353346746124
SUGARLOAF RESERVOIR,H001,99222,178.0,350801,5829382,-37.670629240253916,145.308244589324
GREENVALE RESERVOIR,H070,27501,167.12,314894,5833520,-37.626816003880826,144.90237317472693
CARDINIA RESERVOIR,H060,286911,167.03,359093,5797633,-37.95798784557359,145.39605397283765
O'SHANNASSY RESERVOIR,H030,3123,363.5,394701,5829803,-37.672925026873266,145.80596410175616
SILVAN RESERVOIR,H010,40581,246.5,360412,5810280,-37.84424736999673,145.41351132989325
YAN YEAN RESERVOIR,H020,33086,183.18,335916,5842078,-37.553713122579396,145.14239068103382
TARAGO RESERVOIR,H120,37574,157.92,405333,5794156,-37.99531900174282,145.92183943741387
THOMSON RESERVOIR,H080,1123089,453.5,443449,5819688,-37.76839003797288,146.35790911585661
