recorddate,Cardinia,Greenvale,Maroondah,O'Shannassy,Silvan,Sugarloaf,Tarago,Thomson,Upper Yarra,Yan Yean,total_stored_ML,total_usable_volume_ML
2015-01-01,181678,17900,14699,1929,35994,90002,37602,832749,156292,26954,1395799,1904571
2015-01-02,181584,17755,14550,1903,35838,89875,37570,831664,156488,26954,1394181,1904571
2015-01-03,181491,17684,14500,1877,35683,89748,37574,830552,156703,26902,1392714,1904571
2015-01-04,181303,17670,14434,1854,35869,89706,37609,829534,156911,26918,1391808,1904571
2015-01-05,181257,17628,14319,1827,35745,89664,37592,828498,157107,26902,1390539,1904571
2015-01-06,181191,17571,14189,1796,35621,89579,37574,827461,157341,26892,1389215,1904571
2015-01-07,181023,17515,14058,1766,35590,89410,37556,826443,157593,26850,1387804,1904571
2015-01-08,181145,17501,13960,1737,35343,89410,37566,825859,157979,26850,1387350,1904571
2015-01-09,181388,17585,13895,1715,35033,89368,37549,826141,157398,26850,1386922,1904571
2015-01-10,181584,17600,13797,1706,34755,89410,37531,826330,156854,26850,1386417,1904571
2015-01-11,181397,17600,13699,1680,34816,89410,37549,826424,156185,26850,1385610,1904571
2015-01-12,181164,17556,13554,1649,34940,89325,37538,826518,155440,26850,1384534,1904571
2015-01-13,180864,17577,13506,1674,35281,89368,37556,826971,154734,26850,1384381,1904571
2015-01-14,180771,17557,13506,1817,35281,89368,37592,827272,154081,26798,1384043,1904571
2015-01-15,180817,17557,13442,1881,35219,89410,37602,827404,153372,26788,1383492,1904571
2015-01-16,180557,17543,13458,1925,35250,89283,37602,827404,152658,26762,1382442,1904571
2015-01-17,180110,17529,13506,1968,35467,89072,37592,827329,151937,26720,1381230,1904571
2015-01-18,179718,17501,13538,2007,35652,88818,37574,827216,151209,26684,1379917,1904571
2015-01-19,179625,17430,13570,2045,35498,88691,37574,827065,150491,26694,1378683,1904571
2015-01-20,179672,17388,13667,2036,35405,88437,37584,827159,149896,26658,1377902,1904571
2015-01-21,179644,17335,13732,1990,35281,88099,37584,827366,149233,26642,1376906,1904571
2015-01-22,179431,17232,13797,2038,35095,87761,37556,827442,148516,26616,1375484,1904571
2015-01-23,179226,17184,13846,2095,35064,87512,37430,827423,147815,26616,1374211,1904571
2015-01-24,178901,17141,13838,2149,35157,87266,37287,827253,147084,26554,1372630,1904571
2015-01-25,178605,17119,13797,2207,35312,87019,37137,827027,146389,26513,1371125,1904571
2015-01-26,178234,17119,13634,2250,35467,86814,37019,826782,145645,26463,1369427,1904571
2015-01-27,178234,17062,13506,2263,35250,86691,36929,826688,144916,26427,1367966,1904571
2015-01-28,178253,16999,13346,2276,35064,86609,36858,826537,144194,26376,1366512,1904571
2015-01-29,178234,16937,13202,2247,34878,86486,36804,826631,143418,26350,1365187,1904571
2015-01-30,178049,16896,13042,2227,34971,86486,36786,826688,142636,26325,1364106,1904571
2015-01-31,177864,16903,12898,2201,35157,86486,36768,826537,141877,26284,1362975,1904571
2015-02-01,177578,16854,12818,2173,35374,86362,36750,826424,141106,26325,1361764,1904571
2015-02-02,177495,16868,12834,2149,35235,86198,36714,826330,140329,26310,1360462,1904571
2015-02-03,177311,16868,12724,2123,35064,85911,36697,826217,139560,26284,1358759,1904571
2015-02-04,176942,16889,12677,2130,35064,85706,36679,826047,138957,26259,1357350,1904571
2015-02-05,176528,16854,12536,2143,35173,85377,36697,825877,138202,26233,1355620,1904571
2015-02-06,176326,16757,12426,2125,35064,85049,36679,825689,137413,26248,1353776,1904571
2015-02-07,175866,16674,12285,2104,35142,84926,36661,825501,136701,26208,1352068,1904571
2015-02-08,175417,16674,12175,2084,35281,84885,36636,825275,135918,26197,1350542,1904571
2015-02-09,175380,16649,12035,2063,35033,84720,36618,825105,135128,26182,1348913,1904571
2015-02-10,174968,16564,11896,2043,35204,84638,36571,824898,134254,26172,1347208,1904571
2015-02-11,174739,16509,11758,2055,35188,84474,36553,824728,133364,26131,1345499,1904571
2015-02-12,174483,16472,11620,2104,35312,84433,36518,824521,132445,26106,1344014,1904571
2015-02-13,174648,16494,11558,2184,35281,84433,36492,824803,131650,26182,1343725,1904571
2015-02-14,174374,16508,11558,2346,35590,84515,36589,825237,130925,26223,1343865,1904571
2015-02-15,174018,16480,11420,2417,35838,84515,36643,825218,130080,26197,1342826,1904571
2015-02-16,174064,16474,11313,2477,35683,84433,36661,825105,129241,26172,1341623,1904571
2015-02-17,174118,16450,11207,2536,35467,84392,36661,825049,128507,26146,1340533,1904571
2015-02-18,174283,16480,11072,2592,35343,84310,36661,825124,127781,26146,1339792,1904571
2015-02-19,174465,16453,10997,2663,35219,84187,36671,825049,126972,26131,1338807,1904571
2015-02-20,174374,16446,10862,2665,35281,84105,36671,824954,126042,26121,1337521,1904571
2015-02-21,173973,16384,10727,2653,35621,84064,36671,825011,125112,26121,1336337,1904571
2015-02-22,173553,16315,10607,2638,35962,83981,36636,824917,124198,26106,1334913,1904571
2015-02-23,173662,16329,10547,2655,35994,83735,36661,824860,123295,26121,1333859,1904571
2015-02-24,173827,16336,10430,2663,35869,83694,36654,824728,122342,26095,1332638,1904571
2015-02-25,174045,16329,10285,2660,35714,83612,36607,824709,121380,26080,1331421,1904571
2015-02-26,174255,16329,10139,2631,35683,83531,36607,824615,120258,26055,1330103,1904571
2015-02-27,174474,16321,9979,2648,35652,83452,36582,824615,119093,26044,1328860,1904571
2015-02-28,174739,16370,9834,2680,35869,83452,36546,824483,118001,26106,1328080,1904571
2015-03-01,174986,16370,9706,2685,35869,83412,36589,824445,116823,26080,1326965,1904571
2015-03-02,175169,16384,9425,2682,35838,83372,36600,824295,115518,26055,1325338,1904571
2015-03-03,175334,16397,9143,2675,35838,83293,36607,824106,114205,26044,1323642,1904571
2015-03-04,175527,16397,8815,2670,35776,83134,36568,823918,112884,26019,1321708,1904571
2015-03-05,175820,16412,8515,2677,35621,83054,36553,823786,111544,25978,1319960,1904571
2015-03-06,176206,16453,8210,2700,35529,82974,36564,823691,110238,25927,1318492,1904571
2015-03-07,176482,16467,7908,2709,35405,82935,36571,823578,108988,25968,1317011,1904571
2015-03-08,176758,16480,7661,2707,35188,82855,36564,823446,107896,25942,1315497,1904571
2015-03-09,176574,16484,7463,2702,35467,82776,36546,823276,106769,25927,1313984,1904571
2015-03-10,176574,16509,7296,2695,35683,82617,36500,823145,105673,25902,1312594,1904571
2015-03-11,176666,16514,7151,2685,35637,82457,36492,822994,104732,25891,1311219,1904571
2015-03-12,176776,16522,7017,2674,35498,82418,36475,822824,103883,25891,1309978,1904571
2015-03-13,176850,16508,6862,2662,35343,82338,36439,822617,103038,25825,1308482,1904571
2015-03-14,176758,16501,6721,2655,35405,82338,36410,822410,102153,25815,1307166,1904571
2015-03-15,176988,16501,6574,2643,35080,82338,36410,822203,101416,25774,1305927,1904571
2015-03-16,176887,16544,6574,2631,35033,82179,36392,822033,100692,25723,1304688,1904571
2015-03-17,176786,16570,6562,2624,34971,81901,36367,821863,99956,25723,1303323,1904571
2015-03-18,176556,16570,6574,2616,35064,81662,36339,821694,99249,25723,1302047,1904571
2015-03-19,176252,16563,6599,2614,35157,81423,36331,820921,99221,25738,1300819,1904571
2015-03-20,175930,16530,6623,2614,35281,81225,36313,819715,99570,25697,1299498,1904571
2015-03-21,175591,16518,6636,2602,35343,81026,36296,818490,99896,25697,1298095,1904571
