Pathogen,Indicator,n_pairs [-],Spearman_rho [-],Pearson_r [-]
Adenovirus,Total coliform,40,-0.08519821956198781,-0.09492427570963105
Adenovirus,Fecal coliform,43,-0.20104222251528592,-0.1893912220467603
Adenovirus,E. coli,43,-0.20173716242249937,-0.23787607855312104
Adenovirus,Somatic coliphage,43,-0.1580815728005583,-0.0673716329784052
Adenovirus,Male-specific coliphage,44,0.025943811923481844,0.055442930565279436
Adenovirus,Aerobic endospores,44,0.18737443268548723,0.12532754380539823
Giardia,Total coliform,40,0.3645403377110695,0.3045237161954999
Giardia,Fecal coliform,43,0.42570220477197224,0.39213014191472184
Giardia,E. coli,43,0.31224042979603456,0.2634533662606486
Giardia,Somatic coliphage,43,0.20516499341132427,0.20208291033497125
Giardia,Male-specific coliphage,44,0.31971806663770796,0.21949093619997218
Giardia,Aerobic endospores,44,0.0926134770972078,-0.023495449606959873
Cryptosporidium,Total coliform,25,0.06846153846153846,0.009619938059234997
Cryptosporidium,Fecal coliform,28,0.14395183360700603,0.282622031571373
Cryptosporidium,E. coli,28,0.07663884018669864,0.14198915966077524
Cryptosporidium,Somatic coliphage,28,0.23097974822112752,0.18601931142713865
Cryptosporidium,Male-specific coliphage,29,0.06752095447953399,0.15478019960837694
Cryptosporidium,Aerobic endospores,29,0.07094469816098706,-0.007694602953312139
