Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 01,BiSp,Adenovirus,6696,0.02,6696.0,0.02,Detected,5.5247854493212225
Event 02,BiSp,Adenovirus,8,0.02,8.0,0.02,Detected,2.6020599913279625
Event 03,BiSp,Adenovirus,7099,BDL,7099.0,0.02,Non-detect,5.550167180510179
Event 04,BiSp,Adenovirus,5,0.02,5.0,0.02,Detected,2.3979400086720375
Event 05,BiSp,Adenovirus,3,0.04,3.0,0.04,Detected,1.8750612633917
Event 06,BiSp,Adenovirus,5884,0.03,5884.0,0.03,Detected,5.29255140933583
Event 07,BiSp,Adenovirus,17,BDL,17.0,0.02,Non-detect,2.929418925714293
Event 08,BiSp,Adenovirus,67,0.1,67.0,0.1,Detected,2.8260748027008264
Event 09,BiSp,Adenovirus,61,0.54,61.0,0.54,Detected,2.0529360751877985
Event 10,BiSp,Adenovirus,2936,BDL,2936.0,0.02,Non-detect,5.166726055580051
Event 11,BiSp,Adenovirus,10980,0.32,10980.0,0.32,Detected,4.535452361794167
Event 12,BiSp,Adenovirus,14878,0.15,14878.0,0.15,Detected,4.996453295316682
Event 13,BiSp,Adenovirus,15,0.21,15.0,0.21,Detected,1.853871964321762
Event 14,BiSp,Adenovirus,71,0.07,71.0,0.07,Detected,3.0061603087048185
Event 15,BiSp,Adenovirus,17,0.09,17.0,0.09,Detected,2.276206411938949
Event 16,BiSp,Adenovirus,20,0.05,20.0,0.05,Detected,2.6020599913279625
Event 02,BrWo,Adenovirus,1488,0.02,1488.0,0.02,Detected,4.871572935545879
Event 03,BrWo,Adenovirus,18,0.04,18.0,0.04,Detected,2.6532125137753435
Event 04,BrWo,Adenovirus,42,0.02,42.0,0.02,Detected,3.322219294733919
Event 05,BrWo,Adenovirus,4503,0.02,4503.0,0.02,Detected,5.352471951298952
Event 06,BrWo,Adenovirus,5797,0.04,5797.0,0.04,Detected,5.161143309042809
Event 07,BrWo,Adenovirus,17,0.02,17.0,0.02,Detected,2.929418925714293
Event 08,BrWo,Adenovirus,2350,BDL,2350.0,0.02,Non-detect,5.0700378666077555
Event 09,BrWo,Adenovirus,17,BDL,17.0,0.02,Non-detect,2.929418925714293
Event 10,BrWo,Adenovirus,34,BDL,34.0,0.02,Non-detect,3.230448921378274
Event 11,BrWo,Adenovirus,16,BDL,16.0,0.02,Non-detect,2.9030899869919438
Event 12,BrWo,Adenovirus,10,BDL,10.0,0.02,Non-detect,2.6989700043360187
Event 14,BrWo,Adenovirus,13,BDL,13.0,0.02,Non-detect,2.8129133566428557
Event 15,BrWo,Adenovirus,17,BDL,17.0,0.02,Non-detect,2.929418925714293
Event 16,BrWo,Adenovirus,143,BDL,143.0,0.02,Non-detect,3.8543060418010806
Event 01,NoWe,Adenovirus,144,BDL,144.0,0.02,Non-detect,3.8573324964312685
Event 02,NoWe,Adenovirus,11929,BDL,11929.0,0.02,Non-detect,5.775574042919629
Event 03,NoWe,Adenovirus,302,BDL,302.0,0.02,Non-detect,4.17897694729317
Event 04,NoWe,Adenovirus,1535,BDL,1535.0,0.02,Non-detect,4.8850783841492245
Event 05,NoWe,Adenovirus,2766,BDL,2766.0,0.02,Non-detect,5.140822180109311
Event 06,NoWe,Adenovirus,12,BDL,12.0,0.02,Non-detect,2.7781512503836434
Event 07,NoWe,Adenovirus,9,BDL,9.0,0.02,Non-detect,2.6532125137753435
Event 08,NoWe,Adenovirus,7299,0.05,7299.0,0.05,Detected,5.164293359314462
Event 09,NoWe,Adenovirus,3284,0.07,3284.0,0.07,Detected,4.671305108433146
Event 10,NoWe,Adenovirus,11318,211,11318.0,211.0,Detected,1.7294872343016165
Event 11,NoWe,Adenovirus,12047,0.07,12047.0,0.07,Detected,5.23578087032756
Event 12,NoWe,Adenovirus,65480,0.06,65480.0,0.06,Detected,6.0379574203562605
Event 13,NoWe,Adenovirus,9804,0.06,9804.0,0.06,Detected,5.213252052196396
Event 14,NoWe,Adenovirus,810,0.11,810.0,0.11,Detected,3.8670923337204246
Event 15,NoWe,Adenovirus,45,3.17,45.0,3.17,Detected,1.1521532515575923
Event 16,NoWe,Adenovirus,27975,511,27975.0,511.0,Detected,1.7383491950656749
