Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 01,BiSp,Adenovirus,6696,0.02,6696.0,0.02,Detected,5.5247854493212225
Event 01,NoWe,Adenovirus,144,BDL,144.0,0.02,Non-detect,3.8573324964312685
Event 02,BiSp,Adenovirus,8,0.02,8.0,0.02,Detected,2.6020599913279625
Event 02,BrWo,Adenovirus,1488,0.02,1488.0,0.02,Detected,4.871572935545879
Event 02,NoWe,Adenovirus,11929,BDL,11929.0,0.02,Non-detect,5.775574042919629
Event 03,BiSp,Adenovirus,7099,BDL,7099.0,0.02,Non-detect,5.550167180510179
Event 03,BrWo,Adenovirus,18,0.04,18.0,0.04,Detected,2.6532125137753435
Event 03,NoWe,Adenovirus,302,BDL,302.0,0.02,Non-detect,4.17897694729317
Event 04,BiSp,Adenovirus,5,0.02,5.0,0.02,Detected,2.3979400086720375
Event 04,BrWo,Adenovirus,42,0.02,42.0,0.02,Detected,3.322219294733919
Event 04,NoWe,Adenovirus,1535,BDL,1535.0,0.02,Non-detect,4.8850783841492245
Event 05,BiSp,Adenovirus,3,0.04,3.0,0.04,Detected,1.8750612633917
Event 05,BrWo,Adenovirus,4503,0.02,4503.0,0.02,Detected,5.352471951298952
Event 05,NoWe,Adenovirus,2766,BDL,2766.0,0.02,Non-detect,5.140822180109311
Event 06,BiSp,Adenovirus,5884,0.03,5884.0,0.03,Detected,5.29255140933583
Event 06,BrWo,Adenovirus,5797,0.04,5797.0,0.04,Detected,5.161143309042809
Event 06,NoWe,Adenovirus,12,BDL,12.0,0.02,Non-detect,2.7781512503836434
Event 07,BiSp,Adenovirus,17,BDL,17.0,0.02,Non-detect,2.929418925714293
Event 07,BrWo,Adenovirus,17,0.02,17.0,0.02,Detected,2.929418925714293
Event 07,NoWe,Adenovirus,9,BDL,9.0,0.02,Non-detect,2.6532125137753435
Event 08,BiSp,Adenovirus,67,0.1,67.0,0.1,Detected,2.8260748027008264
Event 08,BrWo,Adenovirus,2350,BDL,2350.0,0.02,Non-detect,5.0700378666077555
Event 08,NoWe,Adenovirus,7299,0.05,7299.0,0.05,Detected,5.164293359314462
Event 09,BiSp,Adenovirus,61,0.54,61.0,0.54,Detected,2.0529360751877985
Event 09,BrWo,Adenovirus,17,BDL,17.0,0.02,Non-detect,2.929418925714293
Event 09,NoWe,Adenovirus,3284,0.07,3284.0,0.07,Detected,4.671305108433146
Event 10,BiSp,Adenovirus,2936,BDL,2936.0,0.02,Non-detect,5.166726055580051
Event 10,BrWo,Adenovirus,34,BDL,34.0,0.02,Non-detect,3.230448921378274
Event 10,NoWe,Adenovirus,11318,211,11318.0,211.0,Detected,1.7294872343016165
Event 11,BiSp,Adenovirus,10980,0.32,10980.0,0.32,Detected,4.535452361794167
Event 11,BrWo,Adenovirus,16,BDL,16.0,0.02,Non-detect,2.9030899869919438
Event 11,NoWe,Adenovirus,12047,0.07,12047.0,0.07,Detected,5.23578087032756
Event 12,BiSp,Adenovirus,14878,0.15,14878.0,0.15,Detected,4.996453295316682
Event 12,BrWo,Adenovirus,10,BDL,10.0,0.02,Non-detect,2.6989700043360187
Event 12,NoWe,Adenovirus,65480,0.06,65480.0,0.06,Detected,6.0379574203562605
Event 13,BiSp,Adenovirus,15,0.21,15.0,0.21,Detected,1.853871964321762
Event 13,NoWe,Adenovirus,9804,0.06,9804.0,0.06,Detected,5.213252052196396
Event 14,BiSp,Adenovirus,71,0.07,71.0,0.07,Detected,3.0061603087048185
Event 14,BrWo,Adenovirus,13,BDL,13.0,0.02,Non-detect,2.8129133566428557
Event 14,NoWe,Adenovirus,810,0.11,810.0,0.11,Detected,3.8670923337204246
Event 15,BiSp,Adenovirus,17,0.09,17.0,0.09,Detected,2.276206411938949
Event 15,BrWo,Adenovirus,17,BDL,17.0,0.02,Non-detect,2.929418925714293
Event 15,NoWe,Adenovirus,45,3.17,45.0,3.17,Detected,1.1521532515575923
Event 16,BiSp,Adenovirus,20,0.05,20.0,0.05,Detected,2.6020599913279625
Event 16,BrWo,Adenovirus,143,BDL,143.0,0.02,Non-detect,3.8543060418010806
Event 16,NoWe,Adenovirus,27975,511,27975.0,511.0,Detected,1.7383491950656749
Event 01,NoWe,Aerobic endospores,140,4.55,140.0,4.55,Detected,1.4881166390211256
Event 02,BiSp,Aerobic endospores,150,35.5,150.0,35.5,Detected,0.6258629060005871
Event 02,BrWo,Aerobic endospores,265,17.5,265.0,17.5,Detected,1.1802078252505135
Event 02,NoWe,Aerobic endospores,245,0.3,245.0,0.3,Detected,2.91204482964487
Event 03,BiSp,Aerobic endospores,210,11,210.0,11.0,Detected,1.2808266095756942
Event 03,BrWo,Aerobic endospores,285,17.5,285.0,17.5,Detected,1.2118068113222158
Event 03,NoWe,Aerobic endospores,400,11,400.0,11.0,Detected,1.5606673061697374
Event 04,BiSp,Aerobic endospores,2500,41,2500.0,41.0,Detected,1.785156151952302
Event 04,BrWo,Aerobic endospores,1150,6,1150.0,6.0,Detected,2.282546589969968
Event 04,NoWe,Aerobic endospores,280,2,280.0,2.0,Detected,2.146128035678238
Event 05,BiSp,Aerobic endospores,80,0.4,80.0,0.4,Detected,2.3010299956639813
Event 05,BrWo,Aerobic endospores,350,3.3,350.0,3.3,Detected,2.025554104472388
Event 05,NoWe,Aerobic endospores,550,13,550.0,13.0,Detected,1.6264193371874072
Event 06,BiSp,Aerobic endospores,230,5.7,230.0,5.7,Detected,1.6058529803451014
Event 06,BrWo,Aerobic endospores,1000,8,1000.0,8.0,Detected,2.0969100130080562
Event 06,NoWe,Aerobic endospores,225,3,225.0,3.0,Detected,1.8750612633917
Event 07,BrWo,Aerobic endospores,85,8.6,85.0,8.6,Detected,0.994920474470725
Event 07,NoWe,Aerobic endospores,95,5.2,95.0,5.2,Detected,1.2617202616540486
Event 08,BiSp,Aerobic endospores,40,2.9,40.0,2.9,Detected,1.1396619934290064
Event 08,BrWo,Aerobic endospores,3000,50.5,3000.0,50.5,Detected,1.7738298766010012
Event 08,NoWe,Aerobic endospores,1000,36,1000.0,36.0,Detected,1.4436974992327127
Event 09,BiSp,Aerobic endospores,2950,1.5,2950.0,1.5,Detected,3.2937307569224816
