Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 02,BiSp,Aerobic endospores,150,35.5,150.0,35.5,Detected,0.6258629060005871
Event 03,BiSp,Aerobic endospores,210,11,210.0,11.0,Detected,1.2808266095756942
Event 04,BiSp,Aerobic endospores,2500,41,2500.0,41.0,Detected,1.785156151952302
Event 05,BiSp,Aerobic endospores,80,0.4,80.0,0.4,Detected,2.3010299956639813
Event 06,BiSp,Aerobic endospores,230,5.7,230.0,5.7,Detected,1.6058529803451014
Event 08,BiSp,Aerobic endospores,40,2.9,40.0,2.9,Detected,1.1396619934290064
Event 09,BiSp,Aerobic endospores,2950,1.5,2950.0,1.5,Detected,3.2937307569224816
Event 10,BiSp,Aerobic endospores,70,9,70.0,9.0,Detected,0.8908555305749319
Event 11,BiSp,Aerobic endospores,1700,201,1700.0,201.0,Detected,0.9272528639577851
Event 12,BiSp,Aerobic endospores,150,10,150.0,10.0,Detected,1.1760912590556813
Event 13,BiSp,Aerobic endospores,110,7.5,110.0,7.5,Detected,1.166331421766525
Event 14,BiSp,Aerobic endospores,165,3.5,165.0,3.5,Detected,1.6734158998636306
Event 15,BiSp,Aerobic endospores,445,4,445.0,4.0,Detected,2.046300019652969
Event 16,BiSp,Aerobic endospores,5,2,5.0,2.0,Detected,0.3979400086720376
Event 02,BrWo,Aerobic endospores,265,17.5,265.0,17.5,Detected,1.1802078252505135
Event 03,BrWo,Aerobic endospores,285,17.5,285.0,17.5,Detected,1.2118068113222158
Event 04,BrWo,Aerobic endospores,1150,6,1150.0,6.0,Detected,2.282546589969968
Event 05,BrWo,Aerobic endospores,350,3.3,350.0,3.3,Detected,2.025554104472388
Event 06,BrWo,Aerobic endospores,1000,8,1000.0,8.0,Detected,2.0969100130080562
Event 07,BrWo,Aerobic endospores,85,8.6,85.0,8.6,Detected,0.994920474470725
Event 08,BrWo,Aerobic endospores,3000,50.5,3000.0,50.5,Detected,1.7738298766010012
Event 09,BrWo,Aerobic endospores,2300,31,2300.0,31.0,Detected,1.8703661421833202
Event 10,BrWo,Aerobic endospores,140,10,140.0,10.0,Detected,1.146128035678238
Event 11,BrWo,Aerobic endospores,1600,98,1600.0,98.0,Detected,1.21289390696343
Event 12,BrWo,Aerobic endospores,150,10,150.0,10.0,Detected,1.1760912590556813
Event 13,BrWo,Aerobic endospores,110,7.5,110.0,7.5,Detected,1.166331421766525
Event 14,BrWo,Aerobic endospores,70,5,70.0,5.0,Detected,1.146128035678238
Event 15,BrWo,Aerobic endospores,62,2.5,62.0,2.5,Detected,1.3944516808262164
Event 16,BrWo,Aerobic endospores,65,4.5,65.0,4.5,Detected,1.159700842867512
Event 01,NoWe,Aerobic endospores,140,4.55,140.0,4.55,Detected,1.4881166390211256
Event 02,NoWe,Aerobic endospores,245,0.3,245.0,0.3,Detected,2.91204482964487
Event 03,NoWe,Aerobic endospores,400,11,400.0,11.0,Detected,1.5606673061697374
Event 04,NoWe,Aerobic endospores,280,2,280.0,2.0,Detected,2.146128035678238
Event 05,NoWe,Aerobic endospores,550,13,550.0,13.0,Detected,1.6264193371874072
Event 06,NoWe,Aerobic endospores,225,3,225.0,3.0,Detected,1.8750612633917
Event 07,NoWe,Aerobic endospores,95,5.2,95.0,5.2,Detected,1.2617202616540486
Event 08,NoWe,Aerobic endospores,1000,36,1000.0,36.0,Detected,1.4436974992327127
Event 09,NoWe,Aerobic endospores,2250,60,2250.0,60.0,Detected,1.5740312677277188
Event 10,NoWe,Aerobic endospores,155,39,155.0,39.0,Detected,0.5992670911437923
Event 11,NoWe,Aerobic endospores,230,8,230.0,8.0,Detected,1.4586378490256493
Event 12,NoWe,Aerobic endospores,140,28.5,140.0,28.5,Detected,0.6912831756697279
Event 13,NoWe,Aerobic endospores,150,10.5,150.0,10.5,Detected,1.154901959985743
Event 14,NoWe,Aerobic endospores,35,4.5,35.0,4.5,Detected,0.8908555305749319
Event 15,NoWe,Aerobic endospores,210,17,210.0,17.0,Detected,1.0917703733556454
Event 16,NoWe,Aerobic endospores,20,7.5,20.0,7.5,Detected,0.4259687322722811
Event 02,BiSp,E. coli,5560000,8.5,5560000.0,8.5,Detected,5.815655865867765
Event 03,BiSp,E. coli,4100000,BDL,4100000.0,1.0,Non-detect,6.6127838567197355
Event 04,BiSp,E. coli,71700000,248.1,71700000.0,248.1,Detected,5.460892391395591
Event 05,BiSp,E. coli,14800000,BDL,14800000.0,1.0,Non-detect,7.1702617153949575
Event 08,BiSp,E. coli,20300000,1,20300000.0,1.0,Detected,7.307496037913213
Event 09,BiSp,E. coli,13500000,4.1,13500000.0,4.1,Detected,6.517549911775271
Event 10,BiSp,E. coli,200000,BDL,200000.0,1.0,Non-detect,5.301029995663981
Event 11,BiSp,E. coli,2750000,BDL,2750000.0,1.0,Non-detect,6.439332693830263
Event 12,BiSp,E. coli,53400000,3,53400000.0,3.0,Detected,7.250420002308894
Event 13,BiSp,E. coli,2780000,BDL,2780000.0,1.0,Non-detect,6.444044795918076
Event 14,BiSp,E. coli,649000000,2,649000000.0,2.0,Detected,8.511214701136389
Event 15,BiSp,E. coli,4000000,1,4000000.0,1.0,Detected,6.6020599913279625
Event 16,BiSp,E. coli,488000000,12.1,488000000.0,12.1,Detected,7.60563445168626
Event 02,BrWo,E. coli,4350000,BDL,4350000.0,1.0,Non-detect,6.638489256954637
Event 03,BrWo,E. coli,3930000,BDL,3930000.0,1.0,Non-detect,6.594392550375427
Event 04,BrWo,E. coli,26030000,BDL,26030000.0,1.0,Non-detect,7.4154741681092355
Event 05,BrWo,E. coli,2780000,BDL,2780000.0,1.0,Non-detect,6.444044795918076
Event 06,BrWo,E. coli,7120000,BDL,7120000.0,1.0,Non-detect,6.852479993636856
Event 07,BrWo,E. coli,630000,1,630000.0,1.0,Detected,5.799340549453582
Event 08,BrWo,E. coli,4620000,BDL,4620000.0,1.0,Non-detect,6.664641975556125
Event 09,BrWo,E. coli,10900000,193.5,10900000.0,193.5,Detected,4.750745528585694
Event 10,BrWo,E. coli,1710000,2,1710000.0,2.0,Detected,5.931966114728173
Event 11,BrWo,E. coli,5200000,1,5200000.0,1.0,Detected,6.7160033436347994
