Event,Plant,Microorganism,Influent_raw,Effluent_raw,Influent_used,Effluent_used,Effluent_detected_flag,LRV [log10]
Event 01,BiSp,Cryptosporidium,30,0.11,30.0,0.11,Detected,2.4357285695614372
Event 03,BiSp,Cryptosporidium,10,0,10.0,0.1,Non-detect,2.0
Event 06,BiSp,Cryptosporidium,3420,49.81,3420.0,49.81,Detected,1.8367095643237517
Event 07,BiSp,Cryptosporidium,2830,0.02,2830.0,0.02,Detected,5.150756439860309
Event 08,BiSp,Cryptosporidium,20,3.41,20.0,3.41,Detected,0.7682756166714835
Event 09,BiSp,Cryptosporidium,1190,10.44,1190.0,10.44,Detected,2.0568464627262877
Event 10,BiSp,Cryptosporidium,1150,0.22,1150.0,0.22,Detected,3.7182751595314056
Event 11,BiSp,Cryptosporidium,1180,1.31,1180.0,1.31,Detected,2.954610711650361
Event 12,BiSp,Cryptosporidium,1850,0.08,1850.0,0.08,Detected,4.36408174141107
Event 13,BiSp,Cryptosporidium,50,3.92,50.0,3.92,Detected,1.1056839373155616
Event 15,BiSp,Cryptosporidium,50,0.04,50.0,0.04,Detected,3.0969100130080562
Event 02,BrWo,Cryptosporidium,8,0.01,8.0,0.01,Detected,2.9030899869919438
Event 03,BrWo,Cryptosporidium,20,0.06,20.0,0.06,Detected,2.5228787452803374
Event 04,BrWo,Cryptosporidium,150,0.48,150.0,0.48,Detected,2.494850021680094
Event 05,BrWo,Cryptosporidium,10,0.13,10.0,0.13,Detected,1.8860566476931633
Event 06,BrWo,Cryptosporidium,30,0.72,30.0,0.72,Detected,1.619788758288394
Event 07,BrWo,Cryptosporidium,50,1.42,50.0,1.42,Detected,1.5466816599529625
Event 08,BrWo,Cryptosporidium,20,1.3,20.0,1.3,Detected,1.1870866433571443
Event 10,BrWo,Cryptosporidium,10,0.02,10.0,0.02,Detected,2.6989700043360187
Event 11,BrWo,Cryptosporidium,10,0.53,10.0,0.53,Detected,1.2757241303992108
Event 14,BrWo,Cryptosporidium,10,0.26,10.0,0.26,Detected,1.585026652029182
Event 01,NoWe,Cryptosporidium,20,0.54,20.0,0.54,Detected,1.5686362358410126
Event 03,NoWe,Cryptosporidium,10,0.17,10.0,0.17,Detected,1.7695510786217261
Event 06,NoWe,Cryptosporidium,190,0.71,190.0,0.71,Detected,2.427495252233754
Event 07,NoWe,Cryptosporidium,90,0.88,90.0,0.88,Detected,2.009759837289156
Event 08,NoWe,Cryptosporidium,80,8.55,80.0,8.55,Detected,0.971123872263771
Event 09,NoWe,Cryptosporidium,100,0.11,100.0,0.11,Detected,2.958607314841775
Event 10,NoWe,Cryptosporidium,10,0.43,10.0,0.43,Detected,1.3665315444204134
Event 11,NoWe,Cryptosporidium,10,0.01,10.0,0.01,Detected,3.0
Event 12,NoWe,Cryptosporidium,10,0.52,10.0,0.52,Detected,1.2839966563652008
Event 16,NoWe,Cryptosporidium,40,0,40.0,0.1,Non-detect,2.6020599913279625
Event 01,BiSp,Giardia,3500,42.89,3500.0,42.89,Detected,1.9117119981112025
Event 02,BiSp,Giardia,336,52.05,336.0,52.05,Detected,0.8099185435432892
Event 03,BiSp,Giardia,80,0,80.0,0.1,Non-detect,2.9030899869919438
Event 04,BiSp,Giardia,100,2.77,100.0,2.77,Detected,1.5575202309355514
Event 05,BiSp,Giardia,20,0,20.0,0.1,Non-detect,2.3010299956639813
Event 06,BiSp,Giardia,10310,0.16,10310.0,0.16,Detected,4.809138682627592
Event 07,BiSp,Giardia,6790,0.01,6790.0,0.01,Detected,5.831869774280502
