Plant,Event,Indicator_LRV [log10],Adenovirus_LRV [log10],Indicator
NoWe,Event 01,5.435764660015765,3.8573324964312685,Total coliform
BrWo,Event 02,6.666042301994836,4.871572935545879,Total coliform
NoWe,Event 02,5.039174166657218,5.775574042919629,Total coliform
BiSp,Event 02,4.970168582533456,2.6020599913279625,Total coliform
BrWo,Event 04,6.343930275380176,3.322219294733919,Total coliform
NoWe,Event 04,5.9143012667656665,4.8850783841492245,Total coliform
BiSp,Event 04,5.280051546384095,2.3979400086720375,Total coliform
BrWo,Event 05,5.984785459776335,5.352471951298952,Total coliform
NoWe,Event 05,4.555604998868288,5.140822180109311,Total coliform
BiSp,Event 05,7.7160033436347994,1.8750612633917,Total coliform
BrWo,Event 06,5.720673744896787,5.161143309042809,Total coliform
NoWe,Event 06,4.170882374272417,2.7781512503836434,Total coliform
BrWo,Event 07,6.325454594995399,2.929418925714293,Total coliform
NoWe,Event 07,4.136747969934647,2.6532125137753435,Total coliform
BrWo,Event 08,7.4171394097273255,5.0700378666077555,Total coliform
NoWe,Event 08,3.8223441029422323,5.164293359314462,Total coliform
BiSp,Event 08,4.913504147666708,2.8260748027008264,Total coliform
BrWo,Event 09,4.8031177329681185,2.929418925714293,Total coliform
NoWe,Event 09,4.207253784374382,4.671305108433146,Total coliform
BiSp,Event 09,5.681863729529148,2.0529360751877985,Total coliform
BrWo,Event 10,5.499596456704555,3.230448921378274,Total coliform
NoWe,Event 10,5.120773829531639,1.7294872343016165,Total coliform
BiSp,Event 10,6.495410040431972,5.166726055580051,Total coliform
BrWo,Event 11,5.7042269617848715,2.9030899869919438,Total coliform
NoWe,Event 11,5.603151922715435,5.23578087032756,Total coliform
BiSp,Event 11,5.289570373496931,4.535452361794167,Total coliform
BrWo,Event 12,5.376879180090214,2.6989700043360187,Total coliform
NoWe,Event 12,5.45991922461204,6.0379574203562605,Total coliform
BiSp,Event 12,5.491262324315042,4.996453295316682,Total coliform
NoWe,Event 13,4.790260024704017,5.213252052196396,Total coliform
BiSp,Event 13,7.002517656221246,1.853871964321762,Total coliform
BrWo,Event 14,7.4019967588097675,2.8129133566428557,Total coliform
NoWe,Event 14,6.952451601821444,3.8670923337204246,Total coliform
BiSp,Event 14,6.304634119932807,3.0061603087048185,Total coliform
BrWo,Event 15,2.7632109005907073,2.929418925714293,Total coliform
NoWe,Event 15,5.59126341430024,1.1521532515575923,Total coliform
BiSp,Event 15,6.354855107972689,2.276206411938949,Total coliform
BrWo,Event 16,6.412267454594893,3.8543060418010806,Total coliform
NoWe,Event 16,5.95213938435156,1.7383491950656749,Total coliform
BiSp,Event 16,6.0,2.6020599913279625,Total coliform
NoWe,Event 01,5.546057272182731,3.8573324964312685,Fecal coliform
BrWo,Event 02,6.797267540830717,4.871572935545879,Fecal coliform
NoWe,Event 02,5.937897053599237,5.775574042919629,Fecal coliform
BiSp,Event 02,6.0,2.6020599913279625,Fecal coliform
BrWo,Event 03,6.800029359244134,2.6532125137753435,Fecal coliform
NoWe,Event 03,4.555245079822919,4.17897694729317,Fecal coliform
BiSp,Event 03,6.491361693834273,5.550167180510179,Fecal coliform
BrWo,Event 04,7.598571663482141,3.322219294733919,Fecal coliform
NoWe,Event 04,6.5117928169397885,4.8850783841492245,Fecal coliform
BiSp,Event 04,5.716667356454533,2.3979400086720375,Fecal coliform
BrWo,Event 05,6.390935107103379,5.352471951298952,Fecal coliform
NoWe,Event 05,4.933950050093162,5.140822180109311,Fecal coliform
BiSp,Event 05,7.334453751150931,1.8750612633917,Fecal coliform
BrWo,Event 06,6.8394780473741985,5.161143309042809,Fecal coliform
NoWe,Event 06,5.106351569240898,2.7781512503836434,Fecal coliform
BrWo,Event 07,6.628388930050312,2.929418925714293,Fecal coliform
NoWe,Event 07,5.3530589956679915,2.6532125137753435,Fecal coliform
BrWo,Event 08,6.600972895686748,5.0700378666077555,Fecal coliform
NoWe,Event 08,2.7884790027597703,5.164293359314462,Fecal coliform
BiSp,Event 08,6.550030991323952,2.8260748027008264,Fecal coliform
BrWo,Event 09,4.875911273833134,2.929418925714293,Fecal coliform
NoWe,Event 09,6.091286344905539,4.671305108433146,Fecal coliform
BiSp,Event 09,6.61395921462767,2.0529360751877985,Fecal coliform
BrWo,Event 10,5.594998136840475,3.230448921378274,Fecal coliform
NoWe,Event 10,4.5214890017523315,1.7294872343016165,Fecal coliform
BiSp,Event 10,6.301029995663981,5.166726055580051,Fecal coliform
BrWo,Event 11,6.62526224640906,2.9030899869919438,Fecal coliform
NoWe,Event 11,5.6405901212165,5.23578087032756,Fecal coliform
BiSp,Event 11,6.418301291319746,4.535452361794167,Fecal coliform
BrWo,Event 12,8.52244423350632,2.6989700043360187,Fecal coliform
NoWe,Event 12,5.813257624977889,6.0379574203562605,Fecal coliform
BiSp,Event 12,8.031082539672047,4.996453295316682,Fecal coliform
NoWe,Event 13,6.907117476274987,5.213252052196396,Fecal coliform
BiSp,Event 13,8.380211241711606,1.853871964321762,Fecal coliform
BrWo,Event 14,8.06828617228637,2.8129133566428557,Fecal coliform
NoWe,Event 14,7.730602852205087,3.8670923337204246,Fecal coliform
BiSp,Event 14,7.3081082929146275,3.0061603087048185,Fecal coliform
BrWo,Event 15,5.0,2.929418925714293,Fecal coliform
NoWe,Event 15,6.091397588369749,1.1521532515575923,Fecal coliform
BiSp,Event 15,8.070037866607755,2.276206411938949,Fecal coliform
BrWo,Event 16,8.103803720955957,3.8543060418010806,Fecal coliform
NoWe,Event 16,7.229081678794874,1.7383491950656749,Fecal coliform
BiSp,Event 16,7.163935829930654,2.6020599913279625,Fecal coliform
NoWe,Event 01,6.079181246047625,3.8573324964312685,E. coli
BrWo,Event 02,6.638489256954637,4.871572935545879,E. coli
NoWe,Event 02,5.589437598769119,5.775574042919629,E. coli
BiSp,Event 02,5.815655865867765,2.6020599913279625,E. coli
BrWo,Event 03,6.594392550375427,2.6532125137753435,E. coli
NoWe,Event 03,5.633291228692041,4.17897694729317,E. coli
BiSp,Event 03,6.6127838567197355,5.550167180510179,E. coli
BrWo,Event 04,7.4154741681092355,3.322219294733919,E. coli
NoWe,Event 04,6.289807291555233,4.8850783841492245,E. coli
BiSp,Event 04,5.460892391395591,2.3979400086720375,E. coli
BrWo,Event 05,6.444044795918076,5.352471951298952,E. coli
NoWe,Event 05,5.028601797554393,5.140822180109311,E. coli
BiSp,Event 05,7.1702617153949575,1.8750612633917,E. coli
BrWo,Event 06,6.852479993636856,5.161143309042809,E. coli
NoWe,Event 06,6.104053866579789,2.7781512503836434,E. coli
BrWo,Event 07,5.799340549453582,2.929418925714293,E. coli
NoWe,Event 07,5.716344100405442,2.6532125137753435,E. coli
BrWo,Event 08,6.664641975556125,5.0700378666077555,E. coli
NoWe,Event 08,5.0,5.164293359314462,E. coli
BiSp,Event 08,7.307496037913213,2.8260748027008264,E. coli
BrWo,Event 09,4.750745528585694,2.929418925714293,E. coli
NoWe,Event 09,6.460790490270053,4.671305108433146,E. coli
BiSp,Event 09,6.517549911775271,2.0529360751877985,E. coli
BrWo,Event 10,5.931966114728173,3.230448921378274,E. coli
NoWe,Event 10,5.678285405476168,1.7294872343016165,E. coli
BiSp,Event 10,5.301029995663981,5.166726055580051,E. coli
BrWo,Event 11,6.7160033436347994,2.9030899869919438,E. coli
NoWe,Event 11,5.958208696656926,5.23578087032756,E. coli
BiSp,Event 11,6.439332693830263,4.535452361794167,E. coli
BrWo,Event 12,7.727541257028556,2.6989700043360187,E. coli
NoWe,Event 12,4.296482367913261,6.0379574203562605,E. coli
BiSp,Event 12,7.250420002308894,4.996453295316682,E. coli
NoWe,Event 13,8.080943092203912,5.213252052196396,E. coli
BiSp,Event 13,6.444044795918076,1.853871964321762,E. coli
BrWo,Event 14,8.23552844690755,2.8129133566428557,E. coli
NoWe,Event 14,8.345595043225277,3.8670923337204246,E. coli
BiSp,Event 14,8.511214701136389,3.0061603087048185,E. coli
BrWo,Event 15,5.0,2.929418925714293,E. coli
NoWe,Event 15,7.132058477731248,1.1521532515575923,E. coli
BiSp,Event 15,6.6020599913279625,2.276206411938949,E. coli
BrWo,Event 16,8.220108088040055,3.8543060418010806,E. coli
NoWe,Event 16,7.937016107464814,1.7383491950656749,E. coli
BiSp,Event 16,7.60563445168626,2.6020599913279625,E. coli
