Plant,Event,Indicator_LRV [log10],Cryptosporidium_LRV [log10],Indicator
NoWe,Event 01,5.435764660015765,1.5686362358410126,Total coliform
BrWo,Event 02,6.666042301994836,2.9030899869919438,Total coliform
BrWo,Event 04,6.343930275380176,2.494850021680094,Total coliform
BrWo,Event 05,5.984785459776335,1.8860566476931633,Total coliform
BrWo,Event 06,5.720673744896787,1.619788758288394,Total coliform
NoWe,Event 06,4.170882374272417,2.427495252233754,Total coliform
BrWo,Event 07,6.325454594995399,1.5466816599529625,Total coliform
NoWe,Event 07,4.136747969934647,2.009759837289156,Total coliform
BrWo,Event 08,7.4171394097273255,1.1870866433571443,Total coliform
NoWe,Event 08,3.8223441029422323,0.971123872263771,Total coliform
BiSp,Event 08,4.913504147666708,0.7682756166714835,Total coliform
NoWe,Event 09,4.207253784374382,2.958607314841775,Total coliform
BiSp,Event 09,5.681863729529148,2.0568464627262877,Total coliform
BrWo,Event 10,5.499596456704555,2.6989700043360187,Total coliform
NoWe,Event 10,5.120773829531639,1.3665315444204134,Total coliform
BiSp,Event 10,6.495410040431972,3.7182751595314056,Total coliform
BrWo,Event 11,5.7042269617848715,1.2757241303992108,Total coliform
NoWe,Event 11,5.603151922715435,3.0,Total coliform
BiSp,Event 11,5.289570373496931,2.954610711650361,Total coliform
NoWe,Event 12,5.45991922461204,1.2839966563652008,Total coliform
BiSp,Event 12,5.491262324315042,4.36408174141107,Total coliform
BiSp,Event 13,7.002517656221246,1.1056839373155616,Total coliform
BrWo,Event 14,7.4019967588097675,1.585026652029182,Total coliform
BiSp,Event 15,6.354855107972689,3.0969100130080562,Total coliform
NoWe,Event 16,5.95213938435156,2.6020599913279625,Total coliform
NoWe,Event 01,5.546057272182731,1.5686362358410126,Fecal coliform
BrWo,Event 02,6.797267540830717,2.9030899869919438,Fecal coliform
BrWo,Event 03,6.800029359244134,2.5228787452803374,Fecal coliform
NoWe,Event 03,4.555245079822919,1.7695510786217261,Fecal coliform
BiSp,Event 03,6.491361693834273,2.0,Fecal coliform
BrWo,Event 04,7.598571663482141,2.494850021680094,Fecal coliform
BrWo,Event 05,6.390935107103379,1.8860566476931633,Fecal coliform
BrWo,Event 06,6.8394780473741985,1.619788758288394,Fecal coliform
NoWe,Event 06,5.106351569240898,2.427495252233754,Fecal coliform
BrWo,Event 07,6.628388930050312,1.5466816599529625,Fecal coliform
NoWe,Event 07,5.3530589956679915,2.009759837289156,Fecal coliform
BrWo,Event 08,6.600972895686748,1.1870866433571443,Fecal coliform
NoWe,Event 08,2.7884790027597703,0.971123872263771,Fecal coliform
BiSp,Event 08,6.550030991323952,0.7682756166714835,Fecal coliform
NoWe,Event 09,6.091286344905539,2.958607314841775,Fecal coliform
BiSp,Event 09,6.61395921462767,2.0568464627262877,Fecal coliform
BrWo,Event 10,5.594998136840475,2.6989700043360187,Fecal coliform
NoWe,Event 10,4.5214890017523315,1.3665315444204134,Fecal coliform
BiSp,Event 10,6.301029995663981,3.7182751595314056,Fecal coliform
BrWo,Event 11,6.62526224640906,1.2757241303992108,Fecal coliform
NoWe,Event 11,5.6405901212165,3.0,Fecal coliform
BiSp,Event 11,6.418301291319746,2.954610711650361,Fecal coliform
NoWe,Event 12,5.813257624977889,1.2839966563652008,Fecal coliform
BiSp,Event 12,8.031082539672047,4.36408174141107,Fecal coliform
BiSp,Event 13,8.380211241711606,1.1056839373155616,Fecal coliform
BrWo,Event 14,8.06828617228637,1.585026652029182,Fecal coliform
BiSp,Event 15,8.070037866607755,3.0969100130080562,Fecal coliform
NoWe,Event 16,7.229081678794874,2.6020599913279625,Fecal coliform
NoWe,Event 01,6.079181246047625,1.5686362358410126,E. coli
BrWo,Event 02,6.638489256954637,2.9030899869919438,E. coli
BrWo,Event 03,6.594392550375427,2.5228787452803374,E. coli
NoWe,Event 03,5.633291228692041,1.7695510786217261,E. coli
BiSp,Event 03,6.6127838567197355,2.0,E. coli
BrWo,Event 04,7.4154741681092355,2.494850021680094,E. coli
BrWo,Event 05,6.444044795918076,1.8860566476931633,E. coli
BrWo,Event 06,6.852479993636856,1.619788758288394,E. coli
NoWe,Event 06,6.104053866579789,2.427495252233754,E. coli
BrWo,Event 07,5.799340549453582,1.5466816599529625,E. coli
NoWe,Event 07,5.716344100405442,2.009759837289156,E. coli
BrWo,Event 08,6.664641975556125,1.1870866433571443,E. coli
NoWe,Event 08,5.0,0.971123872263771,E. coli
BiSp,Event 08,7.307496037913213,0.7682756166714835,E. coli
NoWe,Event 09,6.460790490270053,2.958607314841775,E. coli
BiSp,Event 09,6.517549911775271,2.0568464627262877,E. coli
BrWo,Event 10,5.931966114728173,2.6989700043360187,E. coli
NoWe,Event 10,5.678285405476168,1.3665315444204134,E. coli
BiSp,Event 10,5.301029995663981,3.7182751595314056,E. coli
BrWo,Event 11,6.7160033436347994,1.2757241303992108,E. coli
NoWe,Event 11,5.958208696656926,3.0,E. coli
BiSp,Event 11,6.439332693830263,2.954610711650361,E. coli
NoWe,Event 12,4.296482367913261,1.2839966563652008,E. coli
BiSp,Event 12,7.250420002308894,4.36408174141107,E. coli
BiSp,Event 13,6.444044795918076,1.1056839373155616,E. coli
BrWo,Event 14,8.23552844690755,1.585026652029182,E. coli
BiSp,Event 15,6.6020599913279625,3.0969100130080562,E. coli
NoWe,Event 16,7.937016107464814,2.6020599913279625,E. coli
NoWe,Event 01,3.484299839346786,1.5686362358410126,Somatic coliphage
BiSp,Event 01,1.2943994167649682,2.4357285695614372,Somatic coliphage
BrWo,Event 02,4.1804126328383235,2.9030899869919438,Somatic coliphage
BrWo,Event 03,3.429752280002408,2.5228787452803374,Somatic coliphage
NoWe,Event 03,3.031408464251624,1.7695510786217261,Somatic coliphage
BiSp,Event 03,3.0170333392987803,2.0,Somatic coliphage
BrWo,Event 04,2.3521825181113627,2.494850021680094,Somatic coliphage
BrWo,Event 05,2.9731278535996988,1.8860566476931633,Somatic coliphage
BrWo,Event 06,2.694605198933569,1.619788758288394,Somatic coliphage
NoWe,Event 06,2.7708520116421442,2.427495252233754,Somatic coliphage
BiSp,Event 06,3.5563025007672873,1.8367095643237517,Somatic coliphage
BrWo,Event 07,0.9989647325683948,1.5466816599529625,Somatic coliphage
NoWe,Event 07,3.1818435879447726,2.009759837289156,Somatic coliphage
BrWo,Event 08,3.486430478854434,1.1870866433571443,Somatic coliphage
NoWe,Event 08,2.6857417386022635,0.971123872263771,Somatic coliphage
NoWe,Event 09,2.8573324964312685,2.958607314841775,Somatic coliphage
BiSp,Event 09,3.2068258760318495,2.0568464627262877,Somatic coliphage
BrWo,Event 10,2.788875115775417,2.6989700043360187,Somatic coliphage
NoWe,Event 10,2.9867717342662448,1.3665315444204134,Somatic coliphage
BiSp,Event 10,3.2671717284030137,3.7182751595314056,Somatic coliphage
BrWo,Event 11,2.7745169657285498,1.2757241303992108,Somatic coliphage
NoWe,Event 11,3.4305587695227575,3.0,Somatic coliphage
NoWe,Event 12,3.3891660843645326,1.2839966563652008,Somatic coliphage
BiSp,Event 12,3.6232492903979003,4.36408174141107,Somatic coliphage
BiSp,Event 13,3.863322860120456,1.1056839373155616,Somatic coliphage
BrWo,Event 14,2.9934362304976116,1.585026652029182,Somatic coliphage
BiSp,Event 15,3.5185139398778875,3.0969100130080562,Somatic coliphage
NoWe,Event 16,3.8808135922807914,2.6020599913279625,Somatic coliphage
NoWe,Event 01,3.720159303405957,1.5686362358410126,Male-specific coliphage
BiSp,Event 01,2.975431808509263,2.4357285695614372,Male-specific coliphage
BrWo,Event 02,3.720159303405957,2.9030899869919438,Male-specific coliphage
BrWo,Event 03,3.4771212547196626,2.5228787452803374,Male-specific coliphage
NoWe,Event 03,1.4771212547196624,1.7695510786217261,Male-specific coliphage
BiSp,Event 03,4.068185861746161,2.0,Male-specific coliphage
BrWo,Event 04,2.113943352306837,2.494850021680094,Male-specific coliphage
BrWo,Event 05,1.8750612633917,1.8860566476931633,Male-specific coliphage
BrWo,Event 06,3.5563025007672873,1.619788758288394,Male-specific coliphage
NoWe,Event 06,2.5854607295085006,2.427495252233754,Male-specific coliphage
BiSp,Event 06,3.720159303405957,1.8367095643237517,Male-specific coliphage
BrWo,Event 07,1.0,1.5466816599529625,Male-specific coliphage
NoWe,Event 07,3.0253058652647704,2.009759837289156,Male-specific coliphage
BrWo,Event 08,3.4479328655921804,1.1870866433571443,Male-specific coliphage
NoWe,Event 08,3.277609214304091,0.971123872263771,Male-specific coliphage
NoWe,Event 09,2.9934362304976116,2.958607314841775,Male-specific coliphage
BiSp,Event 09,3.6989700043360187,2.0568464627262877,Male-specific coliphage
BrWo,Event 10,3.164352855784437,2.6989700043360187,Male-specific coliphage
NoWe,Event 10,3.5622928644564746,1.3665315444204134,Male-specific coliphage
BiSp,Event 10,3.469822015978163,3.7182751595314056,Male-specific coliphage
BrWo,Event 11,2.926856708949692,1.2757241303992108,Male-specific coliphage
NoWe,Event 11,3.4207806195485655,3.0,Male-specific coliphage
BiSp,Event 11,3.449478399187365,2.954610711650361,Male-specific coliphage
NoWe,Event 12,3.5118833609788744,1.2839966563652008,Male-specific coliphage
BiSp,Event 12,3.781755374652469,4.36408174141107,Male-specific coliphage
