Plant,Event,Indicator_LRV,Giardia_LRV,Giardia_effluent_detection,Indicator
NoWe,Event 01,5.435764660015765,2.0091433794398696,Detected,Total coliform
BrWo,Event 02,6.666042301994836,4.010299956639812,Detected,Total coliform
NoWe,Event 02,5.039174166657218,2.2854926010746834,Detected,Total coliform
BiSp,Event 02,4.970168582533456,0.8099185435432892,Detected,Total coliform
BrWo,Event 04,6.343930275380176,1.9614366048606393,Detected,Total coliform
NoWe,Event 04,5.9143012667656665,1.3523376509874194,Detected,Total coliform
BiSp,Event 04,5.280051546384095,1.5575202309355514,Detected,Total coliform
BrWo,Event 05,5.984785459776335,1.8289295423193697,Detected,Total coliform
NoWe,Event 05,4.555604998868288,1.1595802222635139,Detected,Total coliform
BiSp,Event 05,7.7160033436347994,2.3010299956639813,Non-detect,Total coliform
BrWo,Event 06,5.720673744896787,2.715360420524188,Detected,Total coliform
NoWe,Event 06,4.170882374272417,1.3267486367861507,Detected,Total coliform
BrWo,Event 07,6.325454594995399,2.193581991216017,Detected,Total coliform
NoWe,Event 07,4.136747969934647,0.9340470196861304,Detected,Total coliform
BrWo,Event 08,7.4171394097273255,2.119989170391219,Detected,Total coliform
NoWe,Event 08,3.8223441029422323,1.5388179463817853,Detected,Total coliform
BiSp,Event 08,4.913504147666708,2.8174451662703603,Detected,Total coliform
BrWo,Event 09,4.8031177329681185,1.2784641677652397,Detected,Total coliform
NoWe,Event 09,4.207253784374382,1.4965498065579883,Detected,Total coliform
BiSp,Event 09,5.681863729529148,1.0032694845648473,Detected,Total coliform
BrWo,Event 10,5.499596456704555,1.4982562703720055,Detected,Total coliform
NoWe,Event 10,5.120773829531639,1.1231453638662565,Detected,Total coliform
BiSp,Event 10,6.495410040431972,1.821398361226719,Detected,Total coliform
BrWo,Event 11,5.7042269617848715,1.1754884907675207,Detected,Total coliform
NoWe,Event 11,5.603151922715435,2.3467874862246565,Detected,Total coliform
BiSp,Event 11,5.289570373496931,4.409306092928897,Detected,Total coliform
BrWo,Event 12,5.376879180090214,1.6106645890434583,Detected,Total coliform
NoWe,Event 12,5.45991922461204,0.8821855646012284,Detected,Total coliform
BiSp,Event 12,5.491262324315042,4.205966737310712,Detected,Total coliform
BrWo,Event 13,7.249546329867043,1.9634489980075935,Detected,Total coliform
NoWe,Event 13,4.790260024704017,1.7623126696978066,Detected,Total coliform
BiSp,Event 13,7.002517656221246,3.058350719804289,Detected,Total coliform
BrWo,Event 14,7.4019967588097675,0.8977187853602245,Detected,Total coliform
NoWe,Event 14,6.952451601821444,0.7765559801903845,Detected,Total coliform
BiSp,Event 14,6.304634119932807,2.9778373098272386,Detected,Total coliform
BrWo,Event 15,2.7632109005907073,0.5326385825694938,Detected,Total coliform
NoWe,Event 15,5.59126341430024,0.10655529908547162,Detected,Total coliform
BiSp,Event 15,6.354855107972689,4.2365559211583745,Detected,Total coliform
NoWe,Event 16,5.95213938435156,2.400532819250317,Detected,Total coliform
BiSp,Event 16,6.0,3.8981265674603933,Detected,Total coliform
NoWe,Event 01,5.546057272182731,2.0091433794398696,Detected,Fecal coliform
BrWo,Event 02,6.797267540830717,4.010299956639812,Detected,Fecal coliform
NoWe,Event 02,5.937897053599237,2.2854926010746834,Detected,Fecal coliform
BiSp,Event 02,6.0,0.8099185435432892,Detected,Fecal coliform
BrWo,Event 03,6.800029359244134,2.5217750738301903,Detected,Fecal coliform
NoWe,Event 03,4.555245079822919,2.181941468152963,Detected,Fecal coliform
BiSp,Event 03,6.491361693834273,2.9030899869919438,Non-detect,Fecal coliform
BrWo,Event 04,7.598571663482141,1.9614366048606393,Detected,Fecal coliform
NoWe,Event 04,6.5117928169397885,1.3523376509874194,Detected,Fecal coliform
BiSp,Event 04,5.716667356454533,1.5575202309355514,Detected,Fecal coliform
BrWo,Event 05,6.390935107103379,1.8289295423193697,Detected,Fecal coliform
NoWe,Event 05,4.933950050093162,1.1595802222635139,Detected,Fecal coliform
BiSp,Event 05,7.334453751150931,2.3010299956639813,Non-detect,Fecal coliform
BrWo,Event 06,6.8394780473741985,2.715360420524188,Detected,Fecal coliform
NoWe,Event 06,5.106351569240898,1.3267486367861507,Detected,Fecal coliform
BrWo,Event 07,6.628388930050312,2.193581991216017,Detected,Fecal coliform
NoWe,Event 07,5.3530589956679915,0.9340470196861304,Detected,Fecal coliform
BrWo,Event 08,6.600972895686748,2.119989170391219,Detected,Fecal coliform
NoWe,Event 08,2.7884790027597703,1.5388179463817853,Detected,Fecal coliform
BiSp,Event 08,6.550030991323952,2.8174451662703603,Detected,Fecal coliform
BrWo,Event 09,4.875911273833134,1.2784641677652397,Detected,Fecal coliform
NoWe,Event 09,6.091286344905539,1.4965498065579883,Detected,Fecal coliform
BiSp,Event 09,6.61395921462767,1.0032694845648473,Detected,Fecal coliform
BrWo,Event 10,5.594998136840475,1.4982562703720055,Detected,Fecal coliform
NoWe,Event 10,4.5214890017523315,1.1231453638662565,Detected,Fecal coliform
BiSp,Event 10,6.301029995663981,1.821398361226719,Detected,Fecal coliform
BrWo,Event 11,6.62526224640906,1.1754884907675207,Detected,Fecal coliform
NoWe,Event 11,5.6405901212165,2.3467874862246565,Detected,Fecal coliform
BiSp,Event 11,6.418301291319746,4.409306092928897,Detected,Fecal coliform
BrWo,Event 12,8.52244423350632,1.6106645890434583,Detected,Fecal coliform
NoWe,Event 12,5.813257624977889,0.8821855646012284,Detected,Fecal coliform
BiSp,Event 12,8.031082539672047,4.205966737310712,Detected,Fecal coliform
BrWo,Event 13,8.195899652409233,1.9634489980075935,Detected,Fecal coliform
NoWe,Event 13,6.907117476274987,1.7623126696978066,Detected,Fecal coliform
BiSp,Event 13,8.380211241711606,3.058350719804289,Detected,Fecal coliform
BrWo,Event 14,8.06828617228637,0.8977187853602245,Detected,Fecal coliform
NoWe,Event 14,7.730602852205087,0.7765559801903845,Detected,Fecal coliform
BiSp,Event 14,7.3081082929146275,2.9778373098272386,Detected,Fecal coliform
BrWo,Event 15,5.0,0.5326385825694938,Detected,Fecal coliform
NoWe,Event 15,6.091397588369749,0.10655529908547162,Detected,Fecal coliform
BiSp,Event 15,8.070037866607755,4.2365559211583745,Detected,Fecal coliform
NoWe,Event 16,7.229081678794874,2.400532819250317,Detected,Fecal coliform
BiSp,Event 16,7.163935829930654,3.8981265674603933,Detected,Fecal coliform
NoWe,Event 01,6.079181246047625,2.0091433794398696,Detected,E. coli
BrWo,Event 02,6.638489256954637,4.010299956639812,Detected,E. coli
NoWe,Event 02,5.589437598769119,2.2854926010746834,Detected,E. coli
BiSp,Event 02,5.815655865867765,0.8099185435432892,Detected,E. coli
BrWo,Event 03,6.594392550375427,2.5217750738301903,Detected,E. coli
NoWe,Event 03,5.633291228692041,2.181941468152963,Detected,E. coli
BiSp,Event 03,6.6127838567197355,2.9030899869919438,Non-detect,E. coli
BrWo,Event 04,7.4154741681092355,1.9614366048606393,Detected,E. coli
NoWe,Event 04,6.289807291555233,1.3523376509874194,Detected,E. coli
BiSp,Event 04,5.460892391395591,1.5575202309355514,Detected,E. coli
BrWo,Event 05,6.444044795918076,1.8289295423193697,Detected,E. coli
NoWe,Event 05,5.028601797554393,1.1595802222635139,Detected,E. coli
BiSp,Event 05,7.1702617153949575,2.3010299956639813,Non-detect,E. coli
BrWo,Event 06,6.852479993636856,2.715360420524188,Detected,E. coli
NoWe,Event 06,6.104053866579789,1.3267486367861507,Detected,E. coli
BrWo,Event 07,5.799340549453582,2.193581991216017,Detected,E. coli
NoWe,Event 07,5.716344100405442,0.9340470196861304,Detected,E. coli
BrWo,Event 08,6.664641975556125,2.119989170391219,Detected,E. coli
NoWe,Event 08,5.0,1.5388179463817853,Detected,E. coli
BiSp,Event 08,7.307496037913213,2.8174451662703603,Detected,E. coli
BrWo,Event 09,4.750745528585694,1.2784641677652397,Detected,E. coli
NoWe,Event 09,6.460790490270053,1.4965498065579883,Detected,E. coli
BiSp,Event 09,6.517549911775271,1.0032694845648473,Detected,E. coli
BrWo,Event 10,5.931966114728173,1.4982562703720055,Detected,E. coli
NoWe,Event 10,5.678285405476168,1.1231453638662565,Detected,E. coli
BiSp,Event 10,5.301029995663981,1.821398361226719,Detected,E. coli
BrWo,Event 11,6.7160033436347994,1.1754884907675207,Detected,E. coli
NoWe,Event 11,5.958208696656926,2.3467874862246565,Detected,E. coli
BiSp,Event 11,6.439332693830263,4.409306092928897,Detected,E. coli
BrWo,Event 12,7.727541257028556,1.6106645890434583,Detected,E. coli
NoWe,Event 12,4.296482367913261,0.8821855646012284,Detected,E. coli
BiSp,Event 12,7.250420002308894,4.205966737310712,Detected,E. coli
BrWo,Event 13,8.45484486000851,1.9634489980075935,Detected,E. coli
NoWe,Event 13,8.080943092203912,1.7623126696978066,Detected,E. coli
BiSp,Event 13,6.444044795918076,3.058350719804289,Detected,E. coli
BrWo,Event 14,8.23552844690755,0.8977187853602245,Detected,E. coli
NoWe,Event 14,8.345595043225277,0.7765559801903845,Detected,E. coli
BiSp,Event 14,8.511214701136389,2.9778373098272386,Detected,E. coli
BrWo,Event 15,5.0,0.5326385825694938,Detected,E. coli
NoWe,Event 15,7.132058477731248,0.10655529908547162,Detected,E. coli
BiSp,Event 15,6.6020599913279625,4.2365559211583745,Detected,E. coli
NoWe,Event 16,7.937016107464814,2.400532819250317,Detected,E. coli
BiSp,Event 16,7.60563445168626,3.8981265674603933,Detected,E. coli
NoWe,Event 01,3.484299839346786,2.0091433794398696,Detected,Somatic coliphage
BiSp,Event 01,1.2943994167649682,1.9117119981112025,Detected,Somatic coliphage
BrWo,Event 02,4.1804126328383235,4.010299956639812,Detected,Somatic coliphage
NoWe,Event 02,2.788875115775417,2.2854926010746834,Detected,Somatic coliphage
BiSp,Event 02,3.290034611362518,0.8099185435432892,Detected,Somatic coliphage
BrWo,Event 03,3.429752280002408,2.5217750738301903,Detected,Somatic coliphage
NoWe,Event 03,3.031408464251624,2.181941468152963,Detected,Somatic coliphage
BiSp,Event 03,3.0170333392987803,2.9030899869919438,Non-detect,Somatic coliphage
BrWo,Event 04,2.3521825181113627,1.9614366048606393,Detected,Somatic coliphage
NoWe,Event 04,2.550228353055094,1.3523376509874194,Detected,Somatic coliphage
BiSp,Event 04,3.6232492903979003,1.5575202309355514,Detected,Somatic coliphage
