Date,Influent Flow (ML/d)
2014-01-01,289
2014-01-02,332
2014-01-03,302
2014-01-04,295
2014-01-05,317
2014-01-06,306
2014-01-07,351
2014-01-08,-209
2014-01-09,310
2014-01-10,98
2014-01-11,322
2014-01-12,294
2014-01-13,309
2014-01-14,299
2014-01-15,293
2014-01-16,297
2014-01-17,302
2014-01-18,302
2014-01-19,279
2014-01-20,301
2014-01-21,277
2014-01-22,305
2014-01-23,317
2014-01-24,336
2014-01-25,314
2014-01-26,284
2014-01-27,280
2014-01-28,296
2014-01-29,338
2014-01-30,270
2014-01-31,296
2014-02-01,304
2014-02-02,288
2014-02-03,300
2014-02-04,317
2014-02-05,259
2014-02-06,293
2014-02-07,296
2014-02-08,302
2014-02-09,287
2014-02-10,288
2014-02-11,286
2014-02-12,293
2014-02-13,282
2014-02-14,291
2014-02-15,286
2014-02-16,312
2014-02-17,318
2014-02-18,311
2014-02-19,311
2014-02-20,362
2014-02-21,303
2014-02-22,320
2014-02-23,313
2014-02-24,313
2014-02-25,309
2014-02-26,293
2014-02-27,300
2014-02-28,309
2014-03-01,322
2014-03-02,313
2014-03-03,313
2014-03-04,317
2014-03-05,313
2014-03-06,317
2014-03-07,319
2014-03-08,313
2014-03-09,313
2014-03-10,310
2014-03-11,340
2014-03-12,320
2014-03-13,336
2014-03-14,324
2014-03-15,312
2014-03-16,332
2014-03-17,315
2014-03-18,320
2014-03-19,318
2014-03-20,320
2014-03-21,326
2014-03-22,343
2014-03-23,363
2014-03-24,319
2014-03-25,335
2014-03-26,329
2014-03-27,338
2014-03-28,320
2014-03-29,346
2014-03-30,356
2014-03-31,363
2014-04-01,343
2014-04-02,300
2014-04-03,283
2014-04-04,298
2014-04-05,309
2014-04-06,321
2014-04-07,316
2014-04-08,305
2014-04-09,394
2014-04-10,517
2014-04-11,497
2014-04-12,396
2014-04-13,340
2014-04-14,379
2014-04-15,338
2014-04-16,277
2014-04-17,309
2014-04-18,279
2014-04-19,290
2014-04-20,337
2014-04-21,165
2014-04-22,351
2014-04-23,327
2014-04-24,297
2014-04-25,308
2014-04-26,282
2014-04-27,297
2014-04-28,298
2014-04-29,356
2014-04-30,447
2014-05-01,328
2014-05-02,309
2014-05-03,336
2014-05-04,352
2014-05-05,356
2014-05-06,334
2014-05-07,321
2014-05-08,334
2014-05-09,275
2014-05-10,454
2014-05-11,357
2014-05-12,353
2014-05-13,309
2014-05-14,332
2014-05-15,326
2014-05-16,329
2014-05-17,309
2014-05-18,297
2014-05-19,320
2014-05-20,315
2014-05-21,372
2014-05-22,332
2014-05-23,399
2014-05-24,374
2014-05-25,344
2014-05-26,337
2014-05-27,333
2014-05-28,355
2014-05-29,293
2014-05-30,330
2014-05-31,332
2014-06-01,325
2014-06-02,308
2014-06-03,343
2014-06-04,352
2014-06-05,396
2014-06-06,343
2014-06-07,341
2014-06-08,330
2014-06-09,321
2014-06-10,326
2014-06-11,319
2014-06-12,340
2014-06-13,379
2014-06-14,346
2014-06-15,389
2014-06-16,367
2014-06-17,361
2014-06-18,368
2014-06-19,367
2014-06-20,353
2014-06-21,341
2014-06-22,338
2014-06-23,352
2014-06-24,438
2014-06-25,415
2014-06-26,364
2014-06-27,350
2014-06-28,353
2014-06-29,426
2014-06-30,458
2014-07-01,388
2014-07-02,355
2014-07-03,342
2014-07-04,348
2014-07-05,354
2014-07-06,356
2014-07-07,375
2014-07-08,368
2014-07-09,406
2014-07-10,487
2014-07-11,423
2014-07-12,491
2014-07-13,437
2014-07-14,406
2014-07-15,421
2014-07-16,345
2014-07-17,420
2014-07-18,429
2014-07-19,422
2014-07-20,377
2014-07-21,380
2014-07-22,365
2014-07-23,360
2014-07-24,369
2014-07-25,342
2014-07-26,387
2014-07-27,374
2014-07-28,372
2014-07-29,329
2014-07-30,354
2014-07-31,371
2014-08-01,477
2014-08-02,575
2014-08-03,416
2014-08-04,347
2014-08-05,371
2014-08-06,366
2014-08-07,381
2014-08-08,390
2014-08-09,391
2014-08-10,391
2014-08-11,415
2014-08-12,408
2014-08-13,339
2014-08-14,360
2014-08-15,280
2014-08-16,327
2014-08-17,324
2014-08-18,336
2014-08-19,336
2014-08-20,322
2014-08-21,313
2014-08-22,323
2014-08-23,361
2014-08-24,325
2014-08-25,400
2014-08-26,337
2014-08-27,334
2014-08-28,318
2014-08-29,313
2014-08-30,334
2014-08-31,320
2014-09-01,343
2014-09-02,432
2014-09-03,333
2014-09-04,333
2014-09-05,341
2014-09-06,353
2014-09-07,351
2014-09-08,308
2014-09-09,395
2014-09-10,516
2014-09-11,446
2014-09-12,405
2014-09-13,342
2014-09-14,310
2014-09-15,305
2014-09-16,312
2014-09-17,316
2014-09-18,343
2014-09-19,326
2014-09-20,313
2014-09-21,301
2014-09-22,319
2014-09-23,316
2014-09-24,309
2014-09-25,568
2014-09-26,370
2014-09-27,365
2014-09-28,327
2014-09-29,322
2014-09-30,294
2014-10-01,330
2014-10-02,325
2014-10-03,352
2014-10-04,330
2014-10-05,309
2014-10-06,329
2014-10-07,289
2014-10-08,349
2014-10-09,377
2014-10-10,314
2014-10-11,309
2014-10-12,318
2014-10-13,323
2014-10-14,361
2014-10-15,331
2014-10-16,358
2014-10-17,345
2014-10-18,380
2014-10-19,312
2014-10-20,339
2014-10-21,329
2014-10-22,363
2014-10-23,313
2014-10-24,324
2014-10-25,333
2014-10-26,343
2014-10-27,545
2014-10-28,384
2014-10-29,407
2014-10-30,326
2014-10-31,403
2014-11-01,350
2014-11-02,376
2014-11-03,342
2014-11-04,344
2014-11-05,303
2014-11-06,342
2014-11-07,323
2014-11-08,324
2014-11-09,293
2014-11-10,327
2014-11-11,290
2014-11-12,355
2014-11-13,354
2014-11-14,283
2014-11-15,253
2014-11-16,699
2014-11-17,370
2014-11-18,312
2014-11-19,333
2014-11-20,322
2014-11-21,332
2014-11-22,334
2014-11-23,327
2014-11-24,383
2014-11-25,391
2014-11-26,356
2014-11-27,290
2014-11-28,313
2014-11-29,337
2014-11-30,293
2014-12-01,318
2014-12-02,275
2014-12-03,321
2014-12-04,388
2014-12-05,335
2014-12-06,333
2014-12-07,517
2014-12-08,367
2014-12-09,331
2014-12-10,332
