LSOA Code,LSOA Name,Total samples,Number of exceedances,Exceedance rate (failures/total samples),Latitude,Longitude
E01027086,North Northamptonshire 021C,4,0,0.0,52.37823,-0.68624
E01027074,North Northamptonshire 024B,1,0,0.0,52.32762,-0.55847
E01027075,North Northamptonshire 011C,6,0,0.0,52.40461,-0.52796
E01027076,North Northamptonshire 011D,6,0,0.0,52.39988,-0.53689
E01027078,North Northamptonshire 024C,9,0,0.0,52.36752,-0.58606
E01027079,North Northamptonshire 015A,3,0,0.0,52.40965,-0.72371
E01027080,North Northamptonshire 015B,3,0,0.0,52.41308,-0.72453
E01027081,North Northamptonshire 016A,3,0,0.0,52.40939,-0.7097
E01027082,North Northamptonshire 016B,7,0,0.0,52.40653,-0.71361
E01027083,North Northamptonshire 016C,2,0,0.0,52.41209,-0.71201
E01027084,North Northamptonshire 021A,7,0,0.0,52.37602,-0.6986
E01027085,North Northamptonshire 021B,5,0,0.0,52.38132,-0.69478
E01027073,North Northamptonshire 034F,7,0,0.0,52.2892,-0.60659
E01027087,North Northamptonshire 015C,4,0,0.0,52.41634,-0.72417
E01027088,North Northamptonshire 015D,6,0,0.0,52.41822,-0.71806
E01027089,North Northamptonshire 015E,4,0,0.0,52.41574,-0.73191
E01027090,North Northamptonshire 012A,7,0,0.0,52.41326,-0.66141
E01027091,North Northamptonshire 023A,3,0,0.0,52.37199,-0.68216
E01027092,North Northamptonshire 023B,5,0,0.0,52.36662,-0.69378
E01027094,North Northamptonshire 013A,7,0,0.0,52.43487,-0.8311
E01027095,North Northamptonshire 013B,7,0,0.0,52.44024,-0.84593
E01027096,North Northamptonshire 019A,2,0,0.0,52.39041,-0.70279
E01027097,North Northamptonshire 019B,1,0,0.0,52.40124,-0.69571
E01027061,North Northamptonshire 034A,6,0,0.0,52.29569,-0.58143
E01027050,North Northamptonshire 001C,11,0,0.0,52.54424,-0.47175
E01027051,North Northamptonshire 025A,7,0,0.0,52.34105,-0.53695
E01027052,North Northamptonshire 025B,4,0,0.0,52.33702,-0.54682
E01027053,North Northamptonshire 025C,5,0,0.0,52.34735,-0.51133
E01027054,North Northamptonshire 025D,7,0,0.0,52.3451,-0.56081
E01027055,North Northamptonshire 025E,1,0,0.0,52.35253,-0.53735
E01027056,North Northamptonshire 025F,3,0,0.0,52.34123,-0.54928
E01027057,North Northamptonshire 024A,4,0,0.0,52.37382,-0.53446
E01027058,North Northamptonshire 037A,3,0,0.0,52.28392,-0.5694
E01027059,North Northamptonshire 037B,6,0,0.0,52.2895,-0.59004
E01027060,North Northamptonshire 037C,10,0,0.0,52.2944,-0.59206
E01027098,North Northamptonshire 019C,1,0,0.0,52.39258,-0.69724
E01027062,North Northamptonshire 034B,8,0,0.0,52.29853,-0.59694
E01027063,North Northamptonshire 034C,7,0,0.0,52.29937,-0.61984
E01027064,North Northamptonshire 034D,2,0,0.0,52.29336,-0.62326
E01027065,North Northamptonshire 037D,6,0,0.0,52.2927,-0.60364
E01027066,North Northamptonshire 039A,5,0,0.0,52.27102,-0.57467
E01027067,North Northamptonshire 039B,5,0,0.0,52.28255,-0.59978
E01027069,North Northamptonshire 037E,7,0,0.0,52.28645,-0.58845
