LSOA Code,LSOA Name,Number of exceedances (Result > 0/100 ml),Maximum Result (number/100 ml),Latitude,Longitude
E01011974,Hartlepool 015B,1,4.0,54.6899,-1.206
E01013329,North Lincolnshire 022D,1,13.0,53.5069,-0.54027
E01015605,Peterborough 008A,1,56.0,52.59262,-0.22602
E01015668,Peterborough 017E,1,89.0,52.55432,-0.2346
E01016718,Milton Keynes 014A,1,1.0,52.04874,-0.75765
E01016795,Milton Keynes 004E,1,1.0,52.08383,-0.72721
E01016827,Milton Keynes 022D,1,46.0,52.01231,-0.6893
E01017377,Central Bedfordshire 010B,1,17.0,52.02269,-0.25351
E01017406,Central Bedfordshire 016D,1,4.0,52.00934,-0.52509
E01017466,Bedford 012A,1,43.0,52.13406,-0.4742
E01017535,Bedford 013A,1,31.0,52.138,-0.49179
E01018076,Fenland 010B,1,1.0,52.49463,0.180251
E01018080,Fenland 007D,1,8.0,52.55417,0.098939
E01021374,Braintree 011E,1,2.0,51.86557,0.556782
E01021717,Colchester 013D,1,1.0,51.87599,0.888089
E01021719,Colchester 012B,1,24.0,51.8895,0.840482
E01026306,South Kesteven 014D,1,1.0,52.67763,-0.29273
E01026321,South Kesteven 004B,1,4.0,52.91523,-0.6678
E01026399,West Lindsey 005C,1,1.0,53.36363,-0.59426
E01026459,Breckland 007E,1,1.0,52.65345,0.688586
E01026465,Breckland 015A,1,6.0,52.41776,0.742292
E01026487,Breckland 009B,1,2.0,52.57125,0.853698
E01026491,Breckland 010E,1,8.0,52.50324,0.853873
E01026664,King's Lynn and West Norfolk 010C,1,1.0,52.75101,0.441667
E01026824,Norwich 016D,1,2.0,52.63267,1.282409
E01026893,South Norfolk 012B,1,1.0,52.47777,1.456151
E01026927,South Norfolk 006D,1,1.0,52.56859,1.359377
E01026986,West Northamptonshire 016A,1,7.0,52.26877,-1.17561
E01027168,West Northamptonshire 017A,1,26.0,52.2618,-0.85603
E01027304,West Northamptonshire 048D,1,1.0,52.15851,-1.28786
E01027999,Bassetlaw 002A,1,95.0,53.40937,-0.83562
E01029874,Babergh 011C,1,1.0,51.96538,1.263135
E01029884,Babergh 002B,1,1.0,52.10626,0.65521
E01030050,Mid Suffolk 004C,1,1.0,52.23874,0.919434
E01030056,Mid Suffolk 006B,1,1.0,52.22863,0.952675
E01030081,Mid Suffolk 005D,1,1.0,52.19325,1.025694
E01030138,West Suffolk 016B,1,2.0,52.21118,0.778475
E01030175,East Suffolk 021A,1,1.0,52.10267,1.247433
E01030181,East Suffolk 025A,1,10.0,52.06392,1.254338
E01035155,Braintree 011F,1,2.0,51.87271,0.555865
E01035535,East Cambridgeshire 004H,1,4.0,52.38667,0.23627
