LSOA,Total_Exceedances,Total_Samples_Assessed
E01007599,0,42
E01007602,0,179
E01011949,0,8
E01011950,0,43
E01011951,0,8
E01011952,0,6
E01011953,0,6
E01011954,0,12
E01011955,0,4
E01011957,0,6
E01011959,0,48
E01011960,0,6
E01011961,0,9
E01011962,0,10
E01011963,0,10
E01011964,0,4
E01011965,0,4
E01011966,0,46
E01011967,0,23
E01011968,0,31
E01011969,0,14
E01011970,0,7
E01011971,0,10
E01011974,1,20
E01011975,0,6
E01011977,0,2
E01011978,0,8
E01011979,0,4
E01011980,0,51
E01011981,0,10
E01011982,0,6
E01011983,0,6
E01011984,0,8
E01011985,0,7
E01011986,0,2
E01011987,0,2
E01011988,0,8
E01011989,0,10
E01011990,0,4
E01011991,0,30
E01011992,0,8
E01011993,0,2
E01011994,0,8
E01011995,0,10
E01011996,0,6
E01011997,0,10
E01011998,0,18
E01011999,0,12
E01012000,0,37
E01012001,0,18
E01012002,0,8
E01012003,0,13
E01012005,0,10
E01012924,0,16
E01013128,0,7
E01013129,0,24
E01013130,0,14
E01013131,0,9
E01013132,0,21
E01013133,0,9
E01013134,0,27
E01013135,0,28
E01013136,0,30
E01013138,0,8
E01013140,0,7
E01013142,0,29
E01013143,0,4
E01013144,0,4
E01013145,0,4
E01013146,0,9
E01013147,0,4
E01013148,0,6
E01013149,0,7
E01013150,0,10
E01013151,0,16
E01013152,0,14
E01013153,0,11
E01013154,0,12
E01013155,0,16
E01013156,0,13
E01013157,0,17
E01013158,0,13
E01013159,0,12
E01013160,0,22
E01013161,0,4
E01013162,0,6
E01013163,0,6
E01013164,0,3
E01013165,0,6
E01013167,0,26
E01013170,0,6
E01013171,0,18
E01013172,0,14
E01013173,0,7
E01013174,0,48
E01013175,0,49
E01013176,0,22
E01013177,0,36
E01013178,0,76
E01013179,0,17
E01013180,0,18
E01013181,0,4
E01013182,0,45
E01013183,0,16
E01013184,0,16
E01013185,0,26
E01013186,0,16
E01013187,0,29
E01013188,0,4
E01013189,0,5
E01013191,0,63
E01013192,0,22
E01013193,0,26
E01013194,0,14
E01013195,0,7
E01013196,0,12
E01013197,0,21
E01013198,0,7
E01013199,0,16
E01013200,0,12
E01013201,0,22
E01013203,0,2
E01013204,0,7
E01013206,0,2
E01013207,0,10
E01013208,0,45
E01013209,0,18
E01013210,0,22
E01013211,0,4
E01013212,0,8
E01013213,0,4
E01013214,0,13
E01013215,0,31
E01013217,0,16
E01013218,0,8
E01013219,0,13
E01013220,0,20
E01013221,0,37
E01013222,0,19
E01013224,0,16
E01013225,0,4
E01013226,0,30
E01013227,0,8
E01013228,0,2
E01013229,0,2
E01013231,0,15
E01013233,0,13
E01013234,0,2
E01013236,0,12
E01013237,0,4
E01013238,0,34
E01013239,0,6
E01013254,0,26
E01013255,0,41
E01013256,0,23
E01013257,0,16
E01013258,0,34
E01013259,0,3
E01013260,0,14
E01013261,0,28
E01013262,0,33
E01013263,0,21
E01013264,0,16
E01013265,0,22
E01013266,0,20
E01013267,0,34
E01013268,0,30
E01013269,0,34
E01013270,0,41
E01013271,0,45
E01013272,1,51
E01013273,0,27
E01013274,0,34
E01013275,0,20
E01013276,0,25
E01013277,0,17
E01013278,0,13
E01013279,0,2
E01013280,0,9
E01013282,0,6
E01013283,0,25
E01013284,0,12
E01013285,0,32
E01013286,0,14
E01013287,0,10
E01013288,0,9
E01013289,0,4
E01013290,0,14
E01013291,0,5
E01013292,0,20
E01013293,0,4
E01013294,0,38
E01013295,0,16
E01013296,0,11
E01013297,0,55
E01013298,0,23
E01013299,0,16
E01013300,0,15
E01013301,0,12
E01013302,0,9
E01013303,0,11
E01013304,0,39
E01013305,0,21
E01013306,0,9
E01013307,0,6
E01013308,0,32
E01013309,0,36
E01013310,0,15
E01013311,0,4
E01013312,0,9
E01013313,0,18
E01013314,0,9
E01013315,0,25
E01013316,0,2
E01013317,0,21
E01013318,0,9
E01013319,0,34
E01013320,0,6
E01013321,0,11
E01013322,0,14
E01013323,0,6
E01013324,0,2
E01013325,0,15
E01013326,0,12
E01013327,0,14
E01013328,0,8
E01013329,1,9
E01013330,0,20
E01013331,0,22
E01013332,0,23
E01013333,0,25
E01013334,0,14
E01013791,0,27
E01013792,0,14
E01013794,0,4
E01013804,0,2
E01013805,0,27
E01015589,0,38
E01015590,0,5
E01015591,0,33
E01015592,0,5
E01015593,0,11
E01015594,0,44
E01015595,0,6
E01015596,0,11
E01015597,0,9
E01015598,0,30
E01015599,0,41
E01015600,0,6
E01015601,0,20
E01015603,0,30
E01015604,0,2
E01015605,1,47
E01015606,0,36
E01015607,0,4
E01015608,0,21
E01015609,0,20
E01015610,0,6
E01015612,0,26
E01015613,0,26
E01015614,0,35
E01015615,0,6
E01015616,0,35
E01015617,0,15
E01015618,0,25
E01015619,0,82
E01015620,0,44
E01015622,0,31
E01015623,0,17
E01015624,0,4
E01015626,0,20
E01015627,0,31
E01015628,1,13
E01015629,0,28
E01015630,0,34
E01015631,0,30
E01015632,0,29
E01015633,0,58
E01015634,0,31
E01015635,0,35
E01015636,0,37
E01015637,0,2
E01015638,0,4
E01015639,0,34
E01015640,0,36
E01015641,0,20
E01015642,0,14
E01015643,0,2
E01015644,0,38
E01015645,0,38
E01015646,0,37
E01015647,0,16
E01015648,0,8
E01015650,0,39
E01015651,0,10
E01015652,0,8
E01015653,0,29
E01015654,0,17
E01015655,0,26
E01015656,0,64
E01015658,0,10
E01015659,0,51
