Sample_Date,Result,Units,LSOA,Sample_Id,ObjectId
2022-01-04,0.243000001,μg/l  Pb,E01026891,e4d5453a-7cba-422b-876d-9a0507b83807,152
2022-01-04,0.159999996,μg/l  Pb,E01026754,078a138f-583d-41a9-bef8-71c8eb079ea7,311
2022-01-10,0.159999996,μg/l  Pb,E01033040,e266cbad-75b6-49aa-9437-4df032b68166,2309
2022-01-11,0.175999999,μg/l  Pb,E01026535,b4e55265-20a4-4a0b-951b-5b0283b1c5a0,2771
2022-01-12,0.159999996,μg/l  Pb,E01026741,cc0ef880-c26e-46cd-8099-ebbbac827593,2806
2022-01-12,0.159999996,μg/l  Pb,E01026750,259b0dfb-1d6d-4faa-a6b5-519ba1d080dd,2868
2022-01-13,0.216000006,μg/l  Pb,E01035145,cec34b44-f1f3-4df4-bcf4-e362f4be859d,3285
2022-01-17,0.159999996,μg/l  Pb,E01021643,1648d681-4022-4ed9-8c39-6ce60b5d1f6b,4583
2022-01-17,0.159999996,μg/l  Pb,E01026805,aed4fa81-b13f-4c4a-be82-406b6a83c221,4277
2022-01-17,0.159999996,μg/l  Pb,E01026349,40394ddf-c64a-468a-95bc-b2f5a67137be,4187
2022-01-17,0.159999996,μg/l  Pb,E01026825,606da830-1094-4820-8d84-9aa03941837c,4018
2022-01-17,0.305999994,μg/l  Pb,E01026683,1ebe5dce-9c4f-4a5d-94b7-c01b3f9c5ef1,4230
2022-01-19,0.159999996,μg/l  Pb,E01026695,c3194283-7447-4dcb-9efc-187bd20ce3a9,4927
2022-01-19,0.159999996,μg/l  Pb,E01026931,c07a83fe-7bf8-4158-ae73-fc88e7a2b562,5104
2022-01-19,0.159999996,μg/l  Pb,E01026565,7effba17-8c92-4c00-a656-546eb911fb6f,5242
2022-01-19,0.159999996,μg/l  Pb,E01030197,91480595-be8d-4e03-ba53-26acf3309531,5392
2022-01-20,0.287999988,μg/l  Pb,E01029892,a21ffb82-7558-4759-8d42-456c43d5be58,5553
2022-01-20,0.159999996,μg/l  Pb,E01026678,f65bc288-7cd4-48ec-9632-fea0645f597a,5844
2022-01-20,0.159999996,μg/l  Pb,E01033435,a5b554c7-8d52-4efa-ac80-302a2121bb0b,5357
2022-01-21,0.159999996,μg/l  Pb,E01029907,2f601633-2998-4166-a02b-04567e8d315a,6137
2022-01-21,0.159999996,μg/l  Pb,E01026688,4c84bff4-c426-433d-9b32-40fac4f97a68,6313
2022-01-21,0.159999996,μg/l  Pb,E01026451,13b6f2bf-b22e-4016-a33c-c00263d43c11,6395
2022-01-21,0.159999996,μg/l  Pb,E01021678,de290dd7-2f2a-4ec4-b75b-fc184d5d8e43,6501
2022-01-24,0.159999996,μg/l  Pb,E01026777,709a65f2-6cec-4aad-8192-aaecee9a403c,6470
2022-01-24,0.159999996,μg/l  Pb,E01026773,5520d55e-8102-48fe-91fd-1999c9f000dd,6499
2022-01-24,0.159999996,μg/l  Pb,E01021651,0773782e-cf0e-49e8-a810-5182f159997e,6966
2022-01-24,0.159999996,μg/l  Pb,E01017714,46a8c52c-d157-42ba-aaf8-cb6068880856,7159
2022-01-25,0.159999996,μg/l  Pb,E01026748,1551c63c-1d27-4aa7-a0c7-3e8c1f66dfac,7089
2022-01-25,0.159999996,μg/l  Pb,E01021395,80361762-99cf-48e8-a43a-f7f3a2a5a4ce,7553
2022-01-25,0.159999996,μg/l  Pb,E01026789,289be05c-3c80-49a2-ad13-ed90ddaf85d4,7500
2022-01-25,0.159999996,μg/l  Pb,E01021734,7331d4ea-ca97-491d-9958-52d0cf3af4f5,7044
2022-01-25,2.109999895,μg/l  Pb,E01026551,72ac2a39-d81d-40b9-98e2-68b1e02d4d54,7202
2022-01-26,0.159999996,μg/l  Pb,E01035143,1b4edb4f-a909-49c4-9156-eb5d28db3268,7694
2022-01-26,0.159999996,μg/l  Pb,E01021671,19a5c750-0dc7-4d0e-bbc4-ee2403a424fc,7742
2022-01-27,0.159999996,μg/l  Pb,E01029900,da78a47f-cbbb-43f4-ab92-f5d88b7ba638,8178
2022-01-27,0.159999996,μg/l  Pb,E01026569,b105a9f0-683a-4a43-846f-e3f8c6c9c8e4,8308
2022-01-28,0.159999996,μg/l  Pb,E01030165,6c75d183-17e1-4d60-96bb-b93d01b6c0f5,8839
2022-01-28,0.453000009,μg/l  Pb,E01026935,cb96d45e-4069-44dc-a5de-71608abe3b8f,8736
2022-01-28,0.159999996,μg/l  Pb,E01026653,696832d5-1ef5-4e35-abfb-48f29619b978,8961
2022-01-28,0.159999996,μg/l  Pb,E01021406,c4d90bab-12e5-4163-88c2-e7e5935e4835,8541
2022-01-28,0.159999996,μg/l  Pb,E01021370,4da441ac-3249-45c5-9e56-7f73ef717283,8701
2022-01-28,0.204999998,μg/l  Pb,E01026444,b4438392-148e-4140-9c3c-f7282126d212,8434
2022-01-31,0.199000001,μg/l  Pb,E01026445,1ca1cc25-8651-4754-be6d-97b0dea32e15,9097
2022-01-31,0.159999996,μg/l  Pb,E01013294,ebe1bee3-815e-4e30-b523-e6bf97a6a9f3,9153
2022-01-31,0.159999996,μg/l  Pb,E01026231,5223dfc9-c919-4dc1-88c2-9e39b53885be,9283
2022-01-31,0.298999995,μg/l  Pb,E01013269,841d1db3-447d-4481-b8ba-7b18f4b0dd15,9542
2022-02-01,0.159999996,μg/l  Pb,E01030150,fca7e985-7b08-4f54-8a75-0b95815105e1,9826
2022-02-01,0.63499999,μg/l  Pb,E01026477,f77be8a7-31aa-46cf-a4d0-39f43df544ad,9944
