LSOA_code,LSOA_name,Longitude,Latitude,Total_Exceedances,Total_Samples_Assessed
E01011974,Hartlepool 015B,-1.206,54.6899,1,20
E01013272,North Lincolnshire 011E,-0.49288,53.54957,1,51
E01013329,North Lincolnshire 022D,-0.54027,53.5069,1,9
E01015605,Peterborough 008A,-0.22602,52.59262,1,47
E01015628,Peterborough 004D,-0.44544,52.5979,1,13
E01015668,Peterborough 017E,-0.2346,52.55432,2,19
E01016718,Milton Keynes 014A,-0.75765,52.04874,1,20
E01016795,Milton Keynes 004E,-0.72721,52.08383,1,22
E01016827,Milton Keynes 022D,-0.6893,52.01231,1,6
E01017377,Central Bedfordshire 010B,-0.25351,52.02269,1,35
E01017382,Central Bedfordshire 006B,-0.25286,52.08137,1,50
E01017406,Central Bedfordshire 016D,-0.52509,52.00934,1,34
E01017466,Bedford 012A,-0.4742,52.13406,1,71
E01017535,Bedford 013A,-0.49179,52.138,1,46
E01017616,Central Bedfordshire 018D,-0.45099,51.94348,1,160
E01018076,Fenland 010B,0.180251,52.49463,2,63
E01018080,Fenland 007D,0.098939,52.55417,2,15
E01021374,Braintree 011E,0.556782,51.86557,1,15
E01021717,Colchester 013D,0.888089,51.87599,1,18
E01021719,Colchester 012B,0.840482,51.8895,1,9
E01026065,East Lindsey 011B,-0.10731,53.21522,1,43
E01026232,North Kesteven 010D,-0.40126,53.0029,1,82
E01026247,South Holland 001D,-0.16777,52.86276,2,49
E01026306,South Kesteven 014D,-0.29273,52.67763,1,18
E01026321,South Kesteven 004B,-0.6678,52.91523,1,16
E01026355,South Kesteven 002C,-0.74397,52.9949,1,52
E01026399,West Lindsey 005C,-0.59426,53.36363,1,41
E01026459,Breckland 007E,0.688586,52.65345,1,11
E01026465,Breckland 015A,0.742292,52.41776,1,26
E01026487,Breckland 009B,0.853698,52.57125,1,15
E01026491,Breckland 010E,0.853873,52.50324,2,69
E01026664,King's Lynn and West Norfolk 010C,0.441667,52.75101,1,28
E01026763,North Norfolk 002B,0.806084,52.94315,1,25
E01026773,North Norfolk 001D,1.212449,52.93498,1,52
E01026824,Norwich 016D,1.282409,52.63267,1,4
E01026893,South Norfolk 012B,1.456151,52.47777,2,10
E01026927,South Norfolk 006D,1.359377,52.56859,1,46
E01026932,South Norfolk 015F,1.09578,52.37918,1,49
E01026935,South Norfolk 014F,1.200379,52.38009,1,44
E01026943,South Norfolk 010C,1.614673,52.50031,1,80
E01026986,West Northamptonshire 016A,-1.17561,52.26877,1,58
E01027050,North Northamptonshire 001C,-0.47175,52.54424,1,77
E01027168,West Northamptonshire 017A,-0.85603,52.2618,1,4
E01027304,West Northamptonshire 048D,-1.28786,52.15851,1,26
E01027308,West Northamptonshire 043D,-0.74846,52.20621,1,35
E01027999,Bassetlaw 002A,-0.83562,53.40937,1,31
E01029874,Babergh 011C,1.263135,51.96538,1,12
E01029884,Babergh 002B,0.65521,52.10626,1,34
E01030050,Mid Suffolk 004C,0.919434,52.23874,1,21
E01030056,Mid Suffolk 006B,0.952675,52.22863,1,49
E01030081,Mid Suffolk 005D,1.025694,52.19325,1,46
E01030138,West Suffolk 016B,0.778475,52.21118,1,41
E01030140,West Suffolk 009D,0.691077,52.25571,2,37
E01030175,East Suffolk 021A,1.247433,52.10267,1,58
E01030181,East Suffolk 025A,1.254338,52.06392,2,6
E01030184,East Suffolk 024D,1.230238,52.0539,1,18
E01030198,East Suffolk 025E,1.299641,52.03335,1,64
E01033447,East Suffolk 025H,1.257369,52.06827,1,38
E01033829,Central Bedfordshire 024I,-0.64684,51.9089,1,21
E01035155,Braintree 011F,0.555865,51.87271,1,27
E01035430,North Northamptonshire 030E,-0.67865,52.29977,1,53
E01035535,East Cambridgeshire 004H,0.23627,52.38667,1,31
