station_padded_id,Station number,Station name,N samples,N exceedances,Percent exceedance [%],LATITUDE [deg],LONGITUDE [deg]
01010400202,1010400202,Current River,8,3,37.5,48.48247952,-89.18801899
01010500102,1010500102,Mc Vicar Creek,8,6,75.0,48.43965452,-89.21410974
01010600202,1010600202,Mc Intyre River,7,7,100.0,48.39965814,-89.24543749
01010700202,1010700202,Neebing River,7,6,85.714,48.38122752,-89.35788387
01010700402,1010700402,Neebing River,8,8,100.0,48.38338889,-89.30655556
01010800102,1010800102,Kaministiquia River,8,6,75.0,48.35863464,-89.28760749
01010800602,1010800602,Slate River,8,6,75.0,48.32579589,-89.40438324
03001500202,3001500202,Pottawatomi River,7,4,57.143,44.57429939,-80.96008648
03001600302,3001600302,Sydenham River,7,0,0.0,44.52217814,-80.93089011
03001700202,3001700202,Telfer Creek,7,0,0.0,44.62385189,-80.87577098
03003000202,3003000202,Bighead River,7,0,0.0,44.56987776,-80.64850398
03003600502,3003600502,Boyne River,7,0,0.0,44.27958714,-80.54585836
03003600902,3003600902,Beaver River,7,0,0.0,44.34604251,-80.54015148
03003601002,3003601002,Beaver River,7,0,0.0,44.52027901,-80.46674361
03005300102,3005300102,Pretty River,7,0,0.0,44.50308626,-80.19772461
03005700702,3005700702,Boyne River,7,1,14.286,44.16306064,-79.82948636
03005702502,3005702502,Nottawasaga River,7,5,71.429,44.47547451,-80.00712811
03005702802,3005702802,Nottawasaga River,7,0,0.0,44.02452589,-79.96972211
03005703002,3005703002,Willow Creek,7,3,42.857,44.42213889,-79.82357036
03005703102,3005703102,Innisfil Creek,7,6,85.714,44.13108751,-79.79639598
03006600102,3006600102,Copeland Creek,7,0,0.0,44.76173314,-79.95878136
03007000302,3007000302,Wye River,7,1,14.286,44.73194951,-79.84641461
03007000402,3007000402,Wye River,7,1,14.286,44.64988101,-79.90361398
03007000502,3007000502,Wye River,7,0,0.0,44.57712664,-79.86026898
03007300202,3007300202,Hog Creek,7,0,0.0,44.72605614,-79.77889261
03007300302,3007300302,Hog Creek,7,0,0.0,44.68728901,-79.79179673
03007500202,3007500202,Sturgeon River,7,0,0.0,44.73010676,-79.72941161
03007600302,3007600302,Coldwater River,7,0,0.0,44.70729676,-79.64358186
03007600402,3007600402,Coldwater River,7,0,0.0,44.64546101,-79.63457136
03007600502,3007600502,North River,7,0,0.0,44.76757014,-79.57837298
03007600602,3007600602,Silver Creek,7,0,0.0,44.66792451,-79.45662573
03007700202,3007700202,Holland River,7,1,14.286,44.11323614,-79.54583973
03007700702,3007700702,Aurora Creek,7,1,14.286,44.02220026,-79.47285473
03007701302,3007701302,Severn River,7,0,0.0,44.80375139,-79.72022748
03007702102,3007702102,Mount Albert Creek,6,2,33.333,44.16663039,-79.32748086
03007702802,3007702802,Lovers Creek,7,2,28.571,44.37225239,-79.65129523
03007702902,3007702902,Holland River,7,4,57.143,44.01385739,-79.67910198
03007703402,3007703402,Maskinonge River,7,6,85.714,44.22387364,-79.42133711
03007703502,3007703502,Uxbirdge Brook,7,3,42.857,44.13775764,-79.11259961
03007703602,3007703602,Hawkestone Creek,7,0,0.0,44.49636189,-79.46684923
03007703802,3007703802,Black River,7,2,28.571,44.30473701,-79.36042573
03007703902,3007703902,Holland River,7,4,57.143,44.09483164,-79.48995273
03007704002,3007704002,Pefferlaw Brook,7,0,0.0,44.31673376,-79.20137861
03007704102,3007704102,Beaverton River,7,0,0.0,44.43029614,-79.15510248
03013301302,3013301302,Duchesnay River,7,7,100.0,46.329222,-79.50321
03013301502,3013301502,La Vase River,7,7,100.0,46.25808139,-79.40318148
03013301902,3013301902,Chippewa Creek,7,7,100.0,46.301073,-79.459227
03013303002,3013303002,Wasi River,7,7,100.0,46.196399,-79.366542
03013304002,3013304002,South River,7,5,71.429,46.104045,-79.525517
03013400102,3013400102,Wanapitei River,7,1,14.286,46.39508052,-80.80042673
03013400302,3013400302,Emery Creek,7,7,100.0,46.52989664,-80.74367511
03013401802,3013401802,East Wanapitei River,7,1,14.286,46.90332939,-80.83870886
04001000302,4001000302,Ruscom River,6,5,83.333,42.24355614,-82.61438286
04001301602,4001301602,Thames River,7,1,14.286,43.12633764,-80.77928186
04001301702,4001301702,Cedar Creek,7,4,57.143,43.12741876,-80.77084186
04001302502,4001302502,Avon River,7,3,42.857,43.36605826,-81.01866973
04001302902,4001302902,Dingman Creek,7,7,100.0,42.91414551,-81.31366036
04001303302,4001303302,Big Creek,7,3,42.857,42.19263914,-82.51680573
04001304102,4001304102,Middle Thames River,7,1,14.286,43.03141939,-80.99848748
04001304402,4001304402,North Thames River,7,1,14.286,43.45058551,-81.20725048
04001304702,4001304702,Thames River,7,1,14.286,42.93474951,-81.42151298
04001306302,4001306302,Komoka Creek,7,6,85.714,42.93796101,-81.44090948
04001306402,4001306402,Trout Creek,7,0,0.0,43.26643989,-81.08411186
04001308202,4001308202,Thames River,7,4,57.143,42.35543939,-82.32007686
04001308302,4001308302,Thames River,7,5,71.429,42.73153714,-81.57772073
04002700802,4002700802,Bear Creek,7,6,85.714,42.76407739,-82.34158173
04002700902,4002700902,Black Creek,7,7,100.0,42.78694901,-82.17194086
04002701702,4002701702,Sydenham River,7,3,42.857,42.59179026,-82.38763173
05000600202,5000600202,Black Creek,7,3,42.857,42.96335064,-79.02196436
06000300102,6000300102,Four Mile Creek,7,3,42.857,43.25323889,-79.12593486
06001700102,6001700102,Twelve Mile Creek,7,0,0.0,43.20139039,-79.26580248
06001700702,6001700702,Twelve Mile Creek,7,2,28.571,43.11499764,-79.27483361
06001701002,6001701002,Twelve Mile Creek,7,2,28.571,43.08750789,-79.29199661
06001701102,6001701102,Twelve Mile Creek,7,1,14.286,43.08730964,-79.29167323
06002400102,6002400102,Twenty Mile Creek,7,4,57.143,43.15201751,-79.37448548
06002400902,6002400902,Twenty Mile Creek,7,4,57.143,43.11560596,-79.56650923
06003800102,6003800102,Forty Mile Creek,7,2,28.571,43.20004851,-79.55697698
06005000202,6005000202,Stoney Creek,8,3,37.5,43.22507314,-79.75125473
06005900102,6005900102,Sheldon Creek,7,1,14.286,43.38180289,-79.71732448
06006000702,6006000702,Bronte Creek,7,1,14.286,43.39559389,-79.72279548
06006000802,6006000802,Indian Creek,7,1,14.286,43.43465639,-79.84737548
06006100302,6006100302,Fourteen Mile Creek,7,2,28.571,43.41860814,-79.69007536
06006300102,6006300102,Oakville Creek,7,1,14.286,43.44293476,-79.67125023
06006301102,6006301102,East Oakville Creek,7,3,42.857,43.49908114,-79.77659048
06006301202,6006301202,West Oakville Creek,7,2,28.571,43.47417514,-79.79842286
