Collected date [YYYY-MM-DD],Collection site,Iron [µg/L],Censored flag [true/false],Detection limit [µg/L],Results (raw)
2024-01-05,3005300102,129.0,false,3,129
2024-01-05,3005702502,250.0,false,3,250
2024-01-05,3005703002,360.0,false,3,360
2024-01-10,19006404502,196.0,false,6,196
2024-01-10,19006400102,105.0,false,3,105
2024-01-10,19006400402,411.0,false,3,411
2024-01-10,19006401420,91.2,false,3,91.2
2024-01-16,16018403502,83.8,false,3,83.8
2024-01-17,6007605102,59.7,false,3,59.7
2024-01-17,6007601802,104.0,false,3,104
2024-01-17,6007600502,174.0,false,3,174
2024-01-17,6007600802,167.0,false,3,167
2024-01-17,6007600302,295.0,false,15,295
2024-01-17,6007601002,297.0,false,3,297
2024-01-17,6007601602,213.0,false,3,213
2024-01-17,6007601502,43.8,false,3,43.8
2024-01-17,6006800102,30.0,true,60,<60
2024-01-17,6007602302,158.0,false,6,158
2024-01-17,6007601702,561.0,false,3,561
2024-01-17,6007600402,409.0,false,3,409
2024-01-17,6007600602,196.0,false,15,196
2024-01-17,6007605202,139.0,false,3,139
2024-01-17,6007602202,77.1,false,3,77.1
2024-01-22,6010400102,215.0,false,15,215
2024-01-23,6009701102,258.0,false,3,258
2024-01-24,6008000602,525.0,false,60,525
2024-01-24,6008200302,635.0,false,60,635
2024-01-24,8002202402,1630.0,false,3,1630
2024-01-25,6008301902,651.0,false,30,651
2024-01-25,6008501402,991.0,false,30,991
2024-01-26,8002202402,2010.0,false,3,2010
2024-02-04,3007701302,153.0,false,3,153
2024-02-04,3007600502,204.0,false,3,204
2024-02-04,3007000502,133.0,false,3,133
2024-02-04,3006600102,98.6,false,3,98.6
2024-02-04,3007000402,132.0,false,3,132
2024-02-04,17002103802,89.2,false,3,89.2
2024-02-04,17002105202,154.0,false,3,154
2024-02-04,3007300202,110.0,false,3,110
2024-02-04,17002100802,65.0,false,3,65
2024-02-04,3007500202,100.0,false,3,100
2024-02-04,3007600402,83.4,false,3,83.4
2024-02-04,3007600302,90.5,false,3,90.5
2024-02-04,3007600602,106.0,false,3,106
2024-02-04,3007300302,109.0,false,3,109
2024-02-04,17002114002,134.0,false,3,134
2024-02-04,17002107702,69.7,false,3,69.7
2024-02-04,3007000302,72.6,false,3,72.6
2024-02-05,3005703102,376.0,false,3,376
2024-02-05,3005702802,124.0,false,3,124
2024-02-05,3005700702,203.0,false,3,203
2024-02-07,3007701302,38.8,false,3,38.8
2024-02-07,3007300302,229.0,false,3,229
2024-02-07,3007600502,287.0,false,3,287
2024-02-07,16018401002,76.0,false,3,76
2024-02-07,16018409302,1020.0,false,3,1020
2024-02-07,16018402702,133.0,false,3,133
2024-02-07,3007000302,109.0,false,3,109
2024-02-07,3007000402,201.0,false,3,201
2024-02-07,3006600102,128.0,false,3,128
2024-02-07,3007600602,118.0,false,3,118
2024-02-07,3007600402,84.1,false,3,84.1
2024-02-07,3007000502,159.0,false,3,159
2024-02-07,3007300202,235.0,false,3,235
2024-02-07,3007500202,105.0,false,3,105
2024-02-07,3007600302,114.0,false,3,114
2024-02-07,8012303002,185.0,false,3,185
2024-02-07,8010300102,267.0,false,3,267
2024-02-10,19004400102,296.0,false,3,296
2024-02-10,19004300402,72.7,false,3,72.7
2024-02-13,17002600902,473.0,false,3,473
2024-02-13,14002802802,748.0,false,3,748
2024-02-21,6007601002,87.8,false,3,87.8
2024-02-21,6007600602,273.0,false,15,273
2024-02-21,6007600402,178.0,false,6,178
2024-02-21,6007600502,220.0,false,3,220
2024-02-21,6006800102,30.0,true,60,<60
2024-02-21,6007605002,122.0,false,6,122
2024-02-21,6007602302,246.0,false,9,246
2024-02-21,6007602202,404.0,false,3,404
2024-02-21,6007600802,165.0,false,3,165
2024-02-21,6007600302,108.0,false,3,108
2024-02-21,6007605202,142.0,false,3,142
2024-02-21,6007601702,131.0,false,3,131
2024-02-21,6007601802,81.2,false,3,81.2
2024-02-21,6007605102,39.9,false,3,39.9
2024-02-21,6007601602,169.0,false,15,169
2024-02-21,6007601502,43.3,false,3,43.3
2024-02-26,6010400102,260.0,false,3,260
2024-02-27,16018403502,123.0,false,3,123
2024-02-27,6009701102,142.0,false,9,142
2024-02-27,9000800702,95.3,false,3,95.3
2024-02-27,9000800602,149.0,false,3,149
2024-02-27,9000800502,77.1,false,3,77.1
2024-02-28,6008000602,1960.0,false,3,1960
2024-02-28,6008200302,3530.0,false,9,3530
2024-02-28,6005000202,818.0,false,3,818
2024-02-28,9000100402,1070.0,false,3,1070
2024-02-28,9000100502,884.0,false,3,884
2024-02-29,6008301902,2510.0,false,3,2510
2024-02-29,6008501402,497.0,false,15,497
2024-03-04,18607008002,147.0,false,3,147
2024-03-04,18607002002,187.0,false,3,187
2024-03-04,6005900102,287.0,false,9,287
2024-03-04,9000902402,215.0,false,3,215
2024-03-04,6006301102,697.0,false,3,697
2024-03-04,6006000702,134.0,false,3,134
2024-03-04,6006300102,181.0,false,3,181
2024-03-04,18607006002,290.0,false,3,290
2024-03-04,6006301202,436.0,false,3,436
2024-03-04,6006100302,355.0,false,6,355
2024-03-04,6006000802,276.0,false,3,276
2024-03-04,18000036002,258.0,false,3,258
2024-03-06,3013301502,471.0,false,3,471
2024-03-06,3013301902,574.0,false,3,574
2024-03-06,3013301302,604.0,false,3,604
2024-03-06,3013303002,608.0,false,3,608
2024-03-06,3013304002,376.0,false,3,376
2024-03-07,3013301902,1530.0,false,3,1530
2024-03-07,3013301502,1630.0,false,3,1630
2024-03-07,3013304002,613.0,false,3,613
2024-03-07,3013301302,1050.0,false,3,1050
2024-03-07,3013303002,553.0,false,3,553
2024-03-07,8012305102,213.0,false,3,213
2024-03-09,3007600502,212.0,false,3,212
2024-03-09,16018409302,825.0,false,3,825
2024-03-09,8010300102,259.0,false,3,259
2024-03-09,8012303002,204.0,false,3,204
2024-03-09,3007600402,104.0,false,3,104
2024-03-09,3007600302,102.0,false,3,102
2024-03-09,6006301102,183.0,false,3,183
2024-03-09,6006000702,112.0,false,3,112
2024-03-09,16018401002,63.8,false,3,63.8
2024-03-09,3007600602,106.0,false,3,106
2024-03-09,6006100302,100.0,false,3,100
2024-03-09,3007300202,221.0,false,3,221
2024-03-09,6006301202,40.2,false,3,40.2
2024-03-09,3006600102,126.0,false,3,126
2024-03-09,3007000502,161.0,false,3,161
2024-03-09,3007300302,188.0,false,3,188
2024-03-09,3007000302,165.0,false,3,165
2024-03-09,3007500202,88.1,false,3,88.1
2024-03-09,3007701302,16.1,false,3,16.1
2024-03-09,3007000402,261.0,false,3,261
2024-03-09,6006300102,52.4,false,3,52.4
2024-03-09,9000902402,52.5,false,3,52.5
2024-03-09,6005900102,53.1,false,3,53.1
2024-03-09,16018402702,110.0,false,3,110
2024-03-09,6006000802,134.0,false,3,134
2024-03-10,19004300502,199.0,false,3,199
2024-03-18,3003601002,81.3,false,3,81.3
2024-03-18,3001700202,53.5,false,3,53.5
2024-03-18,3001600302,62.8,false,3,62.8
2024-03-18,4001304402,97.1,false,3,97.1
2024-03-18,4001304102,67.5,false,3,67.5
2024-03-18,3003000202,80.2,false,3,80.2
2024-03-18,4001306402,42.5,false,3,42.5
2024-03-18,4001301702,131.0,false,3,131
