Collected date [YYYY-MM-DD],Month,Iron [ug/L],Collection site
2024-05-28,May,297.0,17002112802
2024-05-22,May,283.0,6007605202
2024-09-24,Sep,73.6,3005300102
2024-07-18,Jul,465.0,13000800102
2024-09-16,Sep,282.0,13000800102
2024-07-23,Jul,80.3,17002153802
2024-08-05,Aug,183.0,6006000802
2024-06-19,Jun,65.1,6007600302
2024-07-17,Jul,575.0,6007600302
2024-07-17,Jul,1170.0,6007601602
2024-07-17,Jul,682.0,6007601702
2024-08-21,Aug,142.0,6007600302
2024-12-06,Dec,75.1,17002107702
2024-12-06,Dec,103.0,17002114002
2024-08-21,Aug,45.6,6007601502
2024-07-08,Jul,206.0,6006000802
2024-07-08,Jul,68.6,6006300102
2024-08-21,Aug,133.0,6007601802
2024-05-22,May,238.0,6007602302
2024-06-19,Jun,61.3,6007600402
2024-09-16,Sep,92.4,13001101002
2024-08-15,Aug,208.0,6005900102
2024-08-21,Aug,151.0,6007600602
2024-09-18,Sep,75.4,6007605102
2024-03-04,Mar,436.0,6006301202
2024-07-15,Jul,65.2,17002114102
2024-04-23,Apr,79.4,9000100402
2024-04-23,Apr,60.9,9000100502
2024-04-23,Apr,420.0,6005000202
2024-05-14,May,74.9,8005600302
2024-02-04,Feb,69.7,17002107702
2024-06-19,Jun,66.8,6007605002
2024-06-03,Jun,250.0,6006301102
2024-05-22,May,86.3,6007601502
2024-05-16,May,85.5,13001101002
2024-08-13,Aug,11.0,17002106502
2024-08-13,Aug,51.7,17002114102
2024-05-28,May,258.0,9000100402
2024-10-09,Oct,68.9,17002107702
2024-04-23,Apr,143.0,9000800502
2024-05-16,May,613.0,13000300102
2024-02-04,Feb,204.0,3007600502
2024-02-04,Feb,153.0,3007701302
2024-08-13,Aug,63.9,17002106702
2024-09-18,Sep,49.1,6007602202
2024-09-18,Sep,39.5,6007600402
2024-10-23,Oct,33.7,6007600402
2024-05-14,May,28.3,8005600102
2024-04-23,Apr,159.0,9000800702
2024-04-23,Apr,143.0,9000800602
2024-05-14,May,101.0,8005600902
2024-05-14,May,274.0,8005600202
2024-05-14,May,42.1,8005603902
2024-07-23,Jul,144.0,17002112802
2024-07-23,Jul,207.0,17002104602
2024-08-13,Aug,127.0,17002100702
2024-08-13,Aug,92.0,17002105202
2024-02-28,Feb,884.0,9000100502
2024-02-28,Feb,1070.0,9000100402
2024-02-27,Feb,149.0,9000800602
2024-09-18,Sep,698.0,6007600502
2024-03-09,Mar,221.0,3007300202
2024-07-10,Jul,52.9,3007701302
2024-09-18,Sep,308.0,6007600802
2024-07-17,Jul,358.0,6007602302
2024-12-08,Dec,167.0,17002103802
2024-05-06,May,75.4,6006100302
2024-05-13,May,221.0,17002103802
2024-07-17,Jul,136.0,6006800102
2024-09-18,Sep,28.1,6007601502
2024-09-18,Sep,56.5,6007601002
2024-07-17,Jul,543.0,6007600402
2024-08-05,Aug,107.0,9000902402
2024-08-20,Aug,397.0,4001306302
2024-09-04,Sep,30.1,17002106502
2024-06-24,Jun,271.0,17002107102
2024-08-05,Aug,128.0,6006300102
2024-07-15,Jul,322.0,4001304402
2024-07-15,Jul,597.0,4001302502
2024-08-05,Aug,93.1,6006000702
2024-08-26,Aug,87.2,17002115702
2024-10-22,Oct,121.0,3005700702
2024-07-18,Jul,118.0,13001101002
2024-03-04,Mar,276.0,6006000802
2024-06-19,Jun,231.0,6007605202
2024-07-23,Jul,309.0,17002115602
2024-07-23,Jul,252.0,17002115702
2024-07-15,Jul,297.0,4001301602
2024-07-23,Jul,109.0,17002107102
2024-08-26,Aug,77.8,17002113302
2024-05-06,May,96.0,6005900102
2024-08-19,Aug,228.0,4001302502
2024-08-26,Aug,92.8,17002107102
2024-05-06,May,101.0,6006000802
2024-10-07,Oct,2700.0,6006301102
2024-06-13,Jun,30.1,17002106502
2024-10-29,Oct,96.0,17002115702
2024-08-15,Aug,50.7,6006000702
2024-06-13,Jun,30.8,17002106702
2024-09-18,Sep,101.0,6007601602
2024-09-18,Sep,73.8,6007601702
2024-09-18,Sep,65.0,6007600302
2024-09-18,Sep,30.9,6006800102
2024-03-09,Mar,88.1,3007500202
2024-06-08,Jun,207.0,3007000402
2024-06-08,Jun,817.0,3007000302
2024-06-08,Jun,270.0,3007300302
2024-04-06,Apr,147.0,3007000402
2024-04-06,Apr,151.0,3007000302
2024-08-04,Aug,50.2,8005600902
2024-08-04,Aug,60.5,8005603902
2024-08-04,Aug,95.3,8007600102
2024-08-04,Aug,32.7,8005600102
2024-09-18,Sep,212.0,6007602302
2024-12-08,Dec,115.0,17002114002
2024-12-08,Dec,30.4,17002100802
2024-12-08,Dec,90.8,17002107702
2024-07-15,Jul,22.3,17002106502
2024-02-27,Feb,77.1,9000800502
2024-02-28,Feb,818.0,6005000202
2024-02-27,Feb,95.3,9000800702
2024-07-15,Jul,38.5,17002106702
2024-08-04,Aug,68.3,8005600202
2024-09-18,Sep,81.8,6007601802
2024-09-18,Sep,42.5,6007605002
2024-02-04,Feb,133.0,3007000502
2024-07-15,Jul,109.0,17002100702
2024-03-09,Mar,52.5,9000902402
2024-03-09,Mar,53.1,6005900102
2024-08-04,Aug,60.4,8005600302
2024-03-09,Mar,134.0,6006000802
2024-02-07,Feb,159.0,3007000502
2024-09-07,Sep,58.4,17002107702
2024-09-07,Sep,126.0,17002114002
2024-03-09,Mar,40.2,6006301202
2024-03-09,Mar,52.4,6006300102
2024-03-09,Mar,100.0,6006100302
2024-09-18,Sep,173.0,6007605202
2024-09-18,Sep,200.0,6007600602
2024-03-09,Mar,112.0,6006000702
2024-03-09,Mar,183.0,6006301102
2024-08-21,Aug,242.0,6007605202
2024-08-21,Aug,151.0,6007601002
2024-10-29,Oct,36.0,17002153802
2024-09-07,Sep,195.0,17002103802
2024-10-29,Oct,61.0,17002115602
2024-06-13,Jun,107.0,17002103802
2024-09-07,Sep,35.9,17002100802
2024-09-07,Sep,126.0,17002105202
2024-08-21,Aug,30.4,6006800102
2024-08-15,Aug,80.2,9000902402
2024-09-16,Sep,146.0,4001306402
2024-06-18,Jun,84.6,8005600902
2024-09-17,Sep,289.0,4001306302
2024-09-17,Sep,56.9,4001304702
2024-12-06,Dec,44.6,17002100802
2024-09-24,Sep,41.8,17002105702
2024-08-19,Aug,177.0,4001304102
2024-08-26,Aug,112.0,17002112802
2024-09-17,Sep,362.0,4001302902
2024-08-21,Aug,310.0,6007602302
2024-08-21,Aug,228.0,6007605002
2024-09-24,Sep,263.0,17002112802
2024-09-04,Sep,27.5,17002114102
2024-07-17,Jul,432.0,6007601802
2024-02-04,Feb,65.0,17002100802
2024-02-04,Feb,154.0,17002105202
2024-09-16,Sep,44.9,4001304102
2024-03-04,Mar,355.0,6006100302
2024-05-16,May,339.0,13001100102
2024-08-14,Aug,297.0,13001101002
2024-07-16,Jul,845.0,4001304702
2024-07-23,Jul,199.0,3005703002
2024-06-17,Jun,68.9,4001302502
2024-12-06,Dec,387.0,13001101002
2024-05-28,May,43.2,17002111802
2024-06-03,Jun,140.0,6006300102
2024-03-04,Mar,134.0,6006000702
2024-06-19,Jun,171.0,6007601602
2024-07-16,Jul,726.0,4001306302
2024-08-05,Aug,85.6,6005900102
2024-08-20,Aug,193.0,4001304702
2024-08-20,Aug,905.0,4001302902
2024-08-26,Aug,52.7,17002153802
2024-08-26,Aug,114.0,17002104602
2024-10-23,Oct,353.0,6007600802
2024-10-23,Oct,43.7,6007602202
2024-10-23,Oct,153.0,6007602302
2024-07-17,Jul,366.0,6007601002
2024-10-07,Oct,1790.0,9000902402
2024-08-21,Aug,103.0,6007605102
2024-08-21,Aug,107.0,6007600402
2024-03-09,Mar,102.0,3007600302
2024-10-23,Oct,158.0,6007605202
2024-10-29,Oct,32.0,17002105702
2024-10-29,Oct,137.0,17002104602
2024-06-13,Jun,99.8,17002100702
2024-08-21,Aug,515.0,6007600502
2024-06-13,Jun,69.5,17002114102
2024-10-23,Oct,20.5,6007601502
2024-10-07,Oct,1350.0,6006100302
2024-10-29,Oct,120.0,17002112802
2024-10-29,Oct,33.0,17002111802
2024-10-29,Oct,93.0,17002107102
2024-10-29,Oct,141.0,17002113302
2024-10-23,Oct,60.6,6007600302
2024-02-07,Feb,105.0,3007500202
2024-07-08,Jul,32.1,6006301202
2024-08-21,Aug,179.0,6007601702
2024-08-21,Aug,377.0,6007600802
2024-09-16,Sep,238.0,4001301702
2024-07-08,Jul,83.7,6006100302
2024-07-08,Jul,152.0,6006301102
2024-04-06,Apr,215.0,3007300302
2024-04-06,Apr,176.0,3007300202
2024-05-28,May,251.0,9000100502
2024-12-06,Dec,151.0,17002105202
2024-09-16,Sep,142.0,4001301602
2024-09-24,Sep,90.3,17002115702
2024-09-24,Sep,120.0,17002113302
2024-05-28,May,360.0,9000800502
2024-05-28,May,135.0,6005000202
2024-09-16,Sep,55.7,4001304402
2024-10-07,Oct,960.0,6006300102
2024-05-14,May,83.7,17002105202
2024-05-28,May,487.0,9000800602
2024-05-28,May,443.0,9000800702
2024-05-14,May,22.2,17002106702
2024-09-24,Sep,142.0,17002115602
2024-07-17,Jul,376.0,6007600502
2024-10-07,Oct,369.0,6006000702
2024-10-07,Oct,1790.0,6005900102
2024-09-24,Sep,105.0,17002107102
2024-08-21,Aug,87.8,6007602202
2024-07-17,Jul,541.0,6007600802
2024-08-21,Aug,214.0,6007601602
2024-09-16,Sep,102.0,4001302502
2024-09-24,Sep,171.0,17002104602
2024-09-24,Sep,48.5,17002111802
2024-10-09,Oct,80.0,17002114002
2024-10-09,Oct,181.0,17002103802
2024-10-09,Oct,23.2,17002100802
2024-10-09,Oct,72.3,17002105202
2024-05-14,May,42.2,17002106502
2024-11-09,Nov,77.0,17002100702
2024-05-14,May,62.6,17002114102
2024-06-18,Jun,115.0,8007600102
2024-06-18,Jun,232.0,8005603902
2024-05-14,May,105.0,17002100702
2024-06-18,Jun,69.5,8005600302
2024-06-18,Jun,40.7,8005600202
2024-05-06,May,70.8,6006301202
2024-09-24,Sep,44.8,17002153802
2024-08-26,Aug,35.0,17002105702
2024-08-26,Aug,138.0,17002115602
