Collected date,Month,Total phosphorus [ug/L],Collection site
2024-09-05,Sep,11.5,8012305702
2024-08-13,Aug,27.7,16012401102
2024-08-13,Aug,28.6,16015900302
2024-10-17,Oct,12.3,16018402702
2024-10-17,Oct,25.1,3013303002
2024-07-16,Jul,155.0,8002200702
2024-06-17,Jun,120.0,4001304402
2024-04-11,Apr,12.5,16018403602
2024-04-11,Apr,3.9,16018410202
2024-06-25,Jun,106.0,3005702902
2024-06-25,Jun,140.0,3005703202
2024-10-22,Oct,17.6,16018401202
2024-10-22,Oct,39.8,16018412702
2024-10-22,Oct,10.8,16018402902
2024-10-15,Oct,27.4,16010900802
2024-09-17,Sep,137.0,8002201602
2024-09-17,Sep,74.6,8002100202
2024-07-16,Jul,126.0,4001306302
2024-07-16,Jul,264.0,4001304702
2024-08-27,Aug,15.0,3005300102
2024-11-11,Nov,28.1,16012401202
2024-09-23,Sep,80.7,3005703102
2024-08-19,Aug,106.0,4001306402
2024-11-25,Nov,1.4,3005703702
2024-11-19,Nov,18.1,8002202002
2024-05-21,May,66.2,4001305802
2024-09-12,Sep,17.3,16018402902
2024-09-16,Sep,136.0,4001304402
2024-09-16,Sep,37.2,4001301702
2024-09-16,Sep,49.7,4001304102
2024-04-06,Apr,28.1,8012304402
2024-04-15,Apr,26.2,3003000202
2024-04-15,Apr,10.3,3003600902
2024-02-13,Feb,9.2,12001700202
2024-08-20,Aug,27.9,8004000202
2024-08-20,Aug,204.0,8002201202
2024-10-22,Oct,8.8,16018413002
2024-05-06,May,27.9,8012304802
2024-08-20,Aug,27.0,4001305702
2024-10-17,Oct,2.7,8012305702
2024-10-17,Oct,1.5,8012305302
2024-10-17,Oct,11.0,8012304802
2024-10-22,Oct,10.4,16018410302
2024-06-17,Jun,79.9,4001309502
2024-06-17,Jun,35.3,4001309402
2024-06-17,Jun,117.0,4001302502
2024-06-17,Jun,33.6,4001304102
2024-06-18,Jun,466.0,4001308602
2024-06-24,Jun,128.0,3005703702
2024-07-15,Jul,17.6,3003600902
2024-07-15,Jul,11.7,3003600502
2024-07-15,Jul,20.1,8013500302
2024-07-15,Jul,30.7,3001600302
2024-07-15,Jul,25.4,3003601002
2024-08-20,Aug,22.8,8004000802
2024-10-22,Oct,52.2,16018405102
2024-06-24,Jun,27.1,3004900102
2024-06-24,Jun,50.6,3005703002
2024-06-24,Jun,18.8,3005300102
2024-11-04,Nov,27.2,8012305702
2024-04-11,Apr,16.1,8012305602
2024-04-11,Apr,3.4,8012303002
2024-11-04,Nov,15.3,8012305202
2024-11-04,Nov,20.8,8012304802
2024-06-18,Jun,64.6,8002201602
2024-06-18,Jun,56.3,8002202002
2024-06-17,Jun,6.3,3003600902
2024-06-17,Jun,13.3,3001700202
2024-10-31,Oct,7.1,16018410602
2024-02-04,Feb,17.4,3007000502
2024-02-04,Feb,11.9,3007701302
2024-05-13,May,22.1,3007000502
2024-02-12,Feb,9.0,3006600102
2024-02-12,Feb,18.8,3007000402
2024-02-12,Feb,63.1,3007000302
2024-02-12,Feb,9.5,3007701302
2024-06-08,Jun,10.5,3007500202
2024-07-10,Jul,16.8,3007000302
2024-07-10,Jul,13.9,3007300202
2024-02-13,Feb,6.9,3006600102
2024-02-13,Feb,18.0,3007600302
2024-02-13,Feb,21.1,3007600502
2024-02-07,Feb,10.8,3007600402
2024-02-07,Feb,29.8,3007600502
2024-03-09,Mar,13.6,3007500202
2024-03-09,Mar,25.2,3007600502
2024-03-09,Mar,10.4,3007701302
2024-06-08,Jun,94.1,3007000302
2024-06-08,Jun,28.9,3007300202
2024-04-11,Apr,2.8,8012300202
2024-04-11,Apr,27.0,8010300102
2024-04-11,Apr,15.0,8010700502
2024-11-06,Nov,19.7,8010300102
2024-11-06,Nov,38.0,8012305602
2024-03-26,Mar,12.5,12001700202
2024-03-26,Mar,21.5,12003100102
2024-03-26,Mar,19.9,12000400202
2024-03-26,Mar,16.8,12003400102
2024-02-07,Feb,20.6,8010700502
2024-03-26,Mar,12.3,12001700102
2024-03-26,Mar,25.4,12002700102
2024-10-12,Oct,313.0,4001308002
2024-08-20,Aug,565.0,4001308102
2024-02-07,Feb,13.0,8012300202
2024-08-21,Aug,49.4,4001308202
2024-08-21,Aug,2400.0,4001303302
2024-08-20,Aug,33.3,4001305802
2024-09-17,Sep,43.1,16006300202
2024-09-17,Sep,79.6,4001305802
2024-08-20,Aug,48.9,16006300202
2024-06-24,Jun,55.1,3005703602
2024-06-24,Jun,132.0,3005703302
2024-06-24,Jun,31.4,3005702102
2024-06-24,Jun,26.0,3005400102
2024-06-24,Jun,52.5,3005702502
