Station number,Station name,Risk tier (original),Risk tier (clean),LATITUDE,LONGITUDE
16018412702,Boomer Creek,Tier 4,Tier 4,43.702036,-80.445345
16018405102,Canagagigue Creek,Tier 4,Tier 4,43.61624676,-80.56016286
16018402902,Conestogo River,Tier 4,Tier 4,43.52485176,-80.51439923
06002400802,Twenty Mile Creek,Tier 4,Tier 4,43.13348326,-79.38363582
16018412902,Mckenzie Creek,Tier 4,Tier 4,43.02365039,-79.91485911
16010900702,Big Otter Creek,Tier 4,Tier 4,42.96592451,-80.54252573
06016300102,Bloomfield Creek,Tier 4,Tier 4,43.97329951,-77.2464741
17001600102,Sawguin Creek,Tier 4,Tier 4,44.10396189,-77.3946996
04001304202,Thames River,Tier 4,Tier 4,43.01864126,-80.92690923
16018407502,Conestogo River,Tier 4,Tier 4,43.75687376,-80.66993298
04001308602,Oxbow Creek,Tier 4,Tier 4,42.96305914,-81.40696673
04001303302,Big Creek,Tier 3,Tier 3,42.19263914,-82.51680573
04001305802,Thames River,Tier 3,Tier 3,42.51391626,-82.07167161
04001308102,Mcgregor Creek,Tier 3,Tier 3,42.38328064,-82.09484398
04001307302,Newbiggin Creek,Tier 3,Tier 3,42.71793864,-81.66988373
04001311002,Jeannettes Creek,Tier 3,Tier 3,42.32507451,-82.33001348
08005602002,Boyle Drain,Tier 3,Tier 3,43.69298176,-81.09216111
04002700402,Bear Creek,Tier 3,Tier 3,42.86419764,-82.16923398
16018407702,Conestogo River,Tier 3,Tier 3,43.65482551,-80.70206798
08012305602,Mill Creek,Tier 3,Tier 3,44.41529576,-81.38327448
16018410302,Grand River,Tier 3,Tier 3,43.58811276,-80.47061973
16010901002,Spittler Creek,Tier 3,Tier 3,42.93289214,-80.66202373
08005604102,Beauchamps Drain,Tier 3,Tier 3,43.70443576,-81.24871023
06015700302,Consecon Creek,Tier 3,Tier 3,44.03077901,-77.28512935
16018410402,Irvine Creek,Tier 3,Tier 3,43.69544639,-80.44782198
16018410402,Irvine Creek,Tier 3,Tier 3,43.69544639,-80.44782198
16018410402,Irvine Creek,Tier 3,Tier 3,43.69544639,-80.44782198
16018410402,Irvine Creek,Tier 3,Tier 3,43.69544639,-80.44782198
04001306802,Reynolds Creek,Tier 3,Tier 3,42.97333726,-80.95212698
18207000802,Cobbs Lake Creek,Tier 3,Tier 3,45.44486302,-75.06108698
04002701602,Sydenham River,Tier 3,Tier 3,42.65068239,-82.00877086
06016400102,Warring Creek,Tier 3,Tier 3,43.96476139,-77.23436973
16008701002,Kettle Creek,Tier 3,Tier 3,42.69273176,-81.21758436
08002200702,Hensall Creek,Tier 3,Tier 3,43.42773889,-81.52282998
04001000302,Ruscom River,Tier 3,Tier 3,42.24355614,-82.61438286
16006300202,Sixteen Mile Creek,Tier 3,Tier 3,42.51777839,-81.63326711
16018406702,Grand River,Tier 3,Tier 3,43.86169926,-80.27242573
16018409102,Moorefield Creek,Tier 3,Tier 3,43.75763276,-80.74877136
16008700502,Dodd Creek,Tier 3,Tier 3,42.78717564,-81.26732786
04002701202,Sydenham River,Tier 3,Tier 3,42.83087764,-81.85140986
12000200902,Little Cataraqui Creek,Tier 3,Tier 3,44.28919283,-76.50977822
04002700902,Black Creek,Tier 3,Tier 3,42.78694901,-82.17194086
10000200202,Canard River,Tier 3,Tier 3,42.15905964,-83.01879548
16003000302,Lebo Drain,Tier 3,Tier 3,42.05544151,-82.50461511
08012305902,North Saugeen River,Tier 3,Tier 3,44.31874089,-81.24326086
16018415502,"Nith River,  Huron Road,  Haysville",Tier 3,Tier 3,43.3551924,-80.66506784
17000600102,Cressy Creek,Tier 3,Tier 3,44.08825151,-76.88543898
17001400102,Demorestville Creek,Tier 3,Tier 3,44.09080601,-77.21061198
04001306602,Trout Creek,Tier 3,Tier 3,43.25235764,-80.98515886
04001309502,Gregory Creek,Tier 3,Tier 3,43.16653189,-81.18986186
04001309402,Otter Creek,Tier 3,Tier 3,43.27880964,-81.16672448
04001309802,Wye Creek,Tier 3,Tier 3,43.06949739,-81.15827111
04001309002,Fish Creek,Tier 3,Tier 3,43.22063426,-81.23680886
04001301402,North Thames River,Tier 3,Tier 3,43.04171664,-81.18229186
04001309202,Black Creek,Tier 3,Tier 3,43.37517101,-81.18445348
11000101302,Oswego Creek,Tier 3,Tier 3,42.98062532,-79.5623277
16003200202,Muddy Creek,Tier 3,Tier 3,42.08045514,-82.48914098
18207002002,South Nation River,Tier 3,Tier 3,45.55919927,-75.06332235
16002700102,Sturgeon River,Tier 3,Tier 3,42.03252989,-82.56499711
08002202002,Ausable River,Tier 3,Tier 3,43.07236764,-81.66025798
16018412802,Big Creek,Tier 3,Tier 3,43.09604739,-80.03048623
16003200102,Muddy Creek,Tier 3,Tier 3,42.06681089,-82.46573323
04001308002,Thames River,Tier 3,Tier 3,43.21543364,-80.69161523
06010800202,Lynde Creek,Tier 3,Tier 3,43.93360664,-78.96188898
18207000702,Scotch River West,Tier 3,Tier 3,45.37543089,-74.94766473
10000100302,Turkey Creek,Tier 3,Tier 3,42.24458189,-83.07082048
08002201002,Little Ausable River,Tier 3,Tier 3,43.18090601,-81.44766011
08002202402,Parkhill Creek,Tier 3,Tier 3,43.16391371,-81.63167591
