Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH
Boomer Creek,16018412702,16,68.75,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,50.0
Canagagigue Creek,16018405102,14,57.14,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,7,14.29
Conestogo River,16018402902,26,53.85,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13,46.15,0,,0,,0,,13,61.54
,6002400802,28,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,100.0,0,,0,,0,,14,0.0
Mckenzie Creek,16018412902,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
Big Otter Creek,16010900702,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
,6016300102,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
Sawguin Creek,17001600102,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0
,4001304202,14,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,7,0.0
Conestogo River,16018407502,10,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,3,0.0
,4001308602,8,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,25.0
,4001303302,76,47.37,Tier 3,7,100.0,0,,0,,7,57.14,7,28.57,7,85.71,0,,7,42.86,7,0.0,0,,7,0.0,6,100.0,0,,6,0.0,7,100.0,8,12.5
,4001305802,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,85.71,0,,0,,0,,8,12.5
,4001308102,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0
,4001307302,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0
,4001311002,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0
,8005602002,13,46.15,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,100.0,0,,0,,0,,7,0.0
,4002700402,24,45.83,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,91.67,0,,0,,0,,12,0.0
Conestogo River,16018407702,18,44.44,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,77.78,0,,0,,0,,9,11.11
,16001800302,68,44.12,Tier 3,6,100.0,0,,0,,6,16.67,6,50.0,6,16.67,0,,6,100.0,6,0.0,0,,6,0.0,7,100.0,0,,6,0.0,6,100.0,7,0.0
,8012305602,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
Grand River,16018410302,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,12.5,0,,0,,0,,8,75.0
Spittler Creek,16010901002,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
,8005604102,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
,6015700302,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0
Irvine Creek,16018410402,7,42.86,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0.0,0,,0,,0,,3,100.0
,4001306802,7,42.86,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,100.0,0,,0,,0,,4,0.0
Cobbs Lake Creek,18207000802,69,42.03,Tier 3,6,100.0,0,,0,,6,0.0,6,100.0,6,66.67,0,,5,100.0,6,0.0,0,,6,0.0,8,100.0,0,,6,0.0,6,0.0,8,0.0
,4002701602,24,41.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,83.33,0,,0,,0,,12,0.0
,6016400102,24,41.67,Tier 3,0,,0,,0,,0,,0,,0,,8,62.5,0,,0,,0,,0,,8,62.5,0,,0,,0,,8,0.0
Kettle Creek,16008701002,77,41.56,Tier 3,7,100.0,0,,0,,7,0.0,6,50.0,7,57.14,0,,7,85.71,7,0.0,0,,7,0.0,7,100.0,0,,7,0.0,7,71.43,8,0.0
,8002200702,22,40.91,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,81.82,0,,0,,0,,11,0.0
,4001000302,74,40.54,Tier 3,6,100.0,0,,0,,6,16.67,6,16.67,6,16.67,0,,6,83.33,6,0.0,0,,6,0.0,10,100.0,0,,6,0.0,6,100.0,10,0.0
Sixteen Mile Creek,16006300202,15,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,8,12.5
Grand River,16018406702,10,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,14.29,0,,0,,0,,3,100.0
Moorefield Creek,16018409102,10,40.0,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,42.86,0,,0,,0,,3,33.33
Dodd Creek,16008700502,78,39.74,Tier 3,7,100.0,0,,0,,7,0.0,6,66.67,7,71.43,0,,7,85.71,7,0.0,0,,7,0.0,8,100.0,0,,7,0.0,7,14.29,8,0.0
,4002701202,23,39.13,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11,81.82,0,,0,,0,,12,0.0
Little Cataraqui Creek,12000200902,18,38.89,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,77.78,0,,0,,0,,9,0.0
,4002700902,80,38.75,Tier 3,7,100.0,0,,0,,7,14.29,6,50.0,7,42.86,0,,7,100.0,7,0.0,0,,7,0.0,9,100.0,0,,7,0.0,7,14.29,9,0.0
