Station name,Station number,Total samples (PWQO analytes),% total exceedances (PWQO analytes),Risk tier,N Aluminum [ug/L],% exceed Aluminum,N Arsenic [ug/L],% exceed Arsenic,N Boron [ug/L],% exceed Boron,N Cadmium [ug/L],% exceed Cadmium,N Chromium [ug/L],% exceed Chromium,N Copper [ug/L],% exceed Copper,N E. coli [MPN / 100mL],% exceed E. coli,N Iron [ug/L],% exceed Iron,N Lead [ug/L],% exceed Lead,N Mercury [ng/L],% exceed Mercury,N Nickel [ug/L],% exceed Nickel,N Total Phosphorus [ug/L],% exceed Total Phosphorus,N Selenium [ug/L],% exceed Selenium,N Silver [ug/L],% exceed Silver,N Zinc [ug/L],% exceed Zinc,N pH [SU],% exceed pH,station_padded_id,Station name matched
Boomer Creek,16018412702,16,68.75,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,50.0,16018412702,True
Canagagigue Creek,16018405102,14,57.14,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,7,14.29,16018405102,True
Conestogo River,16018402902,26,53.85,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,13,46.15,0,,0,,0,,13,61.54,16018402902,True
Twenty Mile Creek,06002400802,28,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,14,100.0,0,,0,,0,,14,0.0,06002400802,True
Mckenzie Creek,16018412902,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0,16018412902,True
Big Otter Creek,16010900702,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0,16010900702,True
Bloomfield Creek,06016300102,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0,06016300102,True
Sawguin Creek,17001600102,16,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,100.0,0,,0,,0,,8,0.0,17001600102,True
Thames River,04001304202,14,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,7,0.0,04001304202,True
Conestogo River,16018407502,10,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,71.43,0,,0,,0,,3,0.0,16018407502,True
Oxbow Creek,04001308602,8,50.0,Tier 4,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,75.0,0,,0,,0,,4,25.0,04001308602,True
Big Creek,04001303302,76,47.37,Tier 3,7,100.0,0,,0,,7,57.14,7,28.57,7,85.71,0,,7,42.86,7,0.0,0,,7,0.0,6,100.0,0,,6,0.0,7,100.0,8,12.5,04001303302,True
Thames River,04001305802,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,85.71,0,,0,,0,,8,12.5,04001305802,True
Mcgregor Creek,04001308102,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0,04001308102,True
Newbiggin Creek,04001307302,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0,04001307302,True
Jeannettes Creek,04001311002,15,46.67,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,100.0,0,,0,,0,,8,0.0,04001311002,True
Boyle Drain,08005602002,13,46.15,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,100.0,0,,0,,0,,7,0.0,08005602002,True
Bear Creek,04002700402,24,45.83,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,91.67,0,,0,,0,,12,0.0,04002700402,True
Conestogo River,16018407702,18,44.44,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9,77.78,0,,0,,0,,9,11.11,16018407702,True
Unknown (not in Stations sheet),16001800302,68,44.12,Tier 3,6,100.0,0,,0,,6,16.67,6,50.0,6,16.67,0,,6,100.0,6,0.0,0,,6,0.0,7,100.0,0,,6,0.0,6,100.0,7,0.0,16001800302,False
Mill Creek,08012305602,16,43.75,Tier 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,87.5,0,,0,,0,,8,0.0,08012305602,True
