Station number,Station name,N samples,N exceedances,% exceedances [%],Median iron [µg/L],95th percentile iron [µg/L],Max iron [µg/L]
18207000802,Cobbs Lake Creek,5,5,100.0,1570.0,2526.0,2660.0
3013400302,Emery Creek,7,7,100.0,1320.0,2385.0,2400.0
1010700402,Neebing River,8,8,100.0,1085.0,1899.5,1910.0
13000300102,Big Carp River,6,6,100.0,1045.0,2132.5,2450.0
3013301502,La Vase River,7,7,100.0,976.0,1519.0,1630.0
11000101302,Oswego Creek,7,7,100.0,967.0,1849.0,1960.0
11000100702,Welland River,7,7,100.0,948.0,1480.0,1540.0
3013301302,Duchesnay River,7,7,100.0,803.0,1071.0,1080.0
16018409302,Fairchild Creek,6,6,100.0,756.5,971.25,1020.0
14002802802,Whitson River,11,11,100.0,667.0,1118.0,1280.0
