Station number,Station name,N samples,N exceedances,% exceedances [%],Median TP [µg/L],95th percentile TP [µg/L],Max TP [µg/L]
16002700102,Sturgeon River,10.0,10.0,100.0,1135.0,4494.5,5030.0
16003000302,Lebo Drain,7.0,7.0,100.0,737.0,963.8,974.0
11000101302,Oswego Creek,10.0,10.0,100.0,562.5,1051.05,1290.0
04001303302,Big Creek,6.0,6.0,100.0,466.0,2162.5,2400.0
06000300102,Four Mile Creek,9.0,9.0,100.0,364.0,3500.8,5400.0
04001000302,Ruscom River,10.0,10.0,100.0,331.0,1947.4,2860.0
11000100702,Welland River,10.0,10.0,100.0,278.0,496.85,500.0
06002400802,Twenty Mile Creek,14.0,14.0,100.0,242.5,590.2,598.0
04001308102,Mcgregor Creek,7.0,7.0,100.0,236.0,507.1,565.0
16007200102,Dutton Drain,7.0,7.0,100.0,216.0,291.8,293.0
