Station number,Station name,N samples,N exceedances,Percent exceedance,LATITUDE,LONGITUDE
1010400202,Current River,9,0,0.0,48.48247952,-89.18801899
1010500102,Mc Vicar Creek,9,0,0.0,48.43965452,-89.21410974
1010600202,Mc Intyre River,8,0,0.0,48.39965814,-89.24543749
1010700202,Neebing River,8,0,0.0,48.38122752,-89.35788387
1010700402,Neebing River,8,1,12.5,48.38338889,-89.30655556
1010800102,Kaministiquia River,9,9,100.0,48.35863464,-89.28760749
1010800602,Slate River,9,5,55.556,48.32579589,-89.40438324
3001500202,Pottawatomi River,8,4,50.0,44.57429939,-80.96008648
3001600302,Sydenham River,8,2,25.0,44.52217814,-80.93089011
3001700202,Telfer Creek,8,1,12.5,44.62385189,-80.87577098
3003000202,Bighead River,8,1,12.5,44.56987776,-80.64850398
3003600502,Boyne River,8,0,0.0,44.27958714,-80.54585836
3003600902,Beaver River,8,0,0.0,44.34604251,-80.54015148
3003601002,Beaver River,8,0,0.0,44.52027901,-80.46674361
3004700102,Silver Creek,7,1,14.286,44.51964864,-80.27705848
3004900102,Black Ash Creek,7,0,0.0,44.50618689,-80.23580373
3005300102,Pretty River,7,0,0.0,44.50308626,-80.19772461
3005300102,Pretty River,7,0,0.0,44.50308626,-80.19772461
3005400102,Batteaux River,7,0,0.0,44.48831889,-80.16709086
3005700702,Boyne River,8,2,25.0,44.16306064,-79.82948636
3005700702,Boyne River,8,2,25.0,44.16306064,-79.82948636
3005701002,Pine River,7,2,28.571,44.31854764,-79.88647448
3005702102,Mad River,7,1,14.286,44.30520214,-80.00167986
3005702102,Mad River,7,1,14.286,44.30520214,-80.00167986
3005702502,Nottawasaga River,6,2,33.333,44.47547451,-80.00712811
3005702502,Nottawasaga River,6,2,33.333,44.47547451,-80.00712811
3005702802,Nottawasaga River,8,1,12.5,44.02452589,-79.96972211
3005702802,Nottawasaga River,8,1,12.5,44.02452589,-79.96972211
3005702902,Nottawasaga River,8,4,50.0,44.24946051,-79.82159811
3005702902,Nottawasaga River,8,4,50.0,44.24946051,-79.82159811
3005703002,Willow Creek,7,3,42.857,44.42213889,-79.82357036
3005703002,Willow Creek,7,3,42.857,44.42213889,-79.82357036
3005703102,Innisfil Creek,8,6,75.0,44.13108751,-79.79639598
3005703102,Innisfil Creek,8,6,75.0,44.13108751,-79.79639598
3005703202,Beeton Creek,8,5,62.5,44.12334439,-79.75892123
3005703302,Mcintyre Creek,7,2,28.571,44.46733464,-80.04783873
3005703402,Coates Creek,7,2,28.571,44.36138051,-79.94164286
3005703502,Bear Creek,8,3,37.5,44.33010151,-79.85476311
3005703602,Black Creek,6,2,33.333,44.41881476,-79.82061923
3005703702,Marl Creek,7,4,57.143,44.45713651,-79.85497086
3006600102,Copeland Creek,10,0,0.0,44.76173314,-79.95878136
3007000302,Wye River,8,4,50.0,44.73194951,-79.84641461
3007000402,Wye River,10,3,30.0,44.64988101,-79.90361398
3007000502,Wye River,9,0,0.0,44.57712664,-79.86026898
3007300202,Hog Creek,10,3,30.0,44.72605614,-79.77889261
3007300302,Hog Creek,8,1,12.5,44.68728901,-79.79179673
3007500202,Sturgeon River,10,1,10.0,44.73010676,-79.72941161
3007600302,Coldwater River,10,0,0.0,44.70729676,-79.64358186
3007600402,Coldwater River,9,0,0.0,44.64546101,-79.63457136
3007600502,North River,10,2,20.0,44.76757014,-79.57837298
3007600602,Silver Creek,8,1,12.5,44.66792451,-79.45662573
3007700202,Holland River,8,7,87.5,44.11323614,-79.54583973
3007700702,Aurora Creek,12,7,58.333,44.02220026,-79.47285473
3007701302,Severn River,10,0,0.0,44.80375139,-79.72022748
3007702102,Mount Albert Creek,10,6,60.0,44.16663039,-79.32748086
3007702802,Lovers Creek,8,3,37.5,44.37225239,-79.65129523
3007702902,Holland River,8,4,50.0,44.01385739,-79.67910198
3007703402,Maskinonge River,7,5,71.429,44.22387364,-79.42133711
3007703502,Uxbirdge Brook,12,4,33.333,44.13775764,-79.11259961
3007703602,Hawkestone Creek,7,0,0.0,44.49636189,-79.46684923
3007703802,Black River,8,5,62.5,44.30473701,-79.36042573
3007703902,Holland River,8,5,62.5,44.09483164,-79.48995273
3007704002,Pefferlaw Brook,8,3,37.5,44.31673376,-79.20137861
3007704102,Beaverton River,8,2,25.0,44.43029614,-79.15510248
3013301302,Duchesnay River,11,1,9.091,46.329222,-79.50321
3013301502,La Vase River,7,6,85.714,46.25808139,-79.40318148
3013301902,Chippewa Creek,11,1,9.091,46.301073,-79.459227
3013303002,Wasi River,11,6,54.545,46.196399,-79.366542
3013304002,South River,8,0,0.0,46.104045,-79.525517
3013400102,Wanapitei River,8,0,0.0,46.39508052,-80.80042673
3013400302,Emery Creek,8,1,12.5,46.52989664,-80.74367511
3013401802,East Wanapitei River,8,0,0.0,46.90332939,-80.83870886
4001000302,Ruscom River,10,10,100.0,42.24355614,-82.61438286
4001301402,North Thames River,4,3,75.0,43.04171664,-81.18229186
4001301602,Thames River,8,8,100.0,43.12633764,-80.77928186
4001301702,Cedar Creek,8,6,75.0,43.12741876,-80.77084186
4001302502,Avon River,11,11,100.0,43.36605826,-81.01866973
