Date,Digester 1 Alkalinity [mg/L],Digester 2 Alkalinity [mg/L],Digester 3 Alkalinity [mg/L]
2018-06-01,3902,3430,3749
2018-06-02,3729,3245,3588
2018-06-03,3463,3317,3452
2018-06-04,3387,3404,3431
2018-06-05,3634,3341,3556
2018-06-06,3685,3229,3602
2018-06-07,3628,3293,3585
2018-06-08,3576,3259,3554
2018-06-09,3565,3159,3537
2018-06-10,3584,3359,3562
2018-06-11,3627,3381,3582
2018-06-12,3585,3303,3677
2018-06-13,3425,3211,3633
2018-06-14,3132,3209,3145
2018-06-15,3260,3176,3433
2018-06-16,3206,3233,3438
2018-06-17,3192,3247,3341
2018-06-18,3327,3165,3279
2018-06-19,3216,3313,3256
2018-06-20,3309,3149,3439
2018-06-21,3308,2953,3354
2018-06-22,3205,2894,3085
2018-06-23,3265,3196,3358
2018-06-24,3374,3152,3477
2018-06-25,3297,3218,3446
2018-06-26,3207,3361,3366
2018-06-27,3382,3456,3376
2018-06-28,3389,3206,3307
2018-06-29,3274,3103,3231
2018-06-30,3206,3103,3244
2018-07-01,3275,3164,3387
2018-07-02,3256,3211,3458
2018-07-03,3374,3392,3336
2018-07-04,3530,3403,3340
2018-07-05,3627,3222,3500
2018-07-06,3482,3099,3589
2018-07-07,3435,3354,3371
2018-07-08,3467,3373,3268
2018-07-09,3595,3320,3392
2018-07-10,3836,3528,3813
2018-07-11,3784,3440,3836
2018-07-12,3652,3353,3758
2018-07-13,3465,3385,3611
2018-07-14,3298,3557,3460
2018-07-15,3587,3372,3627
2018-07-16,3622,3315,3710
2018-07-17,3669,3351,3765
2018-07-18,3723,3437,3769
2018-07-19,3501,3480,3594
2018-07-20,3649,3509,3680
2018-07-21,3609,3642,3685
2018-07-22,3492,3781,3668
2018-07-23,3546,3772,3764
2018-07-24,3546,3521,3769
2018-07-25,3402,3366,3608
2018-07-26,3314,3334,3462
2018-07-27,3413,3402,3479
2018-07-28,3625,3288,3790
2018-07-29,3633,3413,3736
2018-07-30,3528,3439,3750
2018-07-31,3430,3357,3881
2018-08-01,3599,3492,3844
2018-08-02,3311,3326,3449
2018-08-03,3261,3365,3448
2018-08-04,3408,3456,3642
2018-08-05,3566,3302,3620
2018-08-06,3457,3250,3427
2018-08-07,3576,3380,3656
2018-08-08,3698,3431,3862
2018-08-09,3660,3266,3759
2018-08-10,3484,3296,3623
2018-08-11,3573,3402,3614
2018-08-12,3591,3586,3562
2018-08-13,3452,3682,3475
2018-08-14,3237,3187,3544
2018-08-15,3503,3312,3665
2018-08-16,3400,3234,3537
2018-08-17,3189,3109,3372
2018-08-18,3383,3297,3518
2018-08-19,3574,3301,3637
2018-08-20,3608,3265,3710
2018-08-21,3535,3205,3459
2018-08-22,3428,3192,3314
2018-08-23,3308,3151,3349
2018-08-24,3195,2969,3398
2018-08-25,3510,3344,3580
2018-08-26,3480,3380,3530
2018-08-27,3480,3223,3585
2018-08-28,3511,3109,3595
2018-08-29,3505,3193,3411
2018-08-30,3660,3176,3603
2018-08-31,3532,3218,3698
2018-09-01,3418,3109,3644
2018-09-02,3350,3057,3479
2018-09-03,3291,3149,3268
2018-09-04,3143,3112,3093
2018-09-05,3322,2843,3290
2018-09-06,3170,2929,3107
2018-09-07,3039,3019,3141
2018-09-08,3085,2960,3412
2018-09-09,3216,2852,3348
2018-09-10,3234,2920,3274
2018-09-11,3269,2776,3304
2018-09-12,3115,2737,3103
2018-09-13,2954,2782,2895
2018-09-14,3046,2759,3029
2018-09-15,2903,2771,2834
2018-09-16,2916,2786,3017
2018-09-17,2932,2740,3261
2018-09-18,2776,2662,3266
2018-09-19,2503,2607,2994
2018-09-20,2851,2651,3135
2018-09-21,2716,2640,3020
2018-09-22,2903,2776,3080
2018-09-23,2887,2751,3037
2018-09-24,2643,2621,2912
2018-09-25,2982,2990,3217
2018-09-26,2818,2888,2886
2018-09-27,2665,2731,2814
2018-09-28,2686,2600,2723
2018-09-29,2771,2549,2742
2018-09-30,2675,2602,3162
2018-10-01,2808,2728,2741
2018-10-02,2734,2581,2866
2018-10-03,2536,2574,2763
2018-10-04,2432,2606,2584
2018-10-05,2584,2491,2673
2018-10-06,2717,2463,2852
2018-10-07,2700,2526,2974
2018-10-08,2546,2707,2892
2018-10-09,2545,2828,2833
2018-10-10,2749,2762,2892
2018-10-11,2667,2554,2792
2018-10-12,2575,2734,2895
2018-10-13,2746,2831,2941
2018-10-14,2855,2919,2974
2018-10-15,2859,2993,3074
2018-10-16,3001,2974,3323
2018-10-17,3128,3207,3391
2018-10-18,3114,3084,3386
2018-10-19,3123,2979,3423
2018-10-20,3196,3028,3521
2018-10-21,3278,3230,3666
2018-10-22,3089,3499,3941
2018-10-23,3326,3499,3978
2018-10-24,3344,3533,3936
2018-10-25,3227,3515,3873
2018-10-26,3181,3403,3849
2018-10-27,3259,3543,3994
2018-10-28,3312,3550,3864
2018-10-29,3319,3585,3711
2018-10-30,3402,3633,3707
2018-10-31,3622,3688,3872
2018-11-01,3937,3770,4024
2018-11-02,3730,3692,3771
2018-11-03,3782,3583,3842
2018-11-04,3955,3706,4065
2018-11-05,4192,3924,4278
2018-11-06,4431,3858,4328
2018-11-07,3870,3598,3949
2018-11-08,4050,3673,4152
2018-11-09,4320,3505,4234
2018-11-10,4407,3364,4176
2018-11-11,4291,3574,4156
2018-11-12,4485,3444,4170
2018-11-13,4610,3433,4285
2018-11-14,4655,3550,4454
2018-11-15,4624,3585,4512
2018-11-16,4581,3453,4444
2018-11-17,4694,3385,4565
2018-11-18,4542,3259,4267
2018-11-19,4659,3456,4391
2018-11-20,4657,3575,4313
2018-11-21,4439,3508,4010
2018-11-22,4228,3473,4075
