Date,Digester 1 VFA (mg/L),Digester 1 Alkalinity (mg/L),Digester 1 VFA/Alkalinity,Digester 1 pH,Digester 1 volatile solids destruction (%),Digester 1 gas production (m3/day),Digester 2 VFA (mg/L),Digester 2 Alkalinity (mg/L),Digester 2 VFA/Alkalinity,Digester 2 pH,Digester 2 volatile solids destruction (%),Digester 2 gas production (m3/day),Digester 3 VFA (mg/L),Digester 3 Alkalinity (mg/L),Digester 3 VFA/Alkalinity,Digester 3 pH,Digester 3 volatile solids destruction (%),Digester 3 gas production (m3/day)
1/06/2018,10,3902,0.0026,7.2,62.3,5576,10,3430,0.0029,7.2,63,4596,10,3749,0.0027,7.1,62.8,5938
2/06/2018,12,3729,0.0032,7.2,61.1,5627,10,3245,0.0031,7.2,64.2,5033,11,3588,0.0031,7.2,62.2,6072
3/06/2018,11,3463,0.0032,7.2,61,5698,11,3317,0.0033,7.2,64.7,5071,10,3452,0.0029,7.2,61.6,6184
4/06/2018,11,3387,0.0032,7.3,61.1,5777,11,3404,0.0032,7.2,64,5105,10,3431,0.0029,7.2,61.5,6222
5/06/2018,12,3634,0.0033,7.3,60.7,5813,12,3341,0.0036,7.1,64.4,5340,11,3556,0.0031,7.3,61.8,6152
6/06/2018,14,3685,0.0038,7.2,58.9,5496,13,3229,0.004,7.3,63,5154,14,3602,0.0039,7.2,60.4,5989
7/06/2018,12,3628,0.0033,7.2,59.4,5509,13,3293,0.0039,7.2,63.7,5129,12,3585,0.0033,7.2,61,5932
8/06/2018,11,3576,0.0031,7.2,60.1,5619,13,3259,0.004,7.2,64.3,5121,11,3554,0.0031,7.2,61.2,5925
9/06/2018,15,3565,0.0042,7.2,59.9,5697,13,3159,0.0041,7.2,63.9,5093,14,3537,0.004,7.2,60.3,5912
10/06/2018,23,3584,0.0064,7.2,58.3,5591,17,3359,0.0051,7.2,62.2,5084,21,3562,0.0059,7.1,59.5,5794
11/06/2018,27,3627,0.0074,7.1,58.5,5538,19,3381,0.0056,7.2,62.3,5337,23,3582,0.0064,7.2,60.7,5982
12/06/2018,29,3585,0.0081,7.2,58.3,5429,21,3303,0.0064,7.2,61.9,5512,24,3677,0.0065,7.2,60.6,6083
13/06/2018,27,3425,0.0079,7.2,57.8,5356,21,3211,0.0065,7.2,61.1,5475,24,3633,0.0066,7.2,59.8,6037
14/06/2018,25,3132,0.008,7.3,57.2,5460,17,3209,0.0053,7,60.5,5108,23,3145,0.0073,7.3,59.2,5835
15/06/2018,28,3260,0.0086,7.2,57.4,5739,17,3176,0.0054,7.2,61.9,5393,25,3433,0.0073,7.2,59.3,6173
16/06/2018,24,3206,0.0075,7.2,55.7,5734,18,3233,0.0056,7.2,60.2,5521,21,3438,0.0061,7.2,57.9,6174
17/06/2018,23,3192,0.0072,7.2,54.7,5697,18,3247,0.0055,7.3,59.2,5561,20,3341,0.006,7.2,57.4,6136
18/06/2018,28,3327,0.0084,7.2,55.9,5772,18,3165,0.0057,7.3,60.9,5539,24,3279,0.0073,7.3,59.1,6237
19/06/2018,21,3216,0.0065,7.2,55.4,5637,18,3313,0.0054,7.2,59.3,5236,23,3256,0.0071,7.3,57.9,6146
20/06/2018,22,3309,0.0066,7.2,55.6,5944,17,3149,0.0054,7.2,59.8,5537,24,3439,0.007,7.3,58.8,6504
21/06/2018,26,3308,0.0079,7.2,55.3,5856,16,2953,0.0054,7.2,60,5591,25,3354,0.0075,7.3,58.7,6630
22/06/2018,27,3205,0.0084,7.2,54.5,5461,14,2894,0.0048,7.1,59.5,5341,25,3085,0.0081,7.3,57.2,6436
23/06/2018,22,3265,0.0067,7.2,53.7,5865,15,3196,0.0047,7.2,59.1,5461,20,3358,0.006,7.2,56.8,6343
24/06/2018,25,3374,0.0074,7.2,52.8,5661,18,3152,0.0057,7.2,58,5672,22,3477,0.0063,7.2,56.6,6415
