Date,Digester 1 gas production [m3/day],Digester 2 gas production [m3/day],Digester 3 gas production [m3/day]
2018-06-01,5576,4596,5938
2018-06-02,5627,5033,6072
2018-06-03,5698,5071,6184
2018-06-04,5777,5105,6222
2018-06-05,5813,5340,6152
2018-06-06,5496,5154,5989
2018-06-07,5509,5129,5932
2018-06-08,5619,5121,5925
2018-06-09,5697,5093,5912
2018-06-10,5591,5084,5794
2018-06-11,5538,5337,5982
2018-06-12,5429,5512,6083
2018-06-13,5356,5475,6037
2018-06-14,5460,5108,5835
2018-06-15,5739,5393,6173
2018-06-16,5734,5521,6174
2018-06-17,5697,5561,6136
2018-06-18,5772,5539,6237
2018-06-19,5637,5236,6146
2018-06-20,5944,5537,6504
2018-06-21,5856,5591,6630
2018-06-22,5461,5341,6436
2018-06-23,5865,5461,6343
2018-06-24,5661,5672,6415
2018-06-25,5723,5650,6538
2018-06-26,5900,5437,6636
2018-06-27,5829,5154,6624
2018-06-28,5965,5526,6449
2018-06-29,6073,5604,6624
2018-06-30,6056,5512,6816
2018-07-01,5918,5393,6803
2018-07-02,6212,5618,6740
2018-07-03,6167,5787,6489
2018-07-04,6069,5859,6429
2018-07-05,6087,5799,6605
2018-07-06,6435,5541,6783
2018-07-07,6362,5556,6672
2018-07-08,6226,5654,6611
2018-07-09,6155,5824,6610
2018-07-10,6262,6082,6621
2018-07-11,6267,5875,6488
2018-07-12,6353,6028,6517
2018-07-13,6353,5920,6446
2018-07-14,6174,5300,6166
2018-07-15,5985,5661,6302
2018-07-16,6050,5995,6463
2018-07-17,6039,5959,6714
2018-07-18,5934,5634,6447
2018-07-19,6015,5607,6386
2018-07-20,5987,5674,6515
2018-07-21,5749,5641,6465
2018-07-22,5590,5546,6335
2018-07-23,5925,5480,6322
2018-07-24,5795,5693,6423
2018-07-25,6012,5852,6524
2018-07-26,6073,5894,6377
2018-07-27,5710,5791,5916
2018-07-28,5675,5638,6003
2018-07-29,5952,5979,6193
2018-07-30,6040,5847,6541
2018-07-31,5847,5277,6413
2018-08-01,5589,5335,6255
2018-08-02,5887,5571,6184
2018-08-03,6078,5529,6142
2018-08-04,5946,5409,6034
2018-08-05,5321,5566,5741
2018-08-06,5423,5326,5893
2018-08-07,5525,5264,6372
