Date,Digester 1 pH [-],Digester 2 pH [-],Digester 3 pH [-]
2018-06-01,7.2,7.2,7.1
2018-06-02,7.2,7.2,7.2
2018-06-03,7.2,7.2,7.2
2018-06-04,7.3,7.2,7.2
2018-06-05,7.3,7.1,7.3
2018-06-06,7.2,7.3,7.2
2018-06-07,7.2,7.2,7.2
2018-06-08,7.2,7.2,7.2
2018-06-09,7.2,7.2,7.2
2018-06-10,7.2,7.2,7.1
2018-06-11,7.1,7.2,7.2
2018-06-12,7.2,7.2,7.2
2018-06-13,7.2,7.2,7.2
2018-06-14,7.3,7.0,7.3
2018-06-15,7.2,7.2,7.2
2018-06-16,7.2,7.2,7.2
2018-06-17,7.2,7.3,7.2
2018-06-18,7.2,7.3,7.3
2018-06-19,7.2,7.2,7.3
2018-06-20,7.2,7.2,7.3
2018-06-21,7.2,7.2,7.3
2018-06-22,7.2,7.1,7.3
2018-06-23,7.2,7.2,7.2
2018-06-24,7.2,7.2,7.2
2018-06-25,7.2,7.2,7.3
2018-06-26,7.2,7.2,7.3
2018-06-27,7.3,7.1,7.2
2018-06-28,7.2,7.2,7.3
2018-06-29,7.3,7.2,7.3
2018-06-30,7.3,7.2,7.2
2018-07-01,7.2,7.2,7.3
2018-07-02,7.2,7.1,7.2
2018-07-03,7.2,7.2,7.2
2018-07-04,7.2,7.2,7.2
2018-07-05,7.3,7.1,7.3
2018-07-06,7.3,7.1,7.2
2018-07-07,7.3,7.2,7.3
2018-07-08,7.2,7.2,7.2
2018-07-09,7.2,7.2,7.2
2018-07-10,7.1,7.3,7.4
2018-07-11,7.3,7.3,7.2
2018-07-12,7.3,7.2,7.2
2018-07-13,7.2,7.2,7.2
2018-07-14,7.2,7.1,7.2
2018-07-15,7.3,7.1,7.2
2018-07-16,7.2,7.1,7.3
2018-07-17,7.2,7.1,7.2
2018-07-18,7.2,7.2,7.1
2018-07-19,7.2,7.2,7.1
2018-07-20,7.2,7.2,7.2
2018-07-21,7.2,7.2,7.2
2018-07-22,7.1,7.1,7.2
2018-07-23,7.1,7.3,7.2
2018-07-24,7.0,7.1,7.2
2018-07-25,7.1,7.0,7.2
2018-07-26,7.2,7.0,7.1
2018-07-27,7.2,7.2,7.1
2018-07-28,7.2,7.2,7.2
2018-07-29,7.2,7.1,7.2
2018-07-30,7.2,7.1,7.2
2018-07-31,7.2,7.2,7.2
2018-08-01,7.1,7.1,7.2
2018-08-02,7.1,7.1,7.2
2018-08-03,7.1,7.1,7.2
2018-08-04,7.1,7.1,7.2
2018-08-05,7.2,7.1,7.1
2018-08-06,7.0,7.1,7.1
2018-08-07,7.0,7.1,7.1
2018-08-08,7.0,7.1,7.1
2018-08-09,7.1,7.2,7.1
2018-08-10,7.0,7.2,7.2
2018-08-11,7.0,7.1,7.1
2018-08-12,7.1,7.0,7.0
2018-08-13,7.1,7.0,7.1
2018-08-14,7.1,7.1,7.1
2018-08-15,7.0,7.2,7.2
2018-08-16,7.0,7.2,7.1
