Date,Digester 1 VFA/Alkalinity [-],Digester 2 VFA/Alkalinity [-],Digester 3 VFA/Alkalinity [-]
2018-06-01,0.0026,0.0029,0.0027
2018-06-02,0.0032,0.0031,0.0031
2018-06-03,0.0032,0.0033,0.0029
2018-06-04,0.0032,0.0032,0.0029
2018-06-05,0.0033,0.0036,0.0031
2018-06-06,0.0038,0.004,0.0039
2018-06-07,0.0033,0.0039,0.0033
2018-06-08,0.0031,0.004,0.0031
2018-06-09,0.0042,0.0041,0.004
2018-06-10,0.0064,0.0051,0.0059
2018-06-11,0.0074,0.0056,0.0064
2018-06-12,0.0081,0.0064,0.0065
2018-06-13,0.0079,0.0065,0.0066
2018-06-14,0.008,0.0053,0.0073
2018-06-15,0.0086,0.0054,0.0073
2018-06-16,0.0075,0.0056,0.0061
2018-06-17,0.0072,0.0055,0.006
2018-06-18,0.0084,0.0057,0.0073
2018-06-19,0.0065,0.0054,0.0071
2018-06-20,0.0066,0.0054,0.007
2018-06-21,0.0079,0.0054,0.0075
2018-06-22,0.0084,0.0048,0.0081
2018-06-23,0.0067,0.0047,0.006
2018-06-24,0.0074,0.0057,0.0063
2018-06-25,0.0082,0.0053,0.007
2018-06-26,0.0072,0.0042,0.0068
2018-06-27,0.0044,0.0043,0.0053
2018-06-28,0.0038,0.0053,0.0048
2018-06-29,0.0034,0.0052,0.0043
2018-06-30,0.0037,0.0055,0.0043
2018-07-01,0.0052,0.0066,0.0059
2018-07-02,0.0043,0.0065,0.0075
2018-07-03,0.0033,0.0053,0.006
2018-07-04,0.0037,0.0053,0.0066
2018-07-05,0.0047,0.0065,0.0091
2018-07-06,0.004,0.0061,0.0081
2018-07-07,0.0041,0.0054,0.0086
2018-07-08,0.0043,0.0056,0.0089
2018-07-09,0.0047,0.0066,0.0085
2018-07-10,0.0039,0.0077,0.0079
2018-07-11,0.0042,0.0078,0.0083
2018-07-12,0.0041,0.0072,0.0082
2018-07-13,0.004,0.0065,0.0078
2018-07-14,0.0042,0.0065,0.0081
2018-07-15,0.0053,0.0074,0.0096
2018-07-16,0.0052,0.0057,0.0089
2018-07-17,0.0057,0.0051,0.009
2018-07-18,0.0064,0.0052,0.0098
2018-07-19,0.0066,0.0043,0.0095
2018-07-20,0.0071,0.0046,0.0084
2018-07-21,0.0058,0.0041,0.0065
2018-07-22,0.0043,0.0037,0.0055
2018-07-23,0.0051,0.0048,0.0066
2018-07-24,0.0068,0.0054,0.0082
2018-07-25,0.0062,0.0051,0.0072
2018-07-26,0.0054,0.0045,0.0066
2018-07-27,0.0059,0.0047,0.0083
2018-07-28,0.0066,0.0046,0.0084
2018-07-29,0.0058,0.0047,0.0078
2018-07-30,0.0054,0.0049,0.0072
2018-07-31,0.0055,0.0057,0.0072
2018-08-01,0.0067,0.0066,0.0081
2018-08-02,0.0069,0.0051,0.0081
2018-08-03,0.0064,0.0051,0.0078
2018-08-04,0.0056,0.0055,0.0071
2018-08-05,0.0048,0.0058,0.0066
2018-08-06,0.0052,0.0065,0.0076
2018-08-07,0.0042,0.0059,0.0066
2018-08-08,0.0035,0.0055,0.0054
2018-08-09,0.0038,0.0052,0.0053
2018-08-10,0.004,0.0052,0.0055
2018-08-11,0.0036,0.0047,0.0047
2018-08-12,0.0033,0.0042,0.0039
2018-08-13,0.0029,0.0043,0.0037
2018-08-14,0.004,0.0044,0.0045
2018-08-15,0.0034,0.0039,0.0041
2018-08-16,0.0035,0.0037,0.004
2018-08-17,0.0041,0.0039,0.0042
2018-08-18,0.0033,0.0045,0.0037
2018-08-19,0.0028,0.0036,0.0033
2018-08-20,0.0028,0.0046,0.0038
2018-08-21,0.0034,0.0037,0.004
2018-08-22,0.0035,0.0034,0.0039
2018-08-23,0.0033,0.0041,0.0039
2018-08-24,0.0041,0.0051,0.0053
2018-08-25,0.0028,0.0051,0.0042
2018-08-26,0.0032,0.0047,0.004
2018-08-27,0.0032,0.0047,0.0042
2018-08-28,0.0031,0.0051,0.0045
2018-08-29,0.0034,0.005,0.0044
2018-08-30,0.0036,0.0063,0.005
2018-08-31,0.0034,0.0059,0.0046
2018-09-01,0.0035,0.0068,0.0047
2018-09-02,0.0036,0.0069,0.0049
2018-09-03,0.0033,0.0064,0.0046
2018-09-04,0.0035,0.0058,0.0042
2018-09-05,0.0039,0.006,0.0046
2018-09-06,0.0038,0.0065,0.0045
2018-09-07,0.0036,0.007,0.0045
2018-09-08,0.0039,0.0074,0.0053
2018-09-09,0.0044,0.0077,0.006
2018-09-10,0.0053,0.0089,0.0064
2018-09-11,0.0052,0.0094,0.0061
2018-09-12,0.0055,0.0084,0.0064
2018-09-13,0.0051,0.0072,0.0066
2018-09-14,0.0046,0.0072,0.0059
2018-09-15,0.0048,0.0076,0.0053
2018-09-16,0.0041,0.0075,0.0056
2018-09-17,0.0044,0.0091,0.0058
2018-09-18,0.0054,0.0113,0.0064
2018-09-19,0.01,0.013,0.0097
2018-09-20,0.0235,0.0211,0.0198
2018-09-21,0.0309,0.0341,0.0252
2018-09-22,0.0276,0.045,0.0279
2018-09-23,0.0346,0.0574,0.0336
2018-09-24,0.0545,0.0759,0.0474
2018-09-25,0.0526,0.0933,0.0612
2018-09-26,0.0568,0.1118,0.0696
2018-09-27,0.063,0.1329,0.0817
2018-09-28,0.083,0.1504,0.1072
2018-09-29,0.1097,0.1805,0.1419
2018-09-30,0.1308,0.2452,0.1641
2018-10-01,0.1425,0.2284,0.208
2018-10-02,0.1591,0.2821,0.2125
2018-10-03,0.1956,0.3081,0.2378
2018-10-04,0.2451,0.3085,0.2887
2018-10-05,0.2713,0.3364,0.336
2018-10-06,0.2422,0.4693,0.3696
2018-10-07,0.2415,0.4541,0.3658
2018-10-08,0.2753,0.4514,0.3676
2018-10-09,0.312,0.454,0.3911
2018-10-10,0.3347,0.458,0.4426
2018-10-11,0.4034,0.509,0.5308
2018-10-12,0.4625,0.5918,0.6152
2018-10-13,0.4782,0.6277,0.6471
2018-10-14,0.4291,0.6005,0.5891
2018-10-15,0.362,0.563,0.5176
2018-10-16,0.3805,0.614,0.585
2018-10-17,0.3801,0.6112,0.4872
2018-10-18,0.5022,0.6128,0.5419
2018-10-19,0.5572,0.6432,0.6415
2018-10-20,0.5629,0.6783,0.7228
2018-10-21,0.6062,0.6755,0.7463
2018-10-22,0.5086,0.633,0.6346
2018-10-23,0.5123,0.6733,0.6521
2018-10-24,0.5792,0.6575,0.6474
2018-10-25,0.6771,0.6302,0.6553
2018-10-26,0.7362,0.6406,0.6952
2018-10-27,0.6097,0.6362,0.6197
2018-10-28,0.6643,0.5955,0.6545
2018-10-29,0.6285,0.5283,0.6128
2018-10-30,0.6111,0.5065,0.6018
2018-10-31,0.6383,0.5423,0.6617
2018-11-01,0.5918,0.5666,0.6953
2018-11-02,0.5641,0.6192,0.6502
2018-11-03,0.7282,0.6539,0.7551
2018-11-04,0.6726,0.6786,0.7565
2018-11-05,0.5489,0.7016,0.6966
2018-11-06,0.738,0.7302,0.7528
2018-11-07,0.654,0.6392,0.6936
2018-11-08,0.7832,0.6284,0.7726
2018-11-09,0.8928,0.6722,0.8245
2018-11-10,0.877,0.6941,0.8135
2018-11-11,0.7462,0.6449,0.7664
2018-11-12,0.891,0.7279,0.8643
2018-11-13,0.8117,0.792,0.8875
2018-11-14,0.7933,0.8242,0.7775
2018-11-15,0.8069,0.8488,0.9459
2018-11-16,0.8297,0.8879,0.8211
2018-11-17,0.9303,0.9388,0.8537
2018-11-18,0.9919,0.8813,0.9011
2018-11-19,0.8214,0.8293,0.7987
2018-11-20,0.7393,0.7687,0.8477
2018-11-21,0.8146,0.7041,0.8738
2018-11-22,0.8725,0.6836,0.894
2018-11-23,0.796,0.7414,0.7504
2018-11-24,0.7518,0.7203,0.7726
2018-11-25,0.7429,0.7463,0.7628
2018-11-26,0.7193,0.7644,0.8101
2018-11-27,0.6301,0.6658,0.7373
2018-11-28,0.6163,0.6877,0.6925
2018-11-29,0.5452,0.6894,0.6534
2018-11-30,0.5235,0.6963,0.6183
2018-12-01,0.5117,0.637,0.5769
2018-12-02,0.4726,0.5054,0.5446
2018-12-03,0.4832,0.5968,0.635
2018-12-04,0.5018,0.6179,0.6525
2018-12-05,0.5314,0.6484,0.6647
2018-12-06,0.6621,0.633,0.6964
2018-12-07,0.6361,0.5224,0.7161
2018-12-08,0.5444,0.463,0.6138
2018-12-09,0.6733,0.4564,0.6258
2018-12-10,0.5784,0.4287,0.582
2018-12-11,0.5069,0.3548,0.5215
2018-12-12,0.3639,0.4685,0.7273
2018-12-13,0.4417,0.4192,0.7306
2018-12-14,0.4748,0.453,0.571
2018-12-15,0.3497,0.4933,0.7464
2018-12-16,0.3252,0.4278,0.4561
2018-12-17,0.3455,0.4713,0.5636
2018-12-18,0.2965,0.5201,0.6249
2018-12-19,0.3203,0.5078,0.5866
2018-12-20,0.2435,0.4115,0.5165
2018-12-21,0.1496,0.3871,0.5355
2018-12-22,0.1329,0.3701,0.5382
2018-12-23,0.2021,0.2418,0.5723
2018-12-24,0.1864,0.1897,0.5132
2018-12-25,0.0926,0.2067,0.5071
2018-12-26,0.1174,0.1573,0.5584
2018-12-27,0.1344,0.2094,0.4231
2018-12-28,0.0432,0.0691,0.3769
2018-12-29,0.0412,0.1021,0.3472
2018-12-30,0.0477,0.1909,0.3216
2018-12-31,0.0608,0.1943,0.1849
2019-01-01,0.0737,0.0571,0.2321
2019-01-02,0.0285,0.0748,0.2566
2019-01-03,0.0583,0.0898,0.1454
2019-01-04,0.0524,0.1012,0.1732
2019-01-05,0.0216,0.0517,0.1813
2019-01-06,0.0263,0.0689,0.1871
2019-01-07,0.0295,0.0533,0.1666
