Date,Digester 1 VFA [mg/L],Digester 2 VFA [mg/L],Digester 3 VFA [mg/L]
2018-06-01,10,10,10
2018-06-02,12,10,11
2018-06-03,11,11,10
2018-06-04,11,11,10
2018-06-05,12,12,11
2018-06-06,14,13,14
2018-06-07,12,13,12
2018-06-08,11,13,11
2018-06-09,15,13,14
2018-06-10,23,17,21
2018-06-11,27,19,23
2018-06-12,29,21,24
2018-06-13,27,21,24
2018-06-14,25,17,23
2018-06-15,28,17,25
2018-06-16,24,18,21
2018-06-17,23,18,20
2018-06-18,28,18,24
2018-06-19,21,18,23
2018-06-20,22,17,24
2018-06-21,26,16,25
2018-06-22,27,14,25
2018-06-23,22,15,20
2018-06-24,25,18,22
2018-06-25,27,17,24
2018-06-26,23,14,23
2018-06-27,15,15,18
2018-06-28,13,17,16
2018-06-29,11,16,14
2018-06-30,12,17,14
2018-07-01,17,21,20
2018-07-02,14,21,26
2018-07-03,11,18,20
2018-07-04,13,18,22
2018-07-05,17,21,32
2018-07-06,14,19,29
2018-07-07,14,18,29
2018-07-08,15,19,29
2018-07-09,17,22,29
2018-07-10,15,27,30
2018-07-11,16,27,32
2018-07-12,15,24,31
2018-07-13,14,22,28
2018-07-14,14,23,28
2018-07-15,19,25,35
2018-07-16,19,19,33
2018-07-17,21,17,34
2018-07-18,24,18,37
2018-07-19,23,15,34
2018-07-20,26,16,31
2018-07-21,21,15,24
2018-07-22,15,14,20
2018-07-23,18,18,25
2018-07-24,24,19,31
2018-07-25,21,17,26
2018-07-26,18,15,23
2018-07-27,20,16,29
2018-07-28,24,15,32
2018-07-29,21,16,29
2018-07-30,19,17,27
2018-07-31,19,19,28
2018-08-01,24,23,31
2018-08-02,23,17,28
2018-08-03,21,17,27
2018-08-04,19,19,26
2018-08-05,17,19,24
2018-08-06,18,21,26
2018-08-07,15,20,24
2018-08-08,13,19,21
2018-08-09,14,17,20
2018-08-10,14,17,20
2018-08-11,13,16,17
2018-08-12,12,15,14
2018-08-13,10,16,13
2018-08-14,13,14,16
2018-08-15,12,13,15
2018-08-16,12,12,14
2018-08-17,13,12,14
2018-08-18,11,15,13
2018-08-19,10,12,12
2018-08-20,10,15,14
2018-08-21,12,12,14
2018-08-22,12,11,13
2018-08-23,11,13,13
2018-08-24,13,15,18
2018-08-25,10,17,15
2018-08-26,11,16,14
2018-08-27,11,15,15
2018-08-28,11,16,16
2018-08-29,12,16,15
2018-08-30,13,20,18
2018-08-31,12,19,17
2018-09-01,12,21,17
2018-09-02,12,21,17
2018-09-03,11,20,15
2018-09-04,11,18,13
2018-09-05,13,17,15
2018-09-06,12,19,14
2018-09-07,11,21,14
2018-09-08,12,22,18
2018-09-09,14,22,20
2018-09-10,17,26,21
2018-09-11,17,26,20
2018-09-12,17,23,20
2018-09-13,15,20,19
2018-09-14,14,20,18
2018-09-15,14,21,15
2018-09-16,12,21,17
2018-09-17,13,25,19
2018-09-18,15,30,21
2018-09-19,25,34,29
