Date,Digester 1 VS destruction [%],Digester 2 VS destruction [%],Digester 3 VS destruction [%]
2018-06-01,62.3,63.0,62.8
2018-06-02,61.1,64.2,62.2
2018-06-03,61.0,64.7,61.6
2018-06-04,61.1,64.0,61.5
2018-06-05,60.7,64.4,61.8
2018-06-06,58.9,63.0,60.4
2018-06-07,59.4,63.7,61.0
2018-06-08,60.1,64.3,61.2
2018-06-09,59.9,63.9,60.3
2018-06-10,58.3,62.2,59.5
2018-06-11,58.5,62.3,60.7
2018-06-12,58.3,61.9,60.6
2018-06-13,57.8,61.1,59.8
2018-06-14,57.2,60.5,59.2
2018-06-15,57.4,61.9,59.3
2018-06-16,55.7,60.2,57.9
2018-06-17,54.7,59.2,57.4
2018-06-18,55.9,60.9,59.1
2018-06-19,55.4,59.3,57.9
2018-06-20,55.6,59.8,58.8
2018-06-21,55.3,60.0,58.7
2018-06-22,54.5,59.5,57.2
2018-06-23,53.7,59.1,56.8
2018-06-24,52.8,58.0,56.6
2018-06-25,52.9,58.4,56.8
2018-06-26,53.2,58.8,56.7
2018-06-27,52.8,57.0,55.6
2018-06-28,51.0,56.8,54.7
2018-06-29,52.5,57.4,55.2
2018-06-30,53.3,57.7,55.2
2018-07-01,51.2,57.4,53.8
2018-07-02,51.7,57.7,54.0
2018-07-03,53.6,58.8,55.6
2018-07-04,53.4,59.1,55.8
2018-07-05,51.6,58.7,54.6
2018-07-06,52.6,59.2,54.7
2018-07-07,51.9,57.9,54.1
2018-07-08,51.4,57.1,53.4
2018-07-09,51.0,56.8,53.2
2018-07-10,50.3,56.7,53.8
2018-07-11,49.6,56.1,52.2
2018-07-12,49.3,56.5,52.0
2018-07-13,50.4,57.5,52.8
2018-07-14,52.9,58.5,53.9
2018-07-15,48.8,55.1,51.1
2018-07-16,49.5,56.8,52.6
2018-07-17,49.6,57.3,52.6
2018-07-18,48.3,55.6,50.6
2018-07-19,48.4,55.5,50.9
2018-07-20,49.4,55.4,52.0
2018-07-21,50.5,55.8,53.1
2018-07-22,50.9,56.0,53.2
2018-07-23,49.6,54.9,51.6
2018-07-24,48.9,54.9,51.3
2018-07-25,50.1,55.5,51.8
2018-07-26,50.3,55.6,51.8
2018-07-27,47.9,55.2,50.8
2018-07-28,49.7,57.9,52.3
2018-07-29,49.7,57.0,52.2
2018-07-30,49.2,55.9,51.4
2018-07-31,48.8,55.2,50.5
2018-08-01,48.7,53.4,50.1
2018-08-02,48.8,54.7,50.3
