POP_SERVED,DESIGN_CAP,LEVEL
1060,4600.0,Advanced
87900,220000.0,Advanced
12400,33000.0,Advanced
2500,4357.0,Secondary
1200,1490.0,Secondary
12400,19000.0,Advanced
14400,17500.0,Advanced
16800,26036.0,Advanced
1500,2250.0,Advanced
11400,19738.0,Advanced
440,3000.0,Secondary
3600,7000.0,Advanced
26100,34000.0,Advanced
8100,22800.0,Advanced
1300,3000.0,Secondary
11400,13500.0,Advanced
17300,20000.0,Advanced
2620,4900.0,Secondary
246500,374500.0,Advanced
2100,8300.0,Advanced
38600,42000.0,Advanced
5000,21600.0,Advanced
1230,4200.0,Secondary
189000,305000.0,Advanced
26400,32000.0,Advanced
550,3100.0,Secondary
1450,11200.0,Advanced
9000,20100.0,Advanced
3800,6500.0,Advanced
97000,122000.0,Advanced
55000,60000.0,Advanced
3800,8000.0,Advanced
9500,16000.0,Advanced
4500,8000.0,Secondary
760,5600.0,Secondary
2970,6700.0,Secondary
1150,4600.0,Advanced
820,2600.0,Advanced
2800,11000.0,Advanced
19000,22000.0,Advanced
331000,292000.0,Advanced
44500,59000.0,Advanced
24100,33660.0,Advanced
9000,10589.0,Advanced
8800,17000.0,Advanced
9800,31000.0,Advanced
1100,5000.0,Advanced
2900,4500.0,Advanced
14600,47700.0,Advanced
3100,7400.0,Advanced
6700,10000.0,Advanced
9500,8400.0,Advanced
1250,2730.0,Secondary
110000,182000.0,Advanced
7280,10000.0,Advanced
46000,59000.0,Advanced
3400,14000.0,Advanced
1600,8900.0,Secondary
3400,10000.0,Advanced
6000,9900.0,Advanced
4670,7000.0,Secondary
27000,38000.0,Advanced
58000,137000.0,Advanced
11000,19000.0,Advanced
25000,32000.0,Advanced
95000,125000.0,Advanced
11000,12000.0,Advanced
500,1900.0,Secondary
1500,5200.0,Advanced
6200,16000.0,Advanced
750,3000.0,Secondary
680000,740000.0,Advanced
14000,30000.0,Advanced
3400,35333.0,Advanced
3760,4000.0,Secondary
10700,22000.0,Advanced
11417,15000.0,Advanced
5100,13000.0,Advanced
19935,40225.0,Advanced
5242,8300.0,Advanced
42482,166670.0,Advanced
11589,15000.0,Advanced
17372,20000.0,Advanced
51815,140000.0,Advanced
2020,4500.0,Advanced
58300,125000.0,Advanced
28370,56600.0,Advanced
470612,450000.0,Advanced
172113,223300.0,Advanced
40468,46250.0,Advanced
18950,25000.0,Advanced
15200,15200.0,Advanced
1151,4200.0,Advanced
773,309.0,Secondary
601,425.0,Secondary
3700,6500.0,Advanced
620,3066.0,Advanced
1162,1167.0,Advanced
1210,4333.0,Advanced
2200,5800.0,Advanced
3600,8200.0,Advanced
2700,4400.0,Advanced
1548,4000.0,Advanced
95959,120000.0,Advanced
2960,3220.0,Advanced
4373,6000.0,Advanced
3075,3300.0,Advanced
1080,3000.0,Advanced
2721,4070.0,Advanced
5400,8375.0,Advanced
2110,4200.0,Advanced
2800,4500.0,Advanced
1700,2330.0,Advanced
6687,11000.0,Advanced
22300,25000.0,Advanced
1233,2100.0,Advanced
24696,22038.0,Advanced
9169,12500.0,Advanced
670,4000.0,Advanced
138,315.0,Secondary
1096,2100.0,Advanced
125,450.0,Secondary
1300,1650.0,Advanced
1388,13500.0,Secondary
2000,15000.0,Advanced
4,300.0,Secondary
29,370.0,Advanced
20,71.0,Advanced
188,520.0,Advanced
650,1000.0,Advanced
1263,1317.0,Secondary
82,550.0,Secondary
650,2000.0,Advanced
14,120.0,Advanced
15,320.0,Secondary
2500,4000.0,Advanced
1100,10000.0,Advanced
31782,36981.0,Advanced
17229,19350.0,Advanced
3535,6300.0,Advanced
4439,6300.0,Advanced
6094,13500.0,Advanced
11133,13050.0,Advanced
39248,39150.0,Advanced
11901,14850.0,Advanced
11474,15480.0,Advanced
29398,28818.0,Advanced
11015,15750.0,Advanced
13333,12150.0,Advanced
9004,6300.0,Advanced
231383,213300.0,Advanced
3087,3600.0,Advanced
6135,13500.0,Advanced
3575,8100.0,Advanced
36046,46200.0,Advanced
5907,3330.0,Advanced
3872,6300.0,Advanced
31810,52200.0,Advanced
40721,48167.0,Advanced
