Sample_Id,Sample_Date,DWI_Code,Determinand,Units,Operator,Result,LSOA,Data_Provider,ObjectId
0d8ac3ad-a3f4-49a4-8810-261d0a9d9046,03/01/2022 00:00,C001A,Coliform Bacteria (Indicator),No. /100ml,,0,E01021706,Anglian Water,1
0d8ac3ad-a3f4-49a4-8810-261d0a9d9046,03/01/2022 00:00,C002,E.Coli (faecal coliforms Confirmed),No. /100ml,,0,E01021706,Anglian Water,2
0d8ac3ad-a3f4-49a4-8810-261d0a9d9046,03/01/2022 00:00,C009,Residual Disinfectant - Free,mg/l,,0.519999981,E01021706,Anglian Water,3
0d8ac3ad-a3f4-49a4-8810-261d0a9d9046,03/01/2022 00:00,C010,Residual Disinfectant - Total,mg/l,,0.839999974,E01021706,Anglian Water,4
f55a938a-33ae-4f79-849f-e92f4f1b27a4,03/01/2022 00:00,C001A,Coliform Bacteria (Indicator),No. /100ml,,0,E01030018,Anglian Water,5
f55a938a-33ae-4f79-849f-e92f4f1b27a4,03/01/2022 00:00,C002,E.Coli (faecal coliforms Confirmed),No. /100ml,,0,E01030018,Anglian Water,6
f55a938a-33ae-4f79-849f-e92f4f1b27a4,03/01/2022 00:00,C009,Residual Disinfectant - Free,mg/l,,0.569999993,E01030018,Anglian Water,7
f55a938a-33ae-4f79-849f-e92f4f1b27a4,03/01/2022 00:00,C010,Residual Disinfectant - Total,mg/l,,0.680000007,E01030018,Anglian Water,8
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A001,Colour,Hazen,<,0.680000007,E01018062,Anglian Water,9
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A002,Turbidity,NTU,,0.100000001,E01018062,Anglian Water,10
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A003,Odour,No.,,0,E01018062,Anglian Water,11
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A004,Taste (Taste Quant),No.,,0,E01018062,Anglian Water,12
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A006,Hydrogen ion (pH) - Indicator (Hydrogen ion) (pH),pH value,,7.429999828,E01018062,Anglian Water,13
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A012,Nitrate (Total),mg/l  NO3,,13.89999962,E01018062,Anglian Water,14
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A013A,Nitrite - Consumer's Taps,mg/l  NO2,<,0.03,E01018062,Anglian Water,15
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A013C,Nitrite/Nitrate formula,mg/l,,0.277999997,E01018062,Anglian Water,16
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A014,Ammonium (Total),mg/l  NH4,<,0.140000001,E01018062,Anglian Water,17
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A021,Aluminium (Total),μg/l Al,<,7,E01018062,Anglian Water,18
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A022,Iron (Total),μg/l  Fe,,16,E01018062,Anglian Water,19
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,A023,Manganese (Total),μg/l  Mn,<,3,E01018062,Anglian Water,20
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,C001A,Coliform Bacteria (Indicator),No. /100ml,,0,E01018062,Anglian Water,21
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,C002,E.Coli (faecal coliforms Confirmed),No. /100ml,,0,E01018062,Anglian Water,22
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,C007,Colony Counts After 3 Days At 22øc (Colony Counts),Count,,0,E01018062,Anglian Water,23
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,C009,Residual Disinfectant - Free,mg/l,,0.08,E01018062,Anglian Water,24
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,C010,Residual Disinfectant - Total,mg/l,,0.340000004,E01018062,Anglian Water,25
320bf427-4b54-4c57-944c-a568c712c955,04/01/2022 00:00,D001,Conductivity (Electrical Conductivity),μS/cm @ 20 ˚C,,604,E01018062,Anglian Water,26
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A001,Colour,Hazen,<,0.680000007,E01027232,Anglian Water,27
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A002,Turbidity,NTU,,0.200000003,E01027232,Anglian Water,28
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A003,Odour,No.,,0,E01027232,Anglian Water,29
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A004,Taste (Taste Quant),No.,,0,E01027232,Anglian Water,30
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A006,Hydrogen ion (pH) - Indicator (Hydrogen ion) (pH),pH value,,7.289999962,E01027232,Anglian Water,31
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A012,Nitrate (Total),mg/l  NO3,<,7.526000023,E01027232,Anglian Water,32
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A013A,Nitrite - Consumer's Taps,mg/l  NO2,<,0.03,E01027232,Anglian Water,33
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A013C,Nitrite/Nitrate formula,mg/l,,0,E01027232,Anglian Water,34
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A014,Ammonium (Total),mg/l  NH4,,0.202000007,E01027232,Anglian Water,35
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A021,Aluminium (Total),μg/l Al,<,7,E01027232,Anglian Water,36
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A022,Iron (Total),μg/l  Fe,<,8,E01027232,Anglian Water,37
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,A023,Manganese (Total),μg/l  Mn,<,3,E01027232,Anglian Water,38
bf27b543-e8ef-4da6-ac20-7d179e5ca967,04/01/2022 00:00,C001A,Coliform Bacteria (Indicator),No. /100ml,,0,E01027232,Anglian Water,39
