recorddate,ETP_DailyInfluent_ML,WTP_DailyInfluent_ML,ObjectId
9/7/1995 2:00:00 PM,459,448,1
9/8/1995 2:00:00 PM,452,440,2
9/9/1995 2:00:00 PM,486,435,3
9/10/1995 2:00:00 PM,423,388,4
9/11/1995 2:00:00 PM,440,421,5
9/12/1995 2:00:00 PM,417,436,6
9/13/1995 2:00:00 PM,422,435,7
9/14/1995 2:00:00 PM,501,507,8
9/15/1995 2:00:00 PM,443,446,9
9/16/1995 2:00:00 PM,445,411,10
9/17/1995 2:00:00 PM,404,369,11
9/18/1995 2:00:00 PM,427,449,12
9/19/1995 2:00:00 PM,417,443,13
9/20/1995 2:00:00 PM,424,452,14
9/21/1995 2:00:00 PM,400,434,15
9/22/1995 2:00:00 PM,412,439,16
9/23/1995 2:00:00 PM,451,504,17
9/24/1995 2:00:00 PM,416,454,18
9/25/1995 2:00:00 PM,415,446,19
9/26/1995 2:00:00 PM,405,443,20
9/27/1995 2:00:00 PM,397,439,21
9/28/1995 2:00:00 PM,392,425,22
9/29/1995 2:00:00 PM,400,430,23
9/30/1995 2:00:00 PM,392,391,24
10/1/1995 2:00:00 PM,380,368,25
10/2/1995 2:00:00 PM,399,425,26
10/3/1995 2:00:00 PM,404,443,27
10/4/1995 2:00:00 PM,398,433,28
10/5/1995 2:00:00 PM,397,429,29
10/6/1995 2:00:00 PM,408,435,30
10/7/1995 2:00:00 PM,414,401,31
10/8/1995 2:00:00 PM,394,372,32
10/9/1995 2:00:00 PM,417,428,33
10/10/1995 2:00:00 PM,393,428,34
10/11/1995 2:00:00 PM,397,447,35
10/12/1995 2:00:00 PM,436,489,36
10/13/1995 2:00:00 PM,449,468,37
10/14/1995 2:00:00 PM,491,438,38
10/15/1995 2:00:00 PM,410,372,39
10/16/1995 2:00:00 PM,430,432,40
10/17/1995 2:00:00 PM,398,430,41
10/18/1995 2:00:00 PM,400,433,42
10/19/1995 2:00:00 PM,474,586,43
10/20/1995 2:00:00 PM,552,662,44
10/21/1995 2:00:00 PM,424,457,45
10/22/1995 2:00:00 PM,937,1096,46
10/23/1995 2:00:00 PM,748,979,47
10/24/1995 2:00:00 PM,541,596,48
10/25/1995 2:00:00 PM,473,515,49
10/26/1995 2:00:00 PM,452,486,50
7/19/1995 2:00:00 PM,597,572,51
7/20/1995 2:00:00 PM,498,525,52
7/21/1995 2:00:00 PM,466,490,53
7/22/1995 2:00:00 PM,450,451,54
7/23/1995 2:00:00 PM,419,426,55
7/24/1995 2:00:00 PM,432,474,56
7/25/1995 2:00:00 PM,425,478,57
7/26/1995 2:00:00 PM,417,475,58
7/27/1995 2:00:00 PM,414,467,59
7/28/1995 2:00:00 PM,678,659,60
7/29/1995 2:00:00 PM,592,514,61
7/30/1995 2:00:00 PM,495,429,62
7/31/1995 2:00:00 PM,483,482,63
8/1/1995 2:00:00 PM,534,551,64
8/2/1995 2:00:00 PM,683,668,65
8/3/1995 2:00:00 PM,682,644,66
8/4/1995 2:00:00 PM,704,680,67
8/5/1995 2:00:00 PM,629,549,68
8/6/1995 2:00:00 PM,776,512,69
8/7/1995 2:00:00 PM,658,611,70
8/8/1995 2:00:00 PM,561,656,71
8/9/1995 2:00:00 PM,513,570,72
8/10/1995 2:00:00 PM,461,528,73
8/11/1995 2:00:00 PM,455,485,74
8/12/1995 2:00:00 PM,476,447,75
8/13/1995 2:00:00 PM,434,405,76
8/14/1995 2:00:00 PM,431,471,77
8/15/1995 2:00:00 PM,423,476,78
8/16/1995 2:00:00 PM,425,465,79
8/17/1995 2:00:00 PM,422,479,80
8/18/1995 2:00:00 PM,434,462,81
8/19/1995 2:00:00 PM,425,448,82
8/20/1995 2:00:00 PM,388,414,83
8/21/1995 2:00:00 PM,418,500,84
8/22/1995 2:00:00 PM,330,478,85
8/23/1995 2:00:00 PM,383,473,86
8/24/1995 2:00:00 PM,388,468,87
8/25/1995 2:00:00 PM,385,452,88
8/26/1995 2:00:00 PM,405,439,89
8/27/1995 2:00:00 PM,375,404,90
8/28/1995 2:00:00 PM,380,452,91
8/29/1995 2:00:00 PM,387,465,92
8/30/1995 2:00:00 PM,370,455,93
8/31/1995 2:00:00 PM,375,456,94
9/1/1995 2:00:00 PM,397,432,95
9/2/1995 2:00:00 PM,413,403,96
9/3/1995 2:00:00 PM,385,370,97
9/4/1995 2:00:00 PM,416,433,98
9/5/1995 2:00:00 PM,474,492,99
9/6/1995 2:00:00 PM,526,475,100
12/31/1994 1:00:00 PM,250,145,101
1/1/1995 1:00:00 PM,274,352,102
1/2/1995 1:00:00 PM,286,395,103
1/3/1995 1:00:00 PM,291,429,104
1/4/1995 1:00:00 PM,334,436,105
1/5/1995 1:00:00 PM,662,725,106
1/6/1995 1:00:00 PM,439,717,107
1/7/1995 1:00:00 PM,94,482,108
1/8/1995 1:00:00 PM,360,414,109
1/9/1995 1:00:00 PM,357,455,110
1/10/1995 1:00:00 PM,335,459,111
1/11/1995 1:00:00 PM,384,482,112
1/12/1995 1:00:00 PM,277,481,113
1/13/1995 1:00:00 PM,273,486,114
1/14/1995 1:00:00 PM,274,464,115
1/15/1995 1:00:00 PM,250,439,116
1/16/1995 1:00:00 PM,287,473,117
1/17/1995 1:00:00 PM,293,471,118
1/18/1995 1:00:00 PM,306,485,119
1/19/1995 1:00:00 PM,298,498,120
1/20/1995 1:00:00 PM,316,507,121
1/21/1995 1:00:00 PM,285,476,122
1/22/1995 1:00:00 PM,306,404,123
1/23/1995 1:00:00 PM,325,465,124
1/24/1995 1:00:00 PM,330,449,125
1/25/1995 1:00:00 PM,307,452,126
1/26/1995 1:00:00 PM,310,426,127
1/27/1995 1:00:00 PM,445,664,128
1/28/1995 1:00:00 PM,386,548,129
1/29/1995 1:00:00 PM,320,427,130
1/30/1995 1:00:00 PM,372,484,131
1/31/1995 1:00:00 PM,351,482,132
2/1/1995 1:00:00 PM,354,485,133
2/2/1995 1:00:00 PM,340,495,134
2/3/1995 1:00:00 PM,343,528,135
2/4/1995 1:00:00 PM,366,435,136
2/5/1995 1:00:00 PM,367,462,137
2/6/1995 1:00:00 PM,365,471,138
2/7/1995 1:00:00 PM,369,454,139
2/8/1995 1:00:00 PM,384,435,140
2/9/1995 1:00:00 PM,372,434,141
2/10/1995 1:00:00 PM,371,448,142
2/11/1995 1:00:00 PM,353,437,143
2/12/1995 1:00:00 PM,307,424,144
2/13/1995 1:00:00 PM,316,485,145
2/14/1995 1:00:00 PM,307,481,146
2/15/1995 1:00:00 PM,309,489,147
2/16/1995 1:00:00 PM,310,480,148
2/17/1995 1:00:00 PM,340,460,149
2/18/1995 1:00:00 PM,353,424,150
5/30/1995 2:00:00 PM,376,471,151
5/31/1995 2:00:00 PM,399,472,152
6/1/1995 2:00:00 PM,399,460,153
6/2/1995 2:00:00 PM,384,462,154
6/3/1995 2:00:00 PM,391,436,155
6/4/1995 2:00:00 PM,351,397,156
6/5/1995 2:00:00 PM,396,452,157
6/6/1995 2:00:00 PM,611,622,158
6/7/1995 2:00:00 PM,607,557,159
6/8/1995 2:00:00 PM,824,665,160
6/9/1995 2:00:00 PM,909,658,161
6/10/1995 2:00:00 PM,683,559,162
6/11/1995 2:00:00 PM,557,441,163
6/12/1995 2:00:00 PM,540,432,164
6/13/1995 2:00:00 PM,476,473,165
6/14/1995 2:00:00 PM,446,475,166
6/15/1995 2:00:00 PM,445,466,167
6/16/1995 2:00:00 PM,497,521,168
6/17/1995 2:00:00 PM,656,654,169
6/18/1995 2:00:00 PM,669,590,170
6/19/1995 2:00:00 PM,553,573,171
6/20/1995 2:00:00 PM,512,516,172
6/21/1995 2:00:00 PM,483,533,173
6/22/1995 2:00:00 PM,454,508,174
6/23/1995 2:00:00 PM,448,488,175
6/24/1995 2:00:00 PM,468,444,176
6/25/1995 2:00:00 PM,396,415,177
6/26/1995 2:00:00 PM,402,491,178
6/27/1995 2:00:00 PM,486,595,179
6/28/1995 2:00:00 PM,414,502,180
6/29/1995 2:00:00 PM,430,502,181
6/30/1995 2:00:00 PM,402,486,182
7/1/1995 2:00:00 PM,428,471,183
7/2/1995 2:00:00 PM,401,421,184
7/3/1995 2:00:00 PM,554,547,185
7/4/1995 2:00:00 PM,458,493,186
7/5/1995 2:00:00 PM,418,487,187
7/6/1995 2:00:00 PM,446,496,188
7/7/1995 2:00:00 PM,412,480,189
7/8/1995 2:00:00 PM,403,446,190
7/9/1995 2:00:00 PM,368,400,191
7/10/1995 2:00:00 PM,423,463,192
7/11/1995 2:00:00 PM,411,471,193
7/12/1995 2:00:00 PM,437,466,194
7/13/1995 2:00:00 PM,680,642,195
7/14/1995 2:00:00 PM,729,596,196
7/15/1995 2:00:00 PM,511,496,197
7/16/1995 2:00:00 PM,531,477,198
7/17/1995 2:00:00 PM,641,591,199
7/18/1995 2:00:00 PM,550,547,200
4/10/1995 2:00:00 PM,635,602,201
4/11/1995 2:00:00 PM,473,519,202
4/12/1995 2:00:00 PM,415,483,203
4/13/1995 2:00:00 PM,345,462,204
4/14/1995 2:00:00 PM,345,397,205
4/15/1995 2:00:00 PM,306,380,206
4/16/1995 2:00:00 PM,620,661,207
4/17/1995 2:00:00 PM,534,585,208
4/18/1995 2:00:00 PM,421,555,209
4/19/1995 2:00:00 PM,395,513,210
4/20/1995 2:00:00 PM,391,493,211
4/21/1995 2:00:00 PM,409,467,212
4/22/1995 2:00:00 PM,397,480,213
4/23/1995 2:00:00 PM,328,425,214
4/24/1995 2:00:00 PM,338,471,215
4/25/1995 2:00:00 PM,330,434,216
4/26/1995 2:00:00 PM,341,484,217
4/27/1995 2:00:00 PM,368,484,218
4/28/1995 2:00:00 PM,369,485,219
4/29/1995 2:00:00 PM,381,453,220
4/30/1995 2:00:00 PM,648,840,221
5/1/1995 2:00:00 PM,787,909,222
5/2/1995 2:00:00 PM,761,855,223
5/3/1995 2:00:00 PM,523,562,224
5/4/1995 2:00:00 PM,491,530,225
5/5/1995 2:00:00 PM,435,519,226
5/6/1995 2:00:00 PM,459,464,227
5/7/1995 2:00:00 PM,400,407,228
5/8/1995 2:00:00 PM,403,483,229
5/9/1995 2:00:00 PM,381,481,230
5/10/1995 2:00:00 PM,417,501,231
5/11/1995 2:00:00 PM,402,522,232
5/12/1995 2:00:00 PM,440,505,233
5/13/1995 2:00:00 PM,481,472,234
5/14/1995 2:00:00 PM,424,402,235
5/15/1995 2:00:00 PM,441,450,236
5/16/1995 2:00:00 PM,421,449,237
5/17/1995 2:00:00 PM,424,437,238
5/18/1995 2:00:00 PM,420,477,239
5/19/1995 2:00:00 PM,389,462,240
5/20/1995 2:00:00 PM,372,447,241
5/21/1995 2:00:00 PM,362,414,242
5/22/1995 2:00:00 PM,360,480,243
5/23/1995 2:00:00 PM,380,479,244
5/24/1995 2:00:00 PM,448,517,245
5/25/1995 2:00:00 PM,526,522,246
5/26/1995 2:00:00 PM,465,507,247
5/27/1995 2:00:00 PM,477,454,248
5/28/1995 2:00:00 PM,477,416,249
5/29/1995 2:00:00 PM,451,474,250
2/19/1995 1:00:00 PM,320,398,251
2/20/1995 1:00:00 PM,330,476,252
2/21/1995 1:00:00 PM,346,471,253
2/22/1995 1:00:00 PM,324,444,254
2/23/1995 1:00:00 PM,314,490,255
2/24/1995 1:00:00 PM,369,464,256
2/25/1995 1:00:00 PM,340,436,257
2/26/1995 1:00:00 PM,297,413,258
2/27/1995 1:00:00 PM,307,475,259
2/28/1995 1:00:00 PM,309,497,260
3/1/1995 1:00:00 PM,333,468,261
3/2/1995 1:00:00 PM,331,457,262
3/3/1995 1:00:00 PM,334,462,263
3/4/1995 1:00:00 PM,344,422,264
3/5/1995 1:00:00 PM,341,365,265
3/6/1995 1:00:00 PM,364,428,266
3/7/1995 1:00:00 PM,371,455,267
3/8/1995 1:00:00 PM,626,799,268
3/9/1995 1:00:00 PM,478,560,269
3/10/1995 1:00:00 PM,403,438,270
3/11/1995 1:00:00 PM,403,404,271
3/12/1995 1:00:00 PM,323,330,272
3/13/1995 1:00:00 PM,326,394,273
3/14/1995 1:00:00 PM,251,501,274
3/15/1995 1:00:00 PM,266,503,275
3/16/1995 1:00:00 PM,278,552,276
3/17/1995 1:00:00 PM,315,482,277
3/18/1995 1:00:00 PM,321,461,278
3/19/1995 1:00:00 PM,317,416,279
3/20/1995 1:00:00 PM,349,455,280
3/21/1995 1:00:00 PM,353,438,281
3/22/1995 1:00:00 PM,362,443,282
3/23/1995 1:00:00 PM,343,460,283
3/24/1995 1:00:00 PM,360,443,284
3/25/1995 1:00:00 PM,380,397,285
3/26/1995 2:00:00 PM,376,374,286
3/27/1995 2:00:00 PM,391,441,287
3/28/1995 2:00:00 PM,377,444,288
3/29/1995 2:00:00 PM,386,493,289
3/30/1995 2:00:00 PM,374,448,290
