recorddate,COD_mg.L-1,BOD_mg.L-1,Ammonia_mg.L-1,Total_KjeldahlNitrogen_mg.L-1,Nitrogentotal_mg.L-1,NitrateplusNitrite_mg.L-1,ObjectId
12/4/2014 1:00:00 PM,24,NULL,0.07,2.4,NULL,NULL,1
12/4/2014 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,2
12/7/2014 1:00:00 PM,30,NULL,0.07,2.7,NULL,NULL,3
12/8/2014 1:00:00 PM,22,NULL,0.04,1.5,NULL,NULL,4
12/9/2014 1:00:00 PM,22,NULL,0.04,1.7,NULL,NULL,5
12/10/2014 1:00:00 PM,26,NULL,0.05,2.0,NULL,NULL,6
12/10/2014 8:00:00 PM,NULL,2,0.10,0.9,8,7,7
12/11/2014 1:00:00 PM,31,NULL,0.05,2.1,NULL,NULL,8
12/14/2014 1:00:00 PM,24,NULL,0.06,3.1,NULL,NULL,9
12/15/2014 1:00:00 PM,28,NULL,0.03,1.6,NULL,NULL,10
12/16/2014 1:00:00 PM,27,NULL,0.07,2.0,NULL,NULL,11
12/16/2014 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,12
12/17/2014 1:00:00 PM,22,NULL,0.09,1.6,NULL,NULL,13
12/18/2014 1:00:00 PM,28,NULL,0.09,1.6,NULL,NULL,14
12/21/2014 1:00:00 PM,29,NULL,0.07,2.3,NULL,NULL,15
12/21/2014 8:00:00 PM,NULL,2,0.10,2.5,12,10,16
12/22/2014 1:00:00 PM,33,NULL,0.08,2.3,NULL,NULL,17
12/23/2014 1:00:00 PM,27,NULL,0.10,3.0,NULL,NULL,18
12/26/2014 1:00:00 PM,28,NULL,0.11,2.5,NULL,NULL,19
12/28/2014 1:00:00 PM,21,NULL,0.06,1.7,NULL,NULL,20
12/28/2014 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,21
12/29/2014 1:00:00 PM,23,NULL,0.05,1.6,NULL,NULL,22
12/30/2014 1:00:00 PM,24,NULL,0.08,2.2,NULL,NULL,23
1/1/2015 1:00:00 PM,30,NULL,0.09,1.0,NULL,NULL,24
1/4/2015 1:00:00 PM,26,NULL,0.06,2.3,NULL,NULL,25
1/5/2015 1:00:00 PM,21,NULL,0.05,2.8,NULL,NULL,26
1/5/2015 8:00:00 PM,NULL,2,0.10,1.6,17,15,27
1/6/2015 1:00:00 PM,19,NULL,0.05,1.0,NULL,NULL,28
1/7/2015 1:00:00 PM,27,NULL,0.06,2.4,NULL,NULL,29
1/8/2015 1:00:00 PM,25,NULL,0.03,1.9,NULL,NULL,30
1/11/2015 1:00:00 PM,20,NULL,0.07,1.8,NULL,NULL,31
1/12/2015 1:00:00 PM,24,NULL,0.07,4.9,NULL,NULL,32
1/13/2015 1:00:00 PM,28,NULL,0.08,2.0,NULL,NULL,33
1/13/2015 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,34
1/14/2015 1:00:00 PM,27,NULL,0.08,1.7,NULL,NULL,35
1/15/2015 1:00:00 PM,27,NULL,0.10,1.5,NULL,NULL,36
1/18/2015 1:00:00 PM,30,NULL,0.03,2.0,NULL,NULL,37
1/19/2015 1:00:00 PM,24,NULL,0.08,2.5,NULL,NULL,38
1/20/2015 1:00:00 PM,25,NULL,0.06,1.2,NULL,NULL,39
1/21/2015 1:00:00 PM,32,NULL,0.08,2.0,NULL,NULL,40
1/21/2015 8:00:00 PM,NULL,2,0.10,1.7,12,10,41
1/22/2015 1:00:00 PM,33,NULL,0.07,2.1,NULL,NULL,42
1/24/2015 1:00:00 PM,22,NULL,0.06,1.0,NULL,NULL,43
1/26/2015 1:00:00 PM,24,NULL,0.07,2.0,NULL,NULL,44
1/27/2015 1:00:00 PM,27,NULL,0.07,3.0,NULL,NULL,45
1/28/2015 1:00:00 PM,37,NULL,0.08,3.6,NULL,NULL,46
1/29/2015 1:00:00 PM,33,NULL,0.07,3.5,NULL,NULL,47
1/29/2015 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,48
2/1/2015 1:00:00 PM,29,NULL,0.09,3.5,NULL,NULL,49
2/2/2015 1:00:00 PM,28,NULL,0.09,13.0,NULL,NULL,50
3/7/2014 1:00:00 PM,21,NULL,0.05,2.6,NULL,NULL,51
3/10/2014 1:00:00 PM,15,NULL,0.06,2.4,NULL,NULL,52
3/11/2014 1:00:00 PM,19,3,0.05,NULL,NULL,NULL,53
3/12/2014 1:00:00 PM,20,NULL,0.05,1.8,NULL,NULL,54
3/13/2014 1:00:00 PM,21,NULL,0.06,1.0,NULL,NULL,55
3/16/2014 1:00:00 PM,22,NULL,0.80,3.3,NULL,NULL,56
3/17/2014 1:00:00 PM,20,NULL,0.06,2.2,NULL,NULL,57
3/18/2014 1:00:00 PM,20,NULL,0.05,1.3,NULL,NULL,58
3/19/2014 1:00:00 PM,24,3,0.07,1.4,13,12,59
3/20/2014 1:00:00 PM,23,NULL,0.07,3.0,NULL,NULL,60
3/23/2014 1:00:00 PM,25,NULL,0.10,2.5,NULL,NULL,61
3/24/2014 1:00:00 PM,22,NULL,0.09,4.0,NULL,NULL,62
3/25/2014 1:00:00 PM,22,NULL,0.07,1.8,NULL,NULL,63
3/26/2014 1:00:00 PM,24,NULL,0.08,1.8,NULL,NULL,64
3/27/2014 1:00:00 PM,24,2,0.06,2.6,NULL,NULL,65
3/30/2014 1:00:00 PM,27,NULL,0.07,4.0,NULL,NULL,66
3/31/2014 1:00:00 PM,30,NULL,0.07,3.9,NULL,NULL,67
4/1/2014 1:00:00 PM,28,NULL,0.05,1.6,NULL,NULL,68
4/2/2014 1:00:00 PM,29,2,0.06,1.5,12,10,69
4/3/2014 1:00:00 PM,25,NULL,0.06,4.0,NULL,NULL,70
4/6/2014 2:00:00 PM,31,NULL,0.06,2.3,NULL,NULL,71
4/7/2014 2:00:00 PM,26,NULL,0.05,1.9,NULL,NULL,72
4/8/2014 2:00:00 PM,22,2,0.07,1.5,NULL,NULL,73
4/9/2014 2:00:00 PM,26,NULL,0.06,2.7,NULL,NULL,74
4/10/2014 2:00:00 PM,25,NULL,0.04,2.3,NULL,NULL,75
4/13/2014 2:00:00 PM,28,NULL,0.09,3.4,NULL,NULL,76
4/14/2014 2:00:00 PM,27,2,0.07,1.0,16,15,77
4/15/2014 2:00:00 PM,28,NULL,0.07,2.4,NULL,NULL,78
4/16/2014 2:00:00 PM,29,NULL,0.08,2.3,NULL,NULL,79
4/18/2014 2:00:00 PM,23,NULL,0.70,2.6,NULL,NULL,80
4/21/2014 2:00:00 PM,14,2,0.10,2.0,NULL,NULL,81
4/22/2014 2:00:00 PM,15,NULL,0.09,2.4,NULL,NULL,82
4/23/2014 2:00:00 PM,15,NULL,0.08,2.0,NULL,NULL,83
4/25/2014 2:00:00 PM,15,NULL,0.07,2.1,NULL,NULL,84
4/27/2014 2:00:00 PM,18,2,0.06,1.0,23,21,85
4/28/2014 2:00:00 PM,17,NULL,0.06,1.0,NULL,NULL,86
4/29/2014 2:00:00 PM,13,NULL,0.05,1.0,NULL,NULL,87
4/30/2014 2:00:00 PM,10,NULL,0.05,1.3,NULL,NULL,88
5/1/2014 2:00:00 PM,17,NULL,0.05,1.3,NULL,NULL,89
5/4/2014 2:00:00 PM,18,NULL,0.09,2.4,NULL,NULL,90
5/5/2014 2:00:00 PM,16,2,0.10,2.7,NULL,NULL,91
5/6/2014 2:00:00 PM,22,NULL,0.09,1.0,NULL,NULL,92
5/7/2014 2:00:00 PM,30,NULL,0.11,2.6,NULL,NULL,93
5/8/2014 2:00:00 PM,21,NULL,0.08,1.0,NULL,NULL,94
5/11/2014 2:00:00 PM,20,NULL,0.07,2.0,NULL,NULL,95
5/12/2014 2:00:00 PM,14,NULL,0.05,2.0,NULL,NULL,96
5/13/2014 2:00:00 PM,20,2,0.07,0.9,14,13,97
5/14/2014 2:00:00 PM,19,NULL,0.10,2.5,NULL,NULL,98
5/15/2014 2:00:00 PM,25,NULL,0.07,2.5,NULL,NULL,99
5/18/2014 2:00:00 PM,21,NULL,0.07,3.0,NULL,NULL,100
9/30/2014 9:00:00 PM,NULL,3,0.10,2.4,15,12,101
10/6/2014 1:00:00 PM,24,NULL,0.08,4.0,NULL,NULL,102
10/6/2014 8:00:00 PM,NULL,2,0.10,NULL,NULL,NULL,103
10/7/2014 1:00:00 PM,35,NULL,0.07,2.6,NULL,NULL,104
