recorddate,feeder1_kwh,feeder2_kwh,ObjectId,Generation_kWh
31/12/2013 13:00,110240,65444,1,116675
1/01/2014 13:00,105695,70161,2,116714
2/01/2014 13:00,111836,69788,3,116763
3/01/2014 13:00,108672,67530,4,113718
4/01/2014 13:00,113483,55996,5,116673
5/01/2014 13:00,140088,61928,6,116453
6/01/2014 13:00,140121,67426,7,116467
7/01/2014 13:00,135260,67564,8,116327
8/01/2014 13:00,164094,83597,9,107419
9/01/2014 13:00,147041,77665,10,116440
10/01/2014 13:00,141970,75238,11,116346
11/01/2014 13:00,134271,72654,12,116396
12/01/2014 13:00,145786,66654,13,113830
13/01/2014 13:00,133716,68960,14,111650
14/01/2014 13:00,130663,71748,15,122239
15/01/2014 13:00,114744,56379,16,117068
16/01/2014 13:00,130215,63294,17,117458
17/01/2014 13:00,133237,70318,18,116305
18/01/2014 13:00,124093,68078,19,116792
19/01/2014 13:00,135012,70749,20,116828
20/01/2014 13:00,122308,61800,21,127304
21/01/2014 13:00,128859,71185,22,135818
22/01/2014 13:00,116325,57500,23,137866
23/01/2014 13:00,156157,74475,24,118114
24/01/2014 13:00,151286,85186,25,116320
25/01/2014 13:00,140808,81596,26,116288
26/01/2014 13:00,126973,72611,27,116142
27/01/2014 13:00,142275,71782,28,116978
28/01/2014 13:00,133686,70376,29,127348
29/01/2014 13:00,154856,90668,30,116257
30/01/2014 13:00,147257,82856,31,114521
31/01/2014 13:00,146919,78024,32,114489
1/02/2014 13:00,157065,77017,33,89688
2/02/2014 13:00,141756,72879,34,104381
3/02/2014 13:00,137889,72128,35,116057
4/02/2014 13:00,122886,78507,36,134803
5/02/2014 13:00,120610,80968,37,133637
6/02/2014 13:00,109227,81301,38,146194
7/02/2014 13:00,101958,82615,39,146293
8/02/2014 13:00,92150,81234,40,144068
9/02/2014 13:00,102885,75028,41,128462
10/02/2014 13:00,98549,76345,42,146341
11/02/2014 13:00,113669,83246,43,146218
12/02/2014 13:00,96733,67648,44,146099
13/02/2014 13:00,145162,86103,45,125500
14/02/2014 13:00,147663,84060,46,117241
15/02/2014 13:00,132075,81740,47,117141
16/02/2014 13:00,105750,72835,48,133066
17/02/2014 13:00,112915,90125,49,137030
18/02/2014 13:00,123236,89335,50,127759
19/02/2014 13:00,129551,82246,51,122077
20/02/2014 13:00,134654,82714,52,120834
21/02/2014 13:00,140105,84701,53,113547
22/02/2014 13:00,126455,86177,54,116715
23/02/2014 13:00,109249,77717,55,134331
24/02/2014 13:00,152268,80902,56,118110
25/02/2014 13:00,154773,85253,57,116677
26/02/2014 13:00,140453,80679,58,111797
27/02/2014 13:00,127481,62272,59,121825
28/02/2014 13:00,99344,80563,60,145438
1/03/2014 13:00,109304,111382,61,144690
2/03/2014 13:00,135801,112834,62,127164
3/03/2014 13:00,131289,95335,63,125758
4/03/2014 13:00,123894,84446,64,119610
5/03/2014 13:00,121713,95749,65,130343
6/03/2014 13:00,120864,111298,66,140547
7/03/2014 13:00,108919,104568,67,146460
8/03/2014 13:00,98223,95859,68,145375
9/03/2014 13:00,90603,83980,69,146434
10/03/2014 13:00,138965,88744,70,126783
11/03/2014 13:00,147215,101993,71,128706
12/03/2014 13:00,132735,95724,72,137309
13/03/2014 13:00,130373,99665,73,129482
14/03/2014 13:00,109972,99620,74,145407
15/03/2014 13:00,109085,104088,75,145683
16/03/2014 13:00,104585,94496,76,143417
17/03/2014 13:00,109926,91639,77,143847
18/03/2014 13:00,148468,91306,78,103232
19/03/2014 13:00,126409,96037,79,115219
20/03/2014 13:00,120360,99081,80,131735
21/03/2014 13:00,124769,110636,81,142571
22/03/2014 13:00,109916,107999,82,142621
23/03/2014 13:00,120676,110161,83,138119
24/03/2014 13:00,138660,97645,84,129011
25/03/2014 13:00,136477,96568,85,128108
26/03/2014 13:00,136911,107636,86,131043
27/03/2014 13:00,133662,99912,87,124525
28/03/2014 13:00,139327,113105,88,124629
29/03/2014 13:00,121338,112287,89,116663
30/03/2014 13:00,127516,118704,90,114387
31/03/2014 13:00,147097,120302,91,113854
1/04/2014 13:00,150965,138223,92,116914
2/04/2014 13:00,126486,115314,93,120760
3/04/2014 13:00,134054,123303,94,113813
4/04/2014 13:00,118390,124975,95,128581
5/04/2014 13:00,112311,112317,96,128129
6/04/2014 14:00,131232,123585,97,127484
7/04/2014 14:00,141825,123387,98,144568
8/04/2014 14:00,131120,133429,99,142293
9/04/2014 14:00,173711,136661,100,126502
10/04/2014 14:00,195241,135093,101,118804
11/04/2014 14:00,173307,139520,102,128725
12/04/2014 14:00,146912,143465,103,145950
13/04/2014 14:00,151807,136413,104,145257
14/04/2014 14:00,157870,142700,105,136731
15/04/2014 14:00,132297,140512,106,139527
16/04/2014 14:00,162936,132608,107,121799
17/04/2014 14:00,149197,121767,108,114060
18/04/2014 14:00,121173,93748,109,114006
19/04/2014 14:00,122224,87974,110,114064
20/04/2014 14:00,142604,102485,111,113925
21/04/2014 14:00,142356,102178,112,126905
22/04/2014 14:00,142142,99131,113,124163
23/04/2014 14:00,128354,97841,114,123202
24/04/2014 14:00,104593,98535,115,141907
25/04/2014 14:00,100598,96438,116,138675
26/04/2014 14:00,93720,93264,117,140666
27/04/2014 14:00,111820,88587,118,142676
28/04/2014 14:00,130428,91423,119,136291
29/04/2014 14:00,135291,119393,120,141059
30/04/2014 14:00,118789,91496,121,134251
1/05/2014 14:00,152308,119156,122,133125
2/05/2014 14:00,149000,118227,123,126886
3/05/2014 14:00,121826,96226,124,116690
4/05/2014 14:00,108497,93005,125,120981
5/05/2014 14:00,146662,113831,126,116155
6/05/2014 14:00,159037,125872,127,107825
7/05/2014 14:00,175377,130349,128,108000
8/05/2014 14:00,158686,126723,129,121923
9/05/2014 14:00,150833,125522,130,137387
10/05/2014 14:00,133853,119820,131,137371
11/05/2014 14:00,135764,107127,132,125592
12/05/2014 14:00,151348,93495,133,105907
13/05/2014 14:00,160390,100782,134,96729
14/05/2014 14:00,161639,107579,135,95163
15/05/2014 14:00,182550,117588,136,83700
16/05/2014 14:00,181368,126358,137,86938
17/05/2014 14:00,117317,92776,138,102890
18/05/2014 14:00,169841,124603,139,111175
19/05/2014 14:00,189192,110125,140,78613
20/05/2014 14:00,170749,125005,141,118910
21/05/2014 14:00,149529,139233,142,133472
22/05/2014 14:00,159983,144995,143,134824
23/05/2014 14:00,131200,141681,144,146107
24/05/2014 14:00,105702,127353,145,129264
25/05/2014 14:00,156381,121553,146,116669
26/05/2014 14:00,159773,111676,147,115344
27/05/2014 14:00,153580,115430,148,121218
28/05/2014 14:00,136008,119472,149,139804
29/05/2014 14:00,133353,126111,150,146108
30/05/2014 14:00,117043,119778,151,145291
31/05/2014 14:00,121855,120394,152,144738
1/06/2014 14:00,129886,114277,153,125768
2/06/2014 14:00,155657,107957,154,112395
3/06/2014 14:00,147917,113862,155,133526
4/06/2014 14:00,109375,85465,156,136045
5/06/2014 14:00,163713,120317,157,111004
6/06/2014 14:00,169110,129900,158,110170
7/06/2014 14:00,151593,109252,159,104287
8/06/2014 14:00,143026,94285,160,109484
9/06/2014 14:00,145072,99621,161,111395
10/06/2014 14:00,135776,104132,162,125762
11/06/2014 14:00,150783,118627,163,115730
12/06/2014 14:00,150680,129968,164,117148
13/06/2014 14:00,130335,121591,165,117156
14/06/2014 14:00,125133,137446,166,111076
15/06/2014 14:00,144276,106465,167,96451
16/06/2014 14:00,147029,109107,168,109732
17/06/2014 14:00,145058,115038,169,116491
18/06/2014 14:00,156697,116767,170,105901
19/06/2014 14:00,152522,118374,171,110299
20/06/2014 14:00,151331,131905,172,109247
21/06/2014 14:00,147407,141981,173,113631
22/06/2014 14:00,143024,119182,174,113576
23/06/2014 14:00,181190,118702,175,80290
24/06/2014 14:00,186004,111798,176,73857
25/06/2014 14:00,191675,111849,177,73788
26/06/2014 14:00,195431,121417,178,80410
27/06/2014 14:00,178848,125937,179,93101
28/06/2014 14:00,157359,124005,180,94990
29/06/2014 14:00,162375,112607,181,111821
30/06/2014 14:00,165430,115985,182,115966
1/07/2014 14:00,170110,121885,183,115813
2/07/2014 14:00,144286,115753,184,116095
3/07/2014 14:00,149753,124621,185,116813
4/07/2014 14:00,146281,118541,186,116869
5/07/2014 14:00,138964,115413,187,116889
6/07/2014 14:00,154263,123324,188,116810
7/07/2014 14:00,160142,115726,189,110365
8/07/2014 14:00,160112,119821,190,116770
9/07/2014 14:00,180199,131374,191,111358
10/07/2014 14:00,172978,132117,192,126515
11/07/2014 14:00,177740,135063,193,122178
12/07/2014 14:00,156931,119153,194,126786
13/07/2014 14:00,168645,118220,195,120151
14/07/2014 14:00,189551,123356,196,110505
15/07/2014 14:00,171066,136431,197,121144
16/07/2014 14:00,129914,126885,198,139785
17/07/2014 14:00,116899,102251,199,131420
18/07/2014 14:00,149452,139931,200,139842
19/07/2014 14:00,142618,151362,201,139852
20/07/2014 14:00,145633,127396,202,120938
21/07/2014 14:00,199581,142958,203,90690
22/07/2014 14:00,209348,145175,204,84013
23/07/2014 14:00,205474,146656,205,80796
24/07/2014 14:00,187344,152637,206,100883
25/07/2014 14:00,222299,155233,207,71575
26/07/2014 14:00,221301,154239,208,61549
27/07/2014 14:00,210301,156570,209,93155
28/07/2014 14:00,179120,136415,210,115772
29/07/2014 14:00,170266,122006,211,116985
30/07/2014 14:00,170957,129351,212,114240
31/07/2014 14:00,183819,131943,213,116355
1/08/2014 14:00,172278,131990,214,116810
2/08/2014 14:00,178889,144850,215,114837
3/08/2014 14:00,138760,91839,216,94129
4/08/2014 14:00,200546,122356,217,98610
5/08/2014 14:00,185400,137913,218,115569
6/08/2014 14:00,185287,134467,219,113614
7/08/2014 14:00,187684,138059,220,117029
8/08/2014 14:00,155767,130062,221,117040
9/08/2014 14:00,179357,124844,222,117077
10/08/2014 14:00,181157,125499,223,116982
11/08/2014 14:00,194529,132102,224,108804
12/08/2014 14:00,211997,150231,225,92605
13/08/2014 14:00,199241,146981,226,98607
14/08/2014 14:00,128581,91369,227,113647
15/08/2014 14:00,111756,99875,228,116961
16/08/2014 14:00,145861,132401,229,115927
17/08/2014 14:00,166130,164584,230,116043
18/08/2014 14:00,181864,167875,231,114101
19/08/2014 14:00,168217,155345,232,117061
20/08/2014 14:00,175329,143493,233,112802
21/08/2014 14:00,190566,151347,234,109033
22/08/2014 14:00,176428,148837,235,117009
23/08/2014 14:00,169347,151469,236,116948
24/08/2014 14:00,186012,155464,237,116974
25/08/2014 14:00,188601,145000,238,116948
26/08/2014 14:00,170811,135177,239,116936
27/08/2014 14:00,166578,138406,240,116946
28/08/2014 14:00,146276,107431,241,109009
29/08/2014 14:00,159921,131318,242,116229
30/08/2014 14:00,158740,137817,243,113879
31/08/2014 14:00,173285,142904,244,112442
1/09/2014 14:00,168112,128100,245,116317
2/09/2014 14:00,168623,129660,246,108369
3/09/2014 14:00,159694,133681,247,116900
4/09/2014 14:00,151547,130183,248,112750
5/09/2014 14:00,146560,115745,249,116934
6/09/2014 14:00,142138,115805,250,116315
7/09/2014 14:00,154963,139547,251,115085
8/09/2014 14:00,148427,87231,252,113848
9/09/2014 14:00,164324,117305,253,112611
10/09/2014 14:00,144697,96135,254,111375
11/09/2014 14:00,160463,121679,255,110138
12/09/2014 14:00,157244,129195,256,108901
13/09/2014 14:00,148615,119484,257,107664
14/09/2014 14:00,155070,109185,258,106427
15/09/2014 14:00,169483,117875,259,105190
16/09/2014 14:00,173037,122146,260,103953
17/09/2014 14:00,164243,114223,261,102717
18/09/2014 14:00,142524,115127,262,101480
19/09/2014 14:00,139850,106135,263,100243
20/09/2014 14:00,131865,98092,264,99006
21/09/2014 14:00,150137,118502,265,97769
22/09/2014 14:00,168470,142667,266,96532
23/09/2014 14:00,187451,126604,267,95296
24/09/2014 14:00,177780,118160,268,94059
25/09/2014 14:00,199725,146353,269,94440
26/09/2014 14:00,211908,161346,270,109214
27/09/2014 14:00,190800,163099,271,113686
28/09/2014 14:00,179394,127707,272,105187
29/09/2014 14:00,168822,115530,273,102983
30/09/2014 14:00,174794,126119,274,102896
1/10/2014 14:00,184897,129837,275,89372
2/10/2014 14:00,160023,127611,276,112963
3/10/2014 14:00,167203,142567,277,112920
4/10/2014 14:00,158395,141439,278,108190
5/10/2014 13:00,183041,143627,279,95776
