OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITTYPE,ASSET_NAME,ASSET_ID,MATERIAL,TOTAL_VOLUME,USABLE_VOLUME,GAUGE_TWL,OVERFLOW_TWL,EASTING,NORTHING,FIELD_TEAM,CATCHMENT_ID,ASSET_OWNER,RAMSAR_CLASS,CONSERVATION_STATUS,WS_CONSTRUCTION_FILE,DATE_OF_CONSTRUCTION,EPMS_SEC_NO,ASCONST_PLAN_NO,SKETCH_PLAN_NO,SOURCE,DATE_CAPTURED,DATE_LAST_UPDATED,SERVICE_STATUS,SERVICE_STATUS_CHG_DATE,SERVICE_STATUS_PLAN_NO,COMMENTS,STArea(),STLength()
1,263774,10222564,WH050-WS-RES,RES,MAROONDAH RESERVOIR,H050,,0,28199,139.46,0,373337,5833749,MAROONDAH,,CVL,,,,1/1/1927 12:00:00 AM,,MR010,WH050-1,,10/17/2011 12:00:00 AM,2/17/2015 12:00:00 AM,IN,,,,,
2,263773,10222563,WH040-WS-RES,RES,UPPER YARRA RESERVOIR,H040,,0,224985,366.63,0,403156,5829303,CIVIL MAINTENANCE,,CVL,,,505/006/5053,1/1/1957 12:00:00 AM,,51-A-400,WH040-1,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
3,263780,10206109,WH021-WS-RES,RES,TOOROURRONG RESERVOIR,H021,,0,300,227.85,0,336726,5850978,CIVIL MAINTENANCE,,CVL,,,,1/1/1885 12:00:00 AM,,WH001/G/001,,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
4,263771,10222561,WH001-WS-RES,RES,SUGARLOAF RESERVOIR,H001,,0,99222,178,0,350801,5829382,MAROONDAH,,CVL,,,,1/1/1981 12:00:00 AM,,SLR1-31-002,,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
5,263784,10218905,WH070-WS-RES,RES,GREENVALE RESERVOIR,H070,,0,27501,167.12,0,314894,5833520,PRESTON,,CVL,,,,1/1/1971 12:00:00 AM,,GR/109,WH070,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
6,263786,10219056,WH060-WS-RES,RES,CARDINIA RESERVOIR,H060,,0,286911,167.03,0,359093,5797633,SILVAN,,CVL,,,,1/1/1973 12:00:00 AM,,CCR/201,WH60,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
7,263772,10222562,WH030-WS-RES,RES,O'SHANNASSY RESERVOIR,H030,,0,3123,363.5,0,394701,5829803,CIVIL MAINTENANCE,,CVL,,,,1/1/1928 12:00:00 AM,,WH030/C/058,WH030,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
8,263781,10167847,WH010-WS-RES,RES,SILVAN RESERVOIR,H010,,0,40581,246.5,0,360412,5810280,SILVAN,,CVL,,,,1/1/1932 12:00:00 AM,,SR/001,WH010-1,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
9,263785,10218468,WH020-WS-RES,RES,YAN YEAN RESERVOIR,H020,,0,33086,183.18,0,335916,5842078,CIVIL MAINTENANCE,,CVL,,,,1/1/1857 12:00:00 AM,,YYR/35,WH020-1,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
10,263787,10218201,WH120-WS-RES,RES,TARAGO RESERVOIR,H120,,0,37574,157.92,0,405333,5794156,TARAGO,,CVL,,,,1/1/1968 12:00:00 AM,,118735,WH120-1,,10/17/2011 12:00:00 AM,12/6/2014 12:00:00 AM,IN,,,,,
11,263775,10167621,WH080-WS-RES,RES,THOMSON RESERVOIR,H080,,0,1123089,453.5,0,443449,5819688,CIVIL MAINTENANCE (T,,CVL,,,,1/1/1983 12:00:00 AM,,TD-C-5020,WH80-1,,10/17/2011 12:00:00 AM,9/25/2019 12:00:00 AM,IN,,,,,
